,Unnamed: 0,high,low,open,close,volume,tic,date,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
1,1,29.4,27.5,27.5,29.0,322200,BVH,2009-12-22,0.0,25.24852813742385,23.551471862576147,0.0,66.66666666666731,100.0,29.0,29.0,19.540000915527344,0.0
35,35,29.7,28.4,28.5,29.7,312520,BVH,2009-12-23,0.015705128205127,30.33994949366117,28.36005050633884,100.0,66.6666666666663,100.0,29.35,29.35,19.709999084472656,0.0
69,69,31.1,29.1,29.9,31.1,282910,BVH,2009-12-24,0.0634253668230933,32.07186865764606,27.794798009020607,100.0,100.0,100.0,29.933333333333334,29.933333333333334,19.46999931335449,0.0
103,103,31.4,29.9,31.4,30.0,199160,BVH,2009-12-28,0.0535444037581243,32.2329877069365,28.247012293063506,61.43813319758469,26.057030481809107,28.201729394367675,30.24,30.24,19.93000030517578,0.0
137,137,31.0,29.0,29.0,30.6,348440,BVH,2009-12-29,0.0536306622199447,32.10665436650179,28.49334563349821,67.06827133088738,8.695652173912533,2.8331898738005146,30.3,30.3,20.01000022888184,0.0
171,171,32.1,29.6,29.6,32.1,297880,BVH,2009-12-30,0.1207147388179663,32.695232792442255,28.419052921843463,76.09473785825055,86.41975308641966,22.793574268535654,30.557142857142857,30.557142857142857,19.959999084472656,0.0
205,205,33.0,30.6,33.0,30.6,52360,BVH,2009-12-31,0.0924160261702837,32.54221859472141,28.58278140527859,59.2846867518692,84.62222222222218,34.5522679476036,30.5625,30.5625,21.68000030517578,0.0
239,239,31.9,30.0,30.0,31.8,142420,BVH,2010-01-04,0.1309499185623224,32.72731349327133,28.672686506728677,65.5778089279842,62.26415094339628,21.378231190318,30.700000000000003,30.700000000000003,20.040000915527344,0.0
273,273,33.0,31.7,33.0,32.0,200100,BVH,2010-01-05,0.1666815240987809,32.91070500872501,28.749294991274997,66.47131380121542,118.18181818181802,34.03557948261536,30.83,30.83,19.350000381469727,0.0
307,307,31.9,30.8,31.0,31.9,203390,BVH,2010-01-06,0.1848366206611018,33.00398341312361,28.850562041421835,65.59068308492186,59.83554712207457,17.492258612863502,30.92727272727273,30.92727272727273,19.15999984741211,0.0
341,341,31.8,31.0,31.5,31.4,101420,BVH,2010-01-07,0.1681668817155603,32.96545417792231,28.96787915541103,61.38428809496186,46.98133918770583,17.492258612863505,30.96666666666667,30.96666666666667,19.059999465942383,0.0
