,date,close,open,high,low,volumn,change
3070,2009-12-22,465.24,468.03,470.93,462.87,48.11K,0.92%
3069,2009-12-23,470.75,464.13,471.35,463.33,41.08K,1.18%
3068,2009-12-24,479.13,469.21,479.13,464.39,51.98K,1.78%
3067,2009-12-25,495.08,487.92,495.76,487.19,53.66K,3.33%
3066,2009-12-28,492.57,490.68,499.02,485.76,50.08K,-0.51%
3065,2009-12-29,484.45,487.56,493.67,483.76,71.78K,-1.65%
3064,2009-12-30,495.36,484.25,495.36,483.07,56.44K,2.25%
3063,2009-12-31,494.77,502.84,504.84,494.77,70.46K,-0.12%
3062,2010-01-04,517.05,501.74,517.05,501.74,44.92K,4.50%
3061,2010-01-05,532.53,529.23,539.39,529.23,70.05K,2.99%
3060,2010-01-06,534.46,529.47,538.84,526.37,67.36K,0.36%
3059,2010-01-07,533.34,536.78,540.77,530.68,75.68K,-0.21%
3058,2010-01-08,520.9,540.95,544.49,520.9,84.72K,-2.33%
3057,2010-01-11,515.06,522.78,524.06,512.15,44.78K,-1.12%
3056,2010-01-12,498.31,511.24,516.75,498.31,52.74K,-3.25%
3055,2010-01-13,508.61,495.72,508.61,485.75,55.05K,2.07%
3054,2010-01-14,512.33,516.44,517.72,509.25,36.06K,0.73%
3053,2010-01-15,505.42,509.19,512.63,503.29,37.13K,-1.35%
3052,2010-01-18,487.13,499.08,499.24,487.13,41.42K,-3.62%
3051,2010-01-19,495.51,489.84,498.1,489.77,33.64K,1.72%
3050,2010-01-20,489.5,498.73,499.15,489.5,35.90K,-1.21%
3049,2010-01-21,478.42,481.97,489.47,477.8,41.82K,-2.26%
3048,2010-01-22,477.59,474.1,481.69,471.85,30.08K,-0.17%
3047,2010-01-25,480.91,476.75,481.04,476.75,21.33K,0.70%
3046,2010-01-26,497.9,490.12,497.9,490.12,33.76K,3.53%
3045,2010-01-27,486.41,496.86,498.2,486.41,33.82K,-2.31%
3044,2010-01-28,481.76,484.67,487.81,481.47,23.07K,-0.96%
3043,2010-01-29,481.96,481.49,484.15,477.11,26.56K,0.04%
3042,2010-02-01,486.95,482.93,486.95,481.84,23.14K,1.04%
3041,2010-02-02,487.93,489.62,490.86,486.24,27.41K,0.20%
3040,2010-02-03,495.48,490.32,495.85,490.12,26.57K,1.55%
3039,2010-02-04,503.83,496.25,504.35,496.02,36.96K,1.69%
3038,2010-02-05,493.04,495.67,501.06,491.05,33.69K,-2.14%
3037,2010-02-08,491.2,488.86,491.65,487.72,21.68K,-0.37%
3036,2010-02-09,482.89,486.97,488.77,482.38,25.21K,-1.69%
3035,2010-02-10,490.91,486.86,491.17,486.86,19.69K,1.66%
3034,2010-02-11,499.94,492.99,499.97,491.86,21.91K,1.84%
3033,2010-02-12,507.0,505.34,508.72,504.78,23.33K,1.41%
3032,2010-02-22,510.02,513.19,513.19,507.93,21.17K,0.60%
3031,2010-02-23,496.29,504.52,504.52,496.29,27.08K,-2.69%
3030,2010-02-24,494.59,492.89,494.85,490.21,27.43K,-0.34%
3029,2010-02-25,494.99,497.5,500.24,493.73,28.38K,0.08%
3028,2010-02-26,496.91,494.31,496.91,491.97,39.28K,0.39%
3027,2010-03-01,503.01,502.57,505.34,502.43,35.08K,1.23%
3026,2010-03-02,501.0,503.98,505.59,500.08,43.30K,-0.40%
3025,2010-03-03,507.32,505.04,507.32,501.96,37.83K,1.26%
3024,2010-03-04,511.91,510.93,516.77,510.93,50.96K,0.90%
3023,2010-03-05,513.39,512.72,514.47,509.61,45.56K,0.29%
3022,2010-03-08,521.12,517.0,522.83,517.0,55.97K,1.51%
3021,2010-03-09,527.27,520.75,527.3,520.13,62.41K,1.18%
3020,2010-03-10,525.67,526.28,529.63,522.81,57.90K,-0.30%
3019,2010-03-11,524.64,526.93,529.53,524.37,52.45K,-0.20%
3018,2010-03-12,531.51,528.9,531.51,526.7,55.97K,1.31%
3017,2010-03-15,531.86,538.01,538.01,531.55,56.57K,0.07%
3016,2010-03-16,516.08,526.06,529.55,516.08,67.29K,-2.97%
3015,2010-03-17,510.85,519.9,520.14,510.85,51.32K,-1.01%
3014,2010-03-18,519.73,515.24,519.73,510.47,46.31K,1.74%
3013,2010-03-19,515.99,520.14,521.22,515.99,54.36K,-0.72%
3012,2010-03-22,511.58,515.71,517.79,511.58,42.56K,-0.85%
3011,2010-03-23,506.53,512.21,513.07,506.53,45.89K,-0.99%
3010,2010-03-24,512.12,511.05,512.87,508.75,46.05K,1.10%
3009,2010-03-25,503.39,507.85,508.83,502.16,52.07K,-1.70%
3008,2010-03-26,505.3,505.51,506.4,501.64,63.12K,0.38%
3007,2010-03-29,505.67,506.7,509.15,504.05,37.75K,0.07%
3006,2010-03-30,500.72,504.71,506.29,500.72,59.88K,-0.98%
3005,2010-03-31,499.24,501.85,504.0,499.24,52.76K,-0.30%
3004,2010-04-01,508.18,500.31,508.91,499.99,53.67K,1.79%
3003,2010-04-02,510.48,510.38,513.1,508.54,43.47K,0.45%
3002,2010-04-05,514.79,514.17,516.27,513.45,44.73K,0.84%
3001,2010-04-06,515.33,517.48,520.31,515.33,68.80K,0.10%
3000,2010-04-07,515.82,516.21,517.26,512.54,51.48K,0.10%
2999,2010-04-08,515.93,515.72,519.4,514.74,55.89K,0.02%
2998,2010-04-09,517.42,517.06,519.61,516.4,63.63K,0.29%
2997,2010-04-12,519.93,522.12,523.16,519.5,54.42K,0.49%
2996,2010-04-13,517.98,521.04,523.23,517.98,53.75K,-0.38%
2995,2010-04-14,516.21,518.57,518.74,515.81,45.15K,-0.34%
2994,2010-04-15,521.49,521.01,521.49,518.39,53.71K,1.02%
2993,2010-04-16,522.03,523.72,523.99,521.53,63.13K,0.10%
2992,2010-04-19,516.74,521.35,521.69,516.74,61.10K,-1.01%
2991,2010-04-20,515.2,517.36,519.72,515.2,58.67K,-0.30%
2990,2010-04-21,519.7,517.54,520.2,517.54,56.68K,0.87%
2989,2010-04-22,529.31,521.9,534.53,521.9,79.84K,1.85%
2988,2010-04-26,531.21,531.69,535.41,531.21,69.63K,0.36%
2987,2010-04-27,535.72,532.58,536.23,531.57,57.60K,0.85%
2986,2010-04-28,539.2,536.08,539.83,536.08,60.98K,0.65%
2985,2010-04-29,542.37,541.44,542.74,541.19,74.88K,0.59%
2984,2010-05-04,549.12,544.52,550.61,544.52,89.16K,1.24%
2983,2010-05-05,548.01,548.75,551.39,546.13,86.72K,-0.20%
2982,2010-05-06,549.51,549.19,551.4,547.02,81.31K,0.27%
2981,2010-05-07,542.03,548.22,548.22,536.51,112.50K,-1.36%
2980,2010-05-10,534.38,541.49,541.49,532.4,82.68K,-1.41%
2979,2010-05-11,534.36,537.85,539.93,532.72,69.19K,-0.00%
2978,2010-05-12,519.6,527.52,527.52,519.6,69.35K,-2.76%
2977,2010-05-13,518.93,521.93,524.2,516.11,60.29K,-0.13%
2976,2010-05-14,520.72,522.92,523.48,519.98,45.57K,0.34%
2975,2010-05-17,511.27,521.3,521.67,509.5,55.11K,-1.81%
2974,2010-05-18,508.3,510.49,510.75,505.13,45.37K,-0.58%
2973,2010-05-19,494.9,503.66,504.57,494.9,60.06K,-2.64%
2972,2010-05-20,503.55,481.8,503.55,481.68,59.96K,1.75%
2971,2010-05-21,483.69,487.76,490.3,482.16,61.06K,-3.94%
