,high,low,open,close,volume,tic,date
0,3.5,3.3,3.4,3.4,60430.0,AGR,2016-01-04
1,54.0,52.0,53.0,53.0,316600.0,BVH,2016-01-04
2,18.6,18.1,18.5,18.3,404050.0,CTG,2016-01-04
3,9.5,9.1,9.2,9.3,565140.0,DIG,2016-01-04
4,29.1,28.4,29.1,28.4,680300.0,DPM,2016-01-04
5,43.8,43.3,43.7,43.5,9920.0,DRC,2016-01-04
6,19.0,18.7,18.8,18.8,827770.0,DXG,2016-01-04
7,11.3,11.1,11.1,11.2,96690.0,EIB,2016-01-04
8,48.5,47.8,48.4,47.8,700210.0,FPT,2016-01-04
9,10.5,10.1,10.4,10.1,6257520.0,HAG,2016-01-04
10,5.3,5.1,5.2,5.1,1186890.0,HAI,2016-01-04
11,19.3,18.9,19.1,19.0,191840.0,HBC,2016-01-04
12,32.5,31.8,32.0,32.2,1363400.0,HSG,2016-01-04
13,27.1,26.2,26.2,26.9,37800.0,HT1,2016-01-04
14,5.8,5.6,5.7,5.6,3238350.0,ITA,2016-01-04
15,13.2,12.6,13.1,12.8,560940.0,KBC,2016-01-04
16,23.0,22.5,23.0,22.5,14200.0,LGC,2016-01-04
17,77.5,75.5,76.5,75.5,92620.0,MSN,2016-01-04
18,43.0,42.6,42.9,43.0,4460.0,PNJ,2016-01-04
19,26.2,25.5,25.5,25.8,777612.0,PVI,2016-01-04
20,17.0,16.7,16.7,16.7,442820.0,PVS,2016-01-04
21,10.4,9.9,10.3,10.1,970490.0,PVT,2016-01-04
22,11.1,10.4,10.4,11.1,120.0,RIC,2016-01-04
23,8.5,8.3,8.4,8.4,220210.0,SAM,2016-01-04
24,25.2,23.9,24.1,25.0,1398800.0,SBT,2016-01-04
25,22.3,21.7,22.2,21.7,832410.0,SSI,2016-01-04
26,12.8,12.3,12.7,12.6,1127820.0,STB,2016-01-04
27,5.9,5.8,5.9,5.8,800.0,TCR,2016-01-04
28,14.3,13.7,13.9,13.7,1126510.0,TSC,2016-01-04
29,28.9,27.7,28.7,28.7,1830140.0,TTF,2016-01-04
30,44.0,42.6,43.8,43.2,761750.0,VCB,2016-01-04
31,47.5,45.2,45.6,47.5,4809120.0,VIC,2016-01-04
32,11.2,10.9,11.0,10.9,349180.0,VNE,2016-01-04
33,128.0,125.0,128.0,126.0,469320.0,VNM,2016-01-04
34,3.4,3.2,3.3,3.4,45000.0,AGR,2016-01-05
35,54.0,52.0,52.5,52.0,580200.0,BVH,2016-01-05
36,18.3,18.0,18.1,18.1,319920.0,CTG,2016-01-05
37,9.3,9.1,9.3,9.3,199480.0,DIG,2016-01-05
38,29.0,28.4,28.5,28.7,652840.0,DPM,2016-01-05
39,43.5,43.0,43.1,43.5,20900.0,DRC,2016-01-05
40,18.7,18.4,18.7,18.6,859140.0,DXG,2016-01-05
41,11.3,11.1,11.1,11.2,210670.0,EIB,2016-01-05
42,48.0,47.7,47.8,47.8,734050.0,FPT,2016-01-05
43,10.2,9.6,10.1,9.6,7648100.0,HAG,2016-01-05
44,5.2,4.9,5.1,5.0,1037170.0,HAI,2016-01-05
45,19.2,18.7,18.8,19.0,426740.0,HBC,2016-01-05
46,32.5,31.7,32.5,31.8,179530.0,HSG,2016-01-05
47,27.2,26.2,26.9,27.2,41040.0,HT1,2016-01-05
48,5.6,5.4,5.6,5.5,1891920.0,ITA,2016-01-05
49,12.7,12.5,12.7,12.6,1054080.0,KBC,2016-01-05
50,22.6,22.2,22.5,22.2,16590.0,LGC,2016-01-05
51,75.5,73.0,75.5,75.0,243440.0,MSN,2016-01-05
52,43.0,42.2,42.9,42.3,2120.0,PNJ,2016-01-05
53,26.0,25.5,25.8,25.5,511861.0,PVI,2016-01-05
54,16.7,16.3,16.6,16.3,566940.0,PVS,2016-01-05
55,10.2,10.0,10.0,10.1,696520.0,PVT,2016-01-05
56,10.7,10.7,10.7,10.7,10.0,RIC,2016-01-05
57,8.3,8.2,8.3,8.2,112910.0,SAM,2016-01-05
58,25.4,24.6,24.9,25.1,1175280.0,SBT,2016-01-05
59,21.7,20.9,21.3,20.9,2280930.0,SSI,2016-01-05
60,12.6,12.3,12.6,12.3,332490.0,STB,2016-01-05
61,5.9,5.8,5.8,5.8,5990.0,TCR,2016-01-05
62,13.7,13.2,13.5,13.3,2014750.0,TSC,2016-01-05
63,28.9,28.3,28.5,28.7,591740.0,TTF,2016-01-05
64,43.4,42.4,42.9,42.5,1133260.0,VCB,2016-01-05
65,47.7,46.8,47.0,47.5,2480100.0,VIC,2016-01-05
66,11.5,10.9,10.9,11.3,1520950.0,VNE,2016-01-05
67,127.0,125.0,126.0,125.0,285680.0,VNM,2016-01-05
68,3.4,3.3,3.3,3.3,135140.0,AGR,2016-01-06
69,54.0,52.5,52.5,53.5,382260.0,BVH,2016-01-06
70,18.4,18.1,18.1,18.3,544940.0,CTG,2016-01-06
71,9.3,9.1,9.3,9.2,207470.0,DIG,2016-01-06
72,29.4,28.7,28.9,29.4,962260.0,DPM,2016-01-06
73,43.5,43.0,43.0,43.0,37200.0,DRC,2016-01-06
74,18.8,18.5,18.5,18.8,856280.0,DXG,2016-01-06
75,11.3,11.0,11.0,11.2,266410.0,EIB,2016-01-06
76,48.1,47.8,47.8,47.9,446810.0,FPT,2016-01-06
77,10.2,9.6,9.6,10.0,6774690.0,HAG,2016-01-06
78,5.2,4.9,5.0,5.1,1258690.0,HAI,2016-01-06
79,19.8,19.0,19.0,19.8,768050.0,HBC,2016-01-06
80,32.2,31.9,32.1,32.0,327170.0,HSG,2016-01-06
81,26.8,26.8,26.8,26.8,1700.0,HT1,2016-01-06
82,5.7,5.4,5.5,5.6,1711720.0,ITA,2016-01-06
83,12.8,12.6,12.6,12.7,7277930.0,KBC,2016-01-06
84,21.9,21.9,21.9,21.9,1000.0,LGC,2016-01-06
85,76.0,73.5,73.5,76.0,144590.0,MSN,2016-01-06
86,42.9,42.5,42.5,42.9,14230.0,PNJ,2016-01-06
87,25.9,25.4,25.4,25.9,406290.0,PVI,2016-01-06
88,16.4,16.0,16.3,16.0,1117075.0,PVS,2016-01-06
