<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
AGR,20091210,12.8862,14.5976,12.8862,12.8862,504100
AGR,20091211,12.2822,12.2822,12.2821,12.2821,58390
AGR,20091214,11.6781,12.5338,11.6781,11.6781,346050
AGR,20091215,11.2754,11.6781,11.1244,11.1244,134640
AGR,20091216,10.5707,10.5707,10.5707,10.5707,64820
AGR,20091217,10.0673,10.9734,10.0673,10.8224,336680
AGR,20091218,11.3258,11.3258,11.3258,11.3258,123610
AGR,20091221,11.8795,11.8795,11.8795,11.8795,10310
AGR,20091222,12.4332,12.4332,11.3761,12.4332,908170
AGR,20091223,12.1312,12.5842,12.0808,12.1311,214170
AGR,20091224,12.0808,12.7351,11.9801,12.6345,362380
AGR,20091225,13.0875,13.2385,12.6345,13.2385,395360
AGR,20091228,12.5841,13.3392,12.5841,12.6345,163320
AGR,20091229,12.0808,12.5842,12.0305,12.0305,156660
AGR,20091230,12.5842,12.5842,12.0305,12.0808,139110
AGR,20091231,12.4835,12.5842,11.9801,12.0808,207850
AGR,20100104,12.3325,12.6848,12.3325,12.6848,302470
AGR,20100105,13.2385,13.2888,12.6848,12.7855,528380
AGR,20100106,12.6345,13.3896,12.4835,13.3896,445200
AGR,20100107,14.0440,14.0440,13.3896,13.9936,582470
AGR,20100108,14.6983,14.6983,13.3896,13.3896,465330
AGR,20100111,13.8426,13.8930,13.0876,13.5909,284470
AGR,20100112,13.4902,13.9433,12.9365,12.9365,211180
AGR,20100113,12.9365,13.2889,12.3325,13.2889,216360
AGR,20100114,13.7923,13.7923,13.3392,13.3896,275580
AGR,20100115,13.3393,13.3896,12.9869,13.0875,200790
AGR,20100118,12.5841,12.7351,12.4331,12.4332,306720
AGR,20100119,11.8292,12.0808,11.8291,11.8291,974900
AGR,20100120,11.3761,11.8291,11.3761,11.4768,327050
AGR,20100121,11.4768,11.7788,11.3258,11.5774,201070
AGR,20100122,11.1747,11.6277,11.1747,11.5774,100710
AGR,20100125,11.3257,11.5774,11.2250,11.5271,72260
AGR,20100126,11.5774,12.0305,11.5774,12.0305,194690
AGR,20100127,11.6278,11.9298,11.4768,11.4768,95470
AGR,20100128,11.4768,11.4768,11.1244,11.1244,51400
AGR,20100129,11.0741,11.1747,10.7217,10.8727,99210
AGR,20100201,10.7720,10.9734,10.7720,10.8727,21410
AGR,20100202,10.8727,10.8727,10.6714,10.8224,115600
AGR,20100203,10.8224,11.0741,10.8224,11.0741,56860
AGR,20100204,11.0741,11.3258,10.8728,11.0741,23350
AGR,20100205,11.0741,11.0741,10.7720,10.7720,107160
AGR,20100208,11.0237,11.0237,10.7217,10.7217,24640
AGR,20100209,10.5204,10.7720,10.4700,10.4700,63980
AGR,20100210,10.8224,10.8727,10.7217,10.7720,13440
AGR,20100211,10.9733,10.9733,10.7720,10.8727,47720
AGR,20100212,10.8727,11.3257,10.8727,11.2754,61750
AGR,20100222,11.5774,11.5774,11.2754,11.3258,22350
