<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BVH,20090625,34.1284,34.1284,33.2419,34.1284,1542160
BVH,20090626,35.8274,35.8274,35.4581,35.8274,841370
BVH,20090629,37.3048,37.3048,37.3048,37.3048,257150
BVH,20090630,39.1516,39.1516,39.1516,39.1516,274410
BVH,20090701,37.3048,38.0435,37.3048,37.3048,1754070
BVH,20090702,35.8274,36.5661,35.4580,35.4580,1917580
BVH,20090703,33.6851,35.4580,33.6851,35.4580,914150
BVH,20090706,35.4580,36.9355,35.0886,36.9355,315150
BVH,20090707,35.3103,36.1968,35.0887,35.0887,456250
BVH,20090708,33.9806,35.0887,33.6852,34.2761,212950
BVH,20090709,35.9751,35.9751,33.6113,34.2761,341400
BVH,20090710,33.7590,33.9806,32.5771,32.5771,313630
BVH,20090713,31.2474,31.3952,30.9519,30.9519,178050
BVH,20090714,29.5484,29.5484,29.4745,29.4745,294920
BVH,20090715,29.4745,30.2871,28.8097,29.1790,389850
BVH,20090716,30.5087,30.5087,29.1790,29.6222,481640
BVH,20090717,29.9177,29.9177,28.6619,29.3268,183290
BVH,20090720,28.0710,28.0710,27.9232,27.9232,222380
BVH,20090721,27.3322,27.9232,27.0367,27.3322,359190
BVH,20090722,27.3322,27.7016,27.1106,27.1845,241660
BVH,20090723,26.4458,28.5142,26.3719,28.5142,313860
BVH,20090724,29.9177,29.9177,29.9177,29.9177,417250
BVH,20090727,31.0258,31.3951,28.4403,31.2474,555230
BVH,20090728,29.9177,30.9519,29.7700,29.9177,359000
BVH,20090729,29.9177,30.1393,29.5483,29.5484,254170
BVH,20090730,28.7358,29.5484,28.5881,29.1790,235080
BVH,20090731,30.5087,30.5826,30.0655,30.5826,417340
BVH,20090803,31.0258,31.3952,30.2871,30.5826,182570
BVH,20090804,31.6907,31.7645,31.0997,31.7645,323950
BVH,20090805,31.1735,32.3555,31.0258,32.3555,305330
BVH,20090806,31.7645,32.5032,31.0258,31.0258,446560
BVH,20090807,31.0258,31.0258,29.5484,30.2871,347350
