<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
FPT,20061213,19.2305,19.2305,19.2305,19.2305,83530
FPT,20061214,20.1920,20.1920,20.1920,20.1920,280710
FPT,20061215,21.2016,21.2016,21.2016,21.2016,265300
FPT,20061218,22.2593,22.2593,22.2592,22.2592,215790
FPT,20061219,23.3649,23.3650,23.3649,23.3650,137520
FPT,20061220,24.5188,24.5188,24.5188,24.5188,220120
FPT,20061221,24.5188,24.5188,23.3169,23.3169,156400
FPT,20061222,22.1631,22.1631,22.1631,22.1631,143500
FPT,20061225,21.0573,21.0573,21.0573,21.0573,22140
FPT,20061226,22.0669,22.0669,20.0477,22.0669,300150
FPT,20061227,23.0765,23.0765,22.0669,23.0765,413230
FPT,20061228,23.0765,23.0765,22.5957,23.0765,144840
FPT,20061229,22.3554,22.3554,22.1150,22.1150,69760
FPT,20070102,21.1535,21.6342,21.1535,21.1535,81170
FPT,20070103,21.6343,21.6343,21.1535,21.6343,74660
FPT,20070104,22.6920,22.6920,22.6919,22.6919,148510
FPT,20070105,23.7976,23.7977,23.7976,23.7977,377800
FPT,20070108,24.5188,24.5188,23.5573,23.5573,351470
FPT,20070109,23.7977,23.7977,23.5573,23.5573,225270
FPT,20070110,23.5573,23.7977,23.5573,23.7977,314250
FPT,20070111,24.0381,24.0381,24.0381,24.0381,283920
FPT,20070112,25.2400,25.2400,25.2400,25.2400,279710
FPT,20070115,25.7208,26.4900,25.7208,26.4899,274290
FPT,20070116,27.7880,27.7880,27.7880,27.7880,339760
FPT,20070117,28.7976,28.7976,26.4419,26.4419,145870
FPT,20070118,25.1438,26.4900,25.1438,26.4899,282430
FPT,20070119,27.7880,27.7880,27.7880,27.7880,95290
FPT,20070122,29.1341,29.1341,28.8457,28.8457,461630
FPT,20070123,28.8457,28.9419,28.8457,28.9418,243990
FPT,20070124,28.9418,28.9418,27.8841,27.8842,156420
FPT,20070125,27.8842,27.8842,27.8842,27.8842,142420
FPT,20070126,27.8842,28.3169,27.4034,27.8842,129240
FPT,20070129,29.0861,29.0861,28.1246,29.0861,201310
FPT,20070130,30.2880,30.5284,30.2880,30.5283,258290
FPT,20070131,30.6725,31.0091,30.6725,31.0091,1993480
FPT,20070201,31.1053,31.1053,29.8072,29.8072,736990
FPT,20070202,30.2880,30.2880,30.2880,30.2880,500660
FPT,20070205,28.7976,29.8072,28.7976,28.7976,110440
FPT,20070206,30.0476,30.0476,28.3649,30.0476,195540
FPT,20070207,30.5284,30.5284,29.1342,30.5283,116470
FPT,20070208,29.0379,29.0380,29.0379,29.0380,103880
FPT,20070209,27.5957,27.5957,27.5957,27.5957,194380
FPT,20070212,28.9418,28.9418,28.9418,28.9418,60490
FPT,20070213,30.2879,30.3841,29.8072,30.2880,160600
FPT,20070214,29.3265,29.8072,29.3264,29.3264,79810
FPT,20070215,29.3264,29.3264,29.3264,29.3264,59720
FPT,20070226,30.7687,30.7687,30.7687,30.7687,231310
FPT,20070227,31.9706,32.3071,31.9706,31.9706,289680
FPT,20070228,30.3841,31.9706,30.3841,30.3841,69560
FPT,20070301,29.5668,30.2879,29.3264,29.5668,98850
FPT,20070302,30.1437,31.0091,30.1437,31.0091,163420
FPT,20070305,30.5283,31.0091,30.5283,30.5283,125170
FPT,20070306,29.0654,29.1135,29.0641,29.0641,200880
FPT,20070307,30.0746,30.0746,29.3528,29.3528,43980
FPT,20070308,29.1122,29.1122,28.1498,28.8716,85390
FPT,20070309,29.8340,29.8340,28.8716,28.8716,56050
FPT,20070312,29.3528,29.3528,28.8716,29.3528,87310
FPT,20070313,29.3528,29.4490,28.0055,29.3528,74620
FPT,20070314,27.9092,29.1122,27.9092,27.9093,57450
FPT,20070315,26.5138,26.5138,26.5138,26.5138,102590
FPT,20070316,26.5138,27.8130,26.5138,27.8130,102100
FPT,20070319,28.8716,28.8716,27.8130,27.8130,105730
FPT,20070320,27.4280,27.4280,26.9469,27.0431,100430
FPT,20070321,25.6958,25.7920,25.6958,25.7439,113940
FPT,20070322,25.9845,26.9469,25.9845,26.7063,139830
FPT,20070323,26.7063,26.7063,26.7063,26.7063,119530
FPT,20070326,25.9845,25.9845,25.5033,25.9845,107630
FPT,20070327,24.7815,24.7815,24.6853,24.6853,62970
FPT,20070328,23.4823,24.6853,23.4823,24.6853,126200
FPT,20070329,24.6853,25.8883,24.6853,25.8882,117350
FPT,20070330,26.3694,26.4656,26.0326,26.0326,90460
FPT,20070402,24.7334,25.2627,24.7334,25.0221,57570
FPT,20070403,24.0597,24.0597,24.0116,24.0597,64900
FPT,20070404,24.0597,24.7334,24.0597,24.7334,23700
FPT,20070405,24.9259,24.9259,24.7815,24.7815,50520
FPT,20070406,24.2041,24.5409,24.2041,24.5409,38880
FPT,20070409,24.5409,24.7815,24.5409,24.7815,48570
FPT,20070410,24.7815,25.0702,24.5409,25.0702,83330
FPT,20070411,25.0702,25.2627,25.0702,25.2627,44950
FPT,20070412,25.8883,25.9845,25.7439,25.9845,80100
FPT,20070413,26.9469,26.9469,25.0221,25.0221,149170
FPT,20070416,25.6477,25.6477,25.2627,25.2627,102080
FPT,20070417,25.0221,25.0221,24.7815,24.7815,31000
FPT,20070418,25.0221,25.0221,25.0221,25.0221,62980
FPT,20070419,25.0221,25.0221,24.3003,24.3003,74850
FPT,20070420,23.8191,23.8191,23.0973,23.0973,135750
FPT,20070423,22.1349,22.1349,21.9424,21.9424,56560
FPT,20070424,20.8838,20.8838,20.8838,20.8838,48470
FPT,20070425,19.8733,20.4507,19.8733,20.4507,221550
FPT,20070502,20.7394,20.8838,20.7394,20.8357,137200
FPT,20070503,20.8838,21.2688,20.8838,21.2688,152480
FPT,20070504,22.3274,22.3274,22.3274,22.3274,95960
FPT,20070507,23.4341,23.4341,23.4341,23.4341,136260
FPT,20070508,24.0597,24.0597,23.9634,24.0597,152010
FPT,20070509,24.0597,24.0597,24.0597,24.0597,104100
FPT,20070510,25.2627,25.2627,25.2627,25.2627,131160
FPT,20070511,26.5138,26.5138,26.5138,26.5138,165950
FPT,20070514,27.8130,27.8130,27.8130,27.8130,190090
FPT,20070515,26.4657,26.4657,26.4657,26.4657,76860
FPT,20070516,26.2251,26.2251,25.5995,25.5995,125520
FPT,20070517,25.2627,26.8025,25.2627,26.8025,153220
FPT,20070518,26.4657,26.4657,26.0326,26.0326,146660
FPT,20070521,27.2812,27.2812,26.8481,26.8506,283500
FPT,20070522,26.7062,26.8506,26.7062,26.8506,241370
FPT,20070523,26.8506,26.8506,26.7062,26.7063,274270
FPT,20070524,25.9845,26.3454,25.9845,25.9845,173140
FPT,20070525,25.8401,25.9123,25.6236,25.8401,203300
FPT,20070528,25.6957,25.7679,25.6957,25.7679,176850
FPT,20070529,25.2626,25.2626,25.0461,25.0461,186180
FPT,20070530,24.5408,25.2627,24.5408,25.2627,204950
FPT,20070531,25.2627,25.2627,25.1905,25.1905,165090
FPT,20070601,25.1183,25.1183,24.9018,24.9018,92630
FPT,20070604,24.5409,24.6131,24.5409,24.5409,175240
FPT,20070605,23.8191,23.8191,23.3139,23.3139,200960
FPT,20070606,23.3139,23.8192,23.3139,23.8191,166220
FPT,20070607,24.1800,24.3965,24.1800,24.3965,88290
FPT,20070608,24.1800,24.1800,23.4582,23.8191,164370
FPT,20070611,23.0973,23.0973,23.0973,23.0973,147860
FPT,20070612,23.0973,23.0973,23.0251,23.0251,149160
FPT,20070613,22.2311,22.2311,22.0868,22.0868,426060
FPT,20070614,21.9424,22.0146,21.9424,22.0146,439470
FPT,20070615,22.0146,22.3755,22.0146,22.3755,284560
FPT,20070618,22.7364,22.7364,22.0868,22.0868,276180
FPT,20070619,21.8703,22.0868,21.8703,22.0868,299170
FPT,20070620,22.0146,22.2312,22.0146,22.0868,202860
FPT,20070621,22.0868,22.0868,21.6537,21.6537,151020
FPT,20070622,21.2928,21.6537,21.2928,21.2928,301720
FPT,20070625,22.3033,22.3033,22.3033,22.3033,171530
FPT,20070626,23.3860,23.3860,23.3860,23.3860,218550
FPT,20070627,24.1800,24.1800,22.4477,22.4477,476910
FPT,20070628,22.3755,22.3755,22.2312,22.2312,184710
FPT,20070629,22.1590,22.1590,22.1590,22.1590,137240
FPT,20070702,21.6537,21.7981,21.6537,21.7981,294210
FPT,20070703,21.8703,21.8703,21.8703,21.8703,219630
FPT,20070704,22.3756,22.5199,22.3756,22.5199,164890
FPT,20070705,22.0146,22.3755,22.0146,22.3755,201110
FPT,20070706,22.1590,22.2312,22.1590,22.2312,57070
FPT,20070709,22.0147,22.2312,22.0147,22.2312,136810
FPT,20070710,22.1590,22.2312,22.1590,22.2312,86160
FPT,20070711,22.3756,22.3756,22.2312,22.2312,73500
FPT,20070712,22.2312,22.2312,22.0868,22.0868,79290
FPT,20070713,21.6537,21.6537,21.5815,21.5816,957580
FPT,20070716,21.0042,21.0042,20.9319,20.9319,374810
FPT,20070717,20.9319,20.9319,20.9319,20.9319,464320
FPT,20070718,20.9319,20.9319,20.7875,20.7876,532830
FPT,20070719,20.7876,20.7876,20.5710,20.5710,170180
FPT,20070720,20.6432,20.6432,20.4266,20.4267,339690
FPT,20070723,20.1380,20.1380,19.6327,19.6327,246160
FPT,20070724,19.6761,19.6761,19.3142,19.3142,375620
FPT,20070725,18.8078,18.8078,18.4461,18.4462,411820
FPT,20070726,18.0845,18.0845,18.0845,18.0845,393930
FPT,20070727,18.0845,18.0845,18.0845,18.0845,373240
FPT,20070730,18.3015,18.5909,18.3015,18.3015,284820
FPT,20070731,18.0845,18.2292,17.5058,17.7228,323490
FPT,20070801,17.3611,17.7228,17.2164,17.3611,448440
FPT,20070802,17.2888,17.3611,16.4930,16.4930,336310
FPT,20070803,15.6973,15.9143,15.6973,15.6973,591930
FPT,20070806,15.6973,15.9143,15.6973,15.7697,290560
FPT,20070807,16.1314,16.4931,16.1314,16.4930,249130
FPT,20070808,16.6377,17.2888,16.6377,17.2888,542430
FPT,20070809,17.7952,18.0845,17.7228,18.0845,537810
FPT,20070810,17.7228,17.7228,17.2888,17.3611,507630
FPT,20070813,16.8547,16.9994,16.6377,16.7101,361290
FPT,20070814,16.7101,16.9995,16.7101,16.9994,246630
FPT,20070815,16.6377,16.7824,16.5654,16.6377,192850
FPT,20070816,16.3483,16.4930,16.1313,16.1314,346180
FPT,20070817,15.9144,16.0591,15.7697,15.9143,484890
FPT,20070820,15.9143,16.2760,15.9143,16.2760,200790
FPT,20070821,16.4207,16.6377,16.4207,16.4207,216400
FPT,20070822,16.6377,16.7101,16.4207,16.5654,309370
FPT,20070823,16.5654,16.5654,16.2760,16.2760,225450
FPT,20070824,16.4207,16.6377,16.2760,16.6377,334530
FPT,20070827,16.6377,16.6377,16.2037,16.3484,220710
FPT,20070828,16.3484,16.3484,16.2037,16.3484,164380
FPT,20070829,16.2761,16.3484,16.2037,16.3484,124920
FPT,20070830,16.2761,16.3484,16.2037,16.2760,261390
FPT,20070831,16.2760,16.4207,16.2037,16.2760,229880
FPT,20070904,16.2760,16.5654,16.2760,16.5654,176260
FPT,20070905,16.3484,16.5654,16.2760,16.2760,397330
FPT,20070906,16.2760,16.4207,16.2760,16.2760,128330
FPT,20070907,16.2760,16.4207,16.2037,16.2760,144790
FPT,20070910,16.2037,16.2760,16.0590,16.1314,147010
FPT,20070911,16.1314,16.2037,16.1314,16.1314,149540
FPT,20070912,16.1314,16.1314,15.9867,16.1314,165190
FPT,20070913,16.1314,16.1314,15.9867,16.1314,187850
FPT,20070914,16.1314,16.2761,16.0591,16.2760,216470
FPT,20070917,16.1313,16.2760,16.0590,16.2037,202530
FPT,20070918,16.0590,16.1314,16.0590,16.0590,141940
FPT,20070919,16.0590,16.1314,16.0590,16.1314,181030
FPT,20070920,16.1314,16.3484,16.1314,16.2760,199410
FPT,20070921,16.4207,16.4930,16.3483,16.4930,285620
FPT,20070924,16.8547,17.2888,16.7824,17.2888,309830
FPT,20070925,18.0845,18.0845,17.7228,18.0845,514880
FPT,20070926,18.8079,18.8079,17.7228,18.0845,507520
FPT,20070927,18.0845,18.8079,18.0122,18.8079,471650
FPT,20070928,19.3866,19.7483,19.1696,19.7482,537020
FPT,20071001,20.6886,20.6886,20.4716,20.6886,488930
FPT,20071002,21.7013,21.7013,20.9780,21.4120,882920
FPT,20071003,21.7737,21.7737,21.4120,21.7737,713370
FPT,20071004,21.3397,21.5567,21.3397,21.3397,401260
FPT,20071005,20.6887,20.9057,20.3269,20.3269,420620
FPT,20071008,20.3998,20.4726,19.9626,19.9633,358530
FPT,20071009,20.4005,20.9105,20.0362,20.9105,273910
FPT,20071010,20.9105,21.0562,20.8376,20.9105,227190
FPT,20071011,20.7648,20.8376,20.4733,20.4733,179330
FPT,20071012,20.4733,20.6190,20.4004,20.6190,144790
FPT,20071015,20.6190,20.6190,20.4004,20.4004,195120
FPT,20071016,20.4004,20.4733,20.2547,20.2547,257970
FPT,20071017,20.2547,20.6190,20.2547,20.5462,201640
FPT,20071018,20.4005,20.4733,20.2547,20.2547,176410
FPT,20071019,19.8175,20.0362,19.7447,20.0362,220860
FPT,20071022,19.6719,20.0362,19.6719,19.8176,285680
FPT,20071023,19.6719,19.7447,19.5262,19.7447,526810
FPT,20071024,20.0361,20.4004,19.9633,20.4004,273700
FPT,20071025,20.4004,20.5461,20.1818,20.1819,292200
FPT,20071026,20.1819,20.1819,20.0362,20.0362,175290
FPT,20071029,19.7448,19.8905,19.7447,19.7447,176680
FPT,20071030,19.6718,19.8176,19.6718,19.6719,254640
FPT,20071031,19.7448,19.8176,19.6719,19.8176,197030
FPT,20071101,19.8176,19.8176,19.5990,19.6719,232680
FPT,20071102,19.3076,19.6719,19.2347,19.2347,244060
FPT,20071105,18.4333,18.7975,18.4333,18.7247,345680
FPT,20071106,18.2147,18.3604,17.9961,17.9961,361210
FPT,20071107,17.7047,17.9961,17.7047,17.7775,355200
FPT,20071108,17.8504,18.2147,17.8504,17.9961,129370
FPT,20071109,18.1418,18.2875,18.0690,18.2875,334340
FPT,20071112,18.3604,18.3604,17.9232,18.2875,258730
FPT,20071113,18.2146,18.2146,17.4861,17.4861,207890
FPT,20071114,17.8504,18.2875,17.8504,18.2875,264240
FPT,20071115,18.1418,18.2146,17.9232,17.9232,147180
FPT,20071116,17.7046,18.1418,17.7046,18.1418,157050
FPT,20071119,17.9232,18.1418,17.9232,18.1418,145600
FPT,20071120,18.1418,18.1418,17.8504,17.9232,255770
FPT,20071121,17.4860,17.6318,17.4860,17.4861,260450
FPT,20071122,17.8504,17.9961,17.7775,17.9232,158550
FPT,20071123,17.7046,17.9961,17.7046,17.9961,126520
FPT,20071126,17.9232,17.9961,17.9232,17.9961,171730
FPT,20071127,17.8504,17.9961,17.7047,17.7047,164250
FPT,20071128,17.5590,17.7047,17.5590,17.5590,140410
FPT,20071129,17.6319,17.7047,17.4132,17.4132,128960
FPT,20071130,17.4132,17.4861,17.3403,17.3404,149250
FPT,20071203,17.3404,17.4861,17.3404,17.4132,187600
FPT,20071204,17.4132,17.4132,17.1946,17.1947,334400
FPT,20071205,17.1218,17.1218,16.9032,16.9032,257280
FPT,20071206,16.6846,16.7575,16.6118,16.7575,350710
FPT,20071207,16.7575,17.1218,16.7575,16.9032,203800
FPT,20071210,16.7575,16.9032,16.6118,16.6118,301700
FPT,20071211,16.3932,16.4661,16.3204,16.4661,327840
FPT,20071212,16.2475,16.7575,16.2475,16.5389,329220
FPT,20071213,16.3932,16.4660,16.3203,16.3204,291570
FPT,20071214,16.1018,16.3933,16.1018,16.1746,204820
FPT,20071217,16.2475,16.2475,16.1017,16.1018,203240
FPT,20071218,16.6118,16.6118,16.1747,16.3204,264940
FPT,20071219,16.3204,16.7576,16.3204,16.7575,353490
FPT,20071220,16.7575,16.7575,16.3932,16.3932,236310
FPT,20071221,16.3932,16.4661,16.3203,16.3932,168200
FPT,20071224,16.3932,16.3932,16.2475,16.2475,123130
FPT,20071225,16.2475,16.2475,16.1746,16.1746,121320
FPT,20071226,16.2475,16.3203,16.1746,16.2475,211500
FPT,20071227,16.2475,16.2475,16.1746,16.1746,227980
FPT,20071228,16.1746,16.2475,16.1746,16.2475,172550
FPT,20080102,16.1018,16.1746,15.9561,15.9561,113410
FPT,20080103,15.7375,15.8104,15.6646,15.6646,211160
FPT,20080104,15.4460,15.5189,15.3732,15.4461,180890
FPT,20080107,15.3004,15.3004,14.9361,15.0089,232200
FPT,20080108,15.2275,15.2275,15.1546,15.1546,214660
FPT,20080109,14.9360,14.9360,14.7174,14.7175,159580
FPT,20080110,14.2803,14.3532,13.9889,13.9889,401090
FPT,20080111,14.2075,14.4261,14.2075,14.3532,188290
FPT,20080114,14.3532,14.3532,14.0617,14.0617,239760
FPT,20080115,13.8431,13.9160,13.7703,13.7703,337320
FPT,20080116,14.3532,14.4260,14.2075,14.4260,331740
