<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ITA,20061115,8.5988,8.5988,8.5988,8.5988,10900
ITA,20061116,8.5988,8.9969,8.5988,8.9969,13190
ITA,20061117,8.9969,9.3950,8.9969,9.3950,53180
ITA,20061120,9.3950,9.7931,9.3950,9.7931,123400
ITA,20061121,9.7931,10.2708,9.7931,10.2708,84500
ITA,20061122,10.2708,10.7486,10.2708,10.7486,189800
ITA,20061123,10.7486,11.2263,10.7486,11.2263,199700
ITA,20061124,11.2263,11.7836,11.2263,11.7836,183690
ITA,20061127,11.7836,12.3409,11.7836,12.3409,238520
ITA,20061128,12.3409,12.8983,12.3409,12.8983,179400
ITA,20061129,12.8983,13.5353,12.8983,12.9779,190030
ITA,20061130,12.9779,12.9779,12.3409,12.8983,117530
ITA,20061201,12.8983,12.8983,12.7391,12.8983,183130
ITA,20061204,12.8983,13.0575,12.7391,12.8983,87600
ITA,20061205,12.8983,12.8983,12.5798,12.8983,207520
ITA,20061206,12.8983,13.2168,12.8983,13.2167,296750
ITA,20061207,13.2167,13.8537,13.2167,13.8537,352160
ITA,20061208,13.8537,14.4907,13.8537,14.4907,29700
ITA,20061211,14.4907,15.2073,14.4907,15.1276,436210
ITA,20061212,15.1276,15.7646,15.1276,15.4461,291540
ITA,20061213,15.4461,15.7646,15.4461,15.4461,328550
ITA,20061214,15.4461,15.7646,15.4461,15.6053,422960
ITA,20061215,15.6053,15.7646,15.6053,15.7646,490610
ITA,20061218,15.7646,15.7646,15.0480,15.1276,318460
ITA,20061219,15.1276,15.1276,14.9684,14.9684,140780
ITA,20061220,14.9684,14.9684,14.6499,14.6499,125650
ITA,20061221,14.6499,14.6499,13.9333,13.9333,114650
ITA,20061222,13.9333,13.9333,13.2963,13.2964,63300
ITA,20061225,13.2964,13.9334,12.6594,13.9333,104790
ITA,20061226,13.9333,14.3314,13.9333,14.3314,71550
ITA,20061227,14.3314,14.4906,14.3314,14.3314,28810
ITA,20061228,14.3314,14.3314,14.0129,14.0926,117620
ITA,20061229,14.0926,14.0926,13.7741,14.0926,78130
ITA,20070102,14.0926,14.3315,14.0926,14.3314,61390
ITA,20070103,14.3314,14.3314,13.8537,14.0129,60500
ITA,20070104,14.0129,14.6499,14.0129,14.4907,124380
ITA,20070105,14.4907,15.2073,14.4907,15.2072,293840
ITA,20070108,15.2072,15.2072,15.1276,15.1276,183380
ITA,20070109,15.1276,15.4461,15.1276,15.2868,285470
ITA,20070110,15.2868,15.7646,15.2868,15.7646,341260
ITA,20070111,15.7646,16.4016,15.7646,16.4015,718250
ITA,20070112,16.4015,17.1977,16.4015,17.1977,119950
ITA,20070115,17.1977,17.9939,17.1977,17.9939,64450
ITA,20070116,17.9939,18.7901,17.9939,18.7901,26660
ITA,20070117,18.7901,19.5863,18.7901,19.5863,34270
ITA,20070118,19.5863,20.5417,19.5863,20.5417,117790
ITA,20070119,20.5417,21.4971,20.5417,21.4971,70160
ITA,20070122,21.4971,22.4525,21.4971,22.2933,656780
ITA,20070123,22.2933,22.2933,22.2933,22.2933,319050
ITA,20070124,22.2933,22.2933,21.1786,21.1786,185700
ITA,20070125,21.1786,21.1786,20.2232,20.2232,256300
ITA,20070126,20.2232,21.1786,20.2232,21.1786,158920
ITA,20070129,21.1786,21.4971,21.1786,21.4971,126630
ITA,20070130,21.4971,22.4525,21.4971,22.4525,216680
ITA,20070131,22.4525,23.5672,22.2933,22.2933,371040
ITA,20070201,22.2933,23.0895,22.2933,23.0895,487770
ITA,20070202,23.0895,23.0895,22.4525,22.4525,125450
ITA,20070205,22.4525,23.5672,22.1340,23.5672,229750
ITA,20070206,23.5672,24.6819,22.9302,24.6819,325440
ITA,20070207,24.6819,24.6819,23.5672,23.5672,129780
ITA,20070208,23.5672,23.5672,22.4525,22.4525,115570
ITA,20070209,22.4525,22.4525,21.3378,21.3379,100610
ITA,20070212,21.3379,22.2933,21.1787,22.2933,348860
ITA,20070213,22.2933,22.2933,22.2933,22.2933,205750
ITA,20070214,22.2933,23.4080,22.2933,23.4080,238190
ITA,20070215,23.4080,23.4080,23.4080,23.4080,147270
ITA,20070226,23.4080,24.5227,23.4080,24.5226,233760
ITA,20070227,24.5226,25.6373,24.5226,25.6373,149920
ITA,20070228,25.6373,26.9112,25.6373,26.9112,488260
ITA,20070301,26.9112,27.3889,26.9112,26.9112,267530
ITA,20070302,26.9169,28.0962,26.9169,28.0896,201840
ITA,20070305,28.0896,29.4272,28.0896,29.4272,197650
ITA,20070306,29.4272,30.7648,28.2807,28.2807,148310
ITA,20070307,28.2807,28.6629,26.9431,28.6628,162270
ITA,20070308,28.6628,28.6628,27.8985,28.0896,123780
ITA,20070309,28.0896,28.2807,28.0896,28.2807,122720
ITA,20070312,28.2807,29.6183,28.2807,28.2807,184090
ITA,20070313,28.2807,28.2807,27.7074,28.2807,139300
ITA,20070314,28.2807,28.2807,26.9431,28.0896,136150
ITA,20070315,28.0896,28.0896,26.7520,26.9431,125280
ITA,20070316,26.9431,28.2807,26.9431,28.2807,133200
ITA,20070319,28.2807,29.6183,28.2807,28.6628,147210
ITA,20070320,28.6628,28.6628,27.5163,27.5163,135710
ITA,20070321,27.5163,27.7074,27.5163,27.5163,69610
ITA,20070322,27.5163,27.5163,26.9430,27.5163,50000
ITA,20070323,27.5163,27.5163,26.9430,26.9431,84290
ITA,20070326,26.9431,27.7074,26.9431,27.5163,122190
ITA,20070327,27.5163,27.5163,26.1787,26.1787,54500
ITA,20070328,26.1787,26.1787,25.0322,25.7965,59940
ITA,20070329,25.7965,26.9431,25.7965,26.9431,73850
ITA,20070330,26.9431,27.7074,26.9431,27.3252,96770
ITA,20070402,27.3252,27.3252,26.3698,27.3252,103360
ITA,20070403,27.3252,27.3252,26.7519,26.9431,97900
ITA,20070404,26.9431,26.9431,26.7520,26.9431,126640
ITA,20070405,26.9431,27.3253,26.9431,27.1341,105360
ITA,20070406,27.1341,27.1341,26.3698,27.1341,70880
ITA,20070409,27.1341,27.1341,26.7519,26.9431,87560
ITA,20070410,26.9431,26.9431,26.5609,26.9431,165780
ITA,20070411,26.9431,26.9431,26.3698,26.7520,67490
ITA,20070412,26.7520,26.7520,26.5609,26.7520,106980
ITA,20070413,26.7520,26.7520,26.5609,26.5609,113570
ITA,20070416,26.5609,26.7520,26.3698,26.5609,167600
ITA,20070417,26.5609,26.5609,25.4144,26.3698,70330
ITA,20070418,26.3698,26.7520,26.1787,26.7520,123260
ITA,20070419,26.7520,26.7520,26.5609,26.5609,82220
ITA,20070420,26.5609,26.7520,25.4144,26.7520,111840
ITA,20070423,26.7520,26.7520,25.4144,25.4144,27490
ITA,20070424,25.4144,25.4144,24.2679,25.4144,70080
ITA,20070425,25.4144,25.4144,24.4590,25.2233,43840
ITA,20070502,25.2233,25.7966,25.2233,25.2233,82250
ITA,20070503,25.2233,25.2233,25.2233,25.2233,115610
ITA,20070504,25.2233,25.2233,24.6500,25.2233,135210
ITA,20070507,25.2233,25.4144,25.0322,25.4144,157280
ITA,20070508,25.4144,26.1787,25.4144,26.1787,169120
ITA,20070509,26.1787,26.1787,26.1787,26.1787,155610
ITA,20070510,26.1787,26.1787,25.7965,25.7965,67050
ITA,20070511,25.7965,25.7965,25.7965,25.7965,151010
ITA,20070514,25.7965,25.9876,25.7965,25.9876,197680
ITA,20070515,25.9876,26.5609,25.9876,26.1787,101500
ITA,20070516,26.1787,26.3698,25.9876,25.9876,61360
ITA,20070517,25.9876,26.1787,25.9876,26.1787,103600
ITA,20070518,26.1787,26.1787,25.9876,26.1787,136460
ITA,20070521,26.1787,26.3698,26.1787,26.3698,201480
ITA,20070522,26.3698,27.5163,26.3698,27.5163,270070
ITA,20070523,27.5163,28.8539,27.5163,28.8539,204160
ITA,20070524,28.8539,28.8539,27.7074,27.7074,193570
ITA,20070525,27.7074,28.4717,27.7074,28.4717,189520
ITA,20070528,28.4717,29.0450,28.4717,28.6628,193080
ITA,20070529,28.6628,28.6628,27.8985,28.4717,95360
