<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LGC,20061227,3.1479,3.1479,3.1479,3.1479,1000
LGC,20061228,3.3034,3.3034,3.3033,3.3033,25000
LGC,20061229,3.4665,3.4666,3.4665,3.4666,13090
LGC,20070102,3.6376,3.6376,3.6376,3.6376,310
LGC,20070103,3.8164,3.8164,3.8163,3.8163,1000
LGC,20070104,4.0028,4.0029,4.0028,4.0029,3030
LGC,20070105,4.1972,4.1972,4.1972,4.1972,33330
LGC,20070108,4.3915,4.3915,4.3915,4.3915,41230
LGC,20070109,4.5858,4.5858,4.5858,4.5858,11740
LGC,20070110,4.7801,4.7801,4.7801,4.7801,5530
LGC,20070111,5.0133,5.0133,5.0133,5.0133,810
LGC,20070112,5.2465,5.2465,5.2465,5.2465,11500
LGC,20070115,5.2465,5.2465,5.0522,5.0522,19590
LGC,20070116,4.8190,4.8190,4.8190,4.8190,11380
LGC,20070117,4.5858,4.5858,4.5858,4.5858,19600
LGC,20070118,4.5081,4.5081,4.5081,4.5081,15890
LGC,20070119,4.7024,4.7024,4.3138,4.7024,4370
LGC,20070122,4.9356,4.9356,4.5858,4.9356,2810
LGC,20070123,4.7024,4.9356,4.7024,4.7024,11010
LGC,20070124,4.9356,4.9356,4.9356,4.9356,4390
LGC,20070125,4.7413,4.7413,4.7413,4.7413,7550
LGC,20070126,4.7413,4.7413,4.7413,4.7413,1900
LGC,20070129,4.8968,4.8968,4.7413,4.8967,5950
LGC,20070130,4.8967,4.8967,4.8967,4.8967,3000
LGC,20070131,4.8967,4.9744,4.8967,4.9744,4140
LGC,20070201,5.0133,5.0133,4.9744,5.0133,190
LGC,20070202,4.9744,5.0133,4.9744,5.0133,190
LGC,20070205,5.0133,5.0133,4.8578,5.0133,13480
LGC,20070206,5.1688,5.1688,5.1687,5.1687,1310
LGC,20070207,5.0521,5.0522,5.0521,5.0522,400
LGC,20070208,5.0522,5.0522,5.0522,5.0522,9200
LGC,20070209,4.8967,5.2854,4.8967,4.8967,6490
LGC,20070212,4.8967,4.8967,4.8967,4.8967,800
LGC,20070213,5.1299,5.1299,4.8967,5.1299,3610
LGC,20070214,5.2076,5.3631,5.2076,5.2076,1080
LGC,20070215,5.4408,5.4408,5.4408,5.4408,2500
LGC,20070226,5.7128,5.7128,5.7128,5.7128,5000
LGC,20070227,5.9848,5.9849,5.9460,5.9849,4160
LGC,20070228,5.9849,6.2181,5.9849,5.9849,7200
LGC,20070301,5.9849,6.2569,5.9849,5.9849,3100
LGC,20070302,6.2569,6.2569,6.2569,6.2569,2800
LGC,20070305,6.5678,6.5678,6.5289,6.5678,4000
LGC,20070306,6.8398,6.8398,6.8398,6.8398,6900
LGC,20070307,7.1507,7.1507,6.6066,6.6067,1730
LGC,20070308,6.6067,6.6067,6.6067,6.6067,880
LGC,20070309,6.6067,6.6067,6.2958,6.2958,910
LGC,20070312,6.4513,6.4513,6.4512,6.4512,2700
LGC,20070313,6.4512,6.7621,6.4512,6.4512,930
LGC,20070314,6.2957,6.2958,6.2957,6.2958,1500
LGC,20070315,5.9849,5.9849,5.9849,5.9849,4100
LGC,20070316,5.7129,5.7129,5.7128,5.7128,12400
LGC,20070319,5.7128,5.7517,5.7128,5.7517,15150
LGC,20070320,5.9072,6.0237,5.8294,6.0237,7750
LGC,20070321,6.2957,6.2958,6.2957,6.2958,8090
LGC,20070322,6.6067,6.6067,6.6067,6.6067,13410
LGC,20070323,6.6067,6.6067,6.3735,6.3735,4420
LGC,20070326,6.0626,6.0626,6.0626,6.0626,2500
LGC,20070327,6.0626,6.0626,5.7906,5.7906,2000
LGC,20070328,5.7906,5.7906,5.7906,5.7906,2750
LGC,20070329,5.8295,5.8295,5.6740,5.7128,4600
LGC,20070330,5.7128,5.9848,5.7128,5.7128,2270
LGC,20070402,5.8683,5.9849,5.8683,5.9849,54500
LGC,20070403,6.2181,6.2181,6.1403,6.1403,3340
LGC,20070404,6.1403,6.1403,6.1403,6.1403,2130
LGC,20070405,6.2180,6.2180,6.1403,6.1403,9480
LGC,20070406,5.8683,5.9460,5.8683,5.8683,2330
LGC,20070409,5.9849,5.9849,5.7906,5.7906,3730
LGC,20070410,5.7906,5.7906,5.7906,5.7906,390
LGC,20070411,6.0626,6.0626,6.0626,6.0626,10
LGC,20070412,6.0626,6.0626,5.9849,5.9849,950
LGC,20070413,5.9849,5.9849,5.9849,5.9849,900
LGC,20070416,5.8294,5.8294,5.8294,5.8294,600
LGC,20070417,5.8294,5.8294,5.8294,5.8294,600
LGC,20070418,5.8294,5.8294,5.8294,5.8294,4500
LGC,20070419,5.8294,6.1015,5.8294,6.1015,2770
LGC,20070420,6.2181,6.2181,5.8295,6.1015,4300
LGC,20070423,6.1015,6.1015,5.8295,6.1015,190
LGC,20070424,5.8295,5.9849,5.8294,5.8294,1810
LGC,20070425,5.8294,5.8294,5.8294,5.8294,460
LGC,20070502,6.0626,6.0626,6.0626,6.0626,150
LGC,20070503,5.9849,5.9849,5.7906,5.9849,310
LGC,20070504,6.0626,6.0626,6.0626,6.0626,500
LGC,20070507,5.8294,6.0626,5.8294,5.8294,2250
LGC,20070508,5.9071,5.9071,5.9071,5.9071,2000
LGC,20070509,5.9071,6.1791,5.9071,5.9071,5500
LGC,20070510,5.6351,6.1792,5.6351,6.1792,4050
LGC,20070511,6.1403,6.1403,6.1403,6.1403,3000
LGC,20070514,6.1403,6.1403,6.0626,6.0626,1660
LGC,20070515,6.0626,6.0626,6.0626,6.0626,500
LGC,20070516,6.0237,6.0237,5.9849,5.9849,1640
LGC,20070517,5.7517,5.7517,5.7517,5.7517,10
LGC,20070518,5.9849,5.9849,5.9849,5.9849,200
LGC,20070521,5.9849,5.9849,5.9849,5.9849,1500
LGC,20070522,5.9849,6.2181,5.9849,5.9849,2840
LGC,20070523,6.0626,6.0626,6.0626,6.0626,1060
LGC,20070524,6.0626,6.0626,6.0626,6.0626,1420
LGC,20070525,5.9849,5.9849,5.9849,5.9849,2470
LGC,20070528,6.0238,6.0626,6.0238,6.0626,1700
LGC,20070529,6.0237,6.0626,6.0237,6.0237,1340
LGC,20070530,6.0237,6.0626,6.0237,6.0237,550
LGC,20070531,6.0237,6.0237,6.0237,6.0237,1610
LGC,20070601,6.2180,6.2180,5.7517,5.9071,1700
LGC,20070604,6.1792,6.1792,5.9071,6.1792,3950
LGC,20070605,6.4512,6.4512,6.4512,6.4512,15750
LGC,20070606,6.7621,6.7621,6.7621,6.7621,12910
LGC,20070607,7.0730,7.0730,7.0730,7.0730,9260
LGC,20070608,7.4228,7.4228,7.4228,7.4228,2660
LGC,20070611,7.7726,7.7726,7.7726,7.7726,22400
LGC,20070612,8.1612,8.1612,7.6171,7.7726,23160
LGC,20070613,8.1612,8.1612,8.1612,8.1612,8690
LGC,20070614,8.5498,8.5498,8.5498,8.5498,10720
LGC,20070615,8.9384,8.9384,8.1612,8.1612,22580
LGC,20070618,8.1612,8.1612,7.7726,8.1612,21980
LGC,20070619,8.1612,8.5498,8.1612,8.5498,10680
LGC,20070620,8.5498,8.7830,8.5498,8.7830,5200
LGC,20070621,8.9385,9.1716,8.9385,9.1716,14670
LGC,20070622,9.5602,9.5602,9.5602,9.5602,9900
LGC,20070625,10.0266,10.0266,10.0266,10.0266,18450
LGC,20070626,10.4930,10.4930,10.2598,10.2598,18450
LGC,20070627,9.7934,9.7934,9.7934,9.7934,7760
LGC,20070628,9.3270,9.3271,9.3270,9.3271,870
LGC,20070629,8.8607,8.8607,8.8607,8.8607,5200
LGC,20070702,8.4721,8.8607,8.4721,8.8607,14710
LGC,20070703,8.9384,8.9384,8.7830,8.7830,4600
LGC,20070704,8.7830,8.7830,8.5498,8.5498,5190
