<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MSN,20091105,22.3983,22.3983,22.3983,22.3983,46500
MSN,20091106,23.4871,23.4871,22.8131,23.4871,1420500
MSN,20091109,22.8131,23.4353,22.3464,22.3464,379190
MSN,20091110,21.2576,21.3094,21.2576,21.2576,241150
MSN,20091111,20.5836,21.2576,20.2206,20.7392,416210
MSN,20091112,19.9096,20.5837,19.7022,19.7022,282170
MSN,20091113,18.7171,20.2207,18.7171,20.2207,664120
MSN,20091116,20.2207,21.1021,19.9615,21.1021,231890
MSN,20091117,21.6724,21.6724,20.5836,21.2576,249410
MSN,20091118,21.2576,21.2576,20.2206,20.8428,432410
MSN,20091119,20.7391,20.8428,19.8058,20.7392,520320
MSN,20091120,20.7392,20.7392,19.8059,20.0651,279530
MSN,20091123,20.0651,20.2206,19.3392,19.9614,327300
MSN,20091124,19.9614,19.9614,19.1318,19.5466,215780
MSN,20091125,19.5466,19.5466,18.6133,18.6134,337700
MSN,20091126,17.7838,17.7838,17.7320,17.7320,63290
MSN,20091127,16.8506,18.6134,16.8506,17.7320,196960
MSN,20091130,17.7320,18.1468,16.8506,18.0949,237250
MSN,20091201,18.0949,18.6134,17.6283,18.3541,118540
MSN,20091202,17.6282,18.5615,17.5764,17.6283,147850
MSN,20091203,17.0061,17.6283,16.9024,16.9024,47530
MSN,20091204,17.7320,17.7320,17.6283,17.7320,264960
MSN,20091207,18.5097,18.5097,17.3691,18.5097,113690
MSN,20091208,18.1468,19.1319,17.7320,18.1468,60640
MSN,20091209,17.5246,18.1468,17.2654,18.0949,142880
MSN,20091210,18.0949,18.0949,17.2135,18.0431,145670
MSN,20091211,17.3172,17.6283,17.1616,17.1616,164380
MSN,20091214,17.1616,17.9912,17.1616,17.9912,121610
MSN,20091215,18.1467,18.8208,17.8875,18.8208,256900
MSN,20091216,18.8208,18.8208,17.8875,18.8208,411340
MSN,20091217,18.9245,18.9245,18.0431,18.5097,276570
MSN,20091218,18.8726,18.9245,18.2505,18.9245,176870
MSN,20091221,19.0800,19.4430,18.2505,18.6652,58460
MSN,20091222,18.9244,18.9244,18.1986,18.1986,50840
MSN,20091223,17.9394,18.1986,17.7838,17.7838,16400
MSN,20091224,17.4209,18.1467,17.4209,17.6283,25490
MSN,20091225,18.0949,18.2505,17.6283,18.2505,46850
MSN,20091228,17.3691,18.5616,17.3691,18.4060,125740
MSN,20091229,18.6652,18.6652,18.0949,18.0949,19840
MSN,20091230,18.0949,18.3541,18.0431,18.0949,30580
MSN,20091231,18.1467,18.4060,17.6801,17.7320,37010
MSN,20100104,18.1468,18.6134,18.1468,18.6134,182850
MSN,20100105,19.4948,19.4948,19.3911,19.4948,310230
MSN,20100106,18.9245,20.2207,18.9245,20.2207,181180
MSN,20100107,20.2207,20.2207,19.7022,19.7022,52800
MSN,20100108,19.4430,19.9096,18.9763,18.9763,104480
MSN,20100111,18.4060,18.9245,18.1467,18.3023,65870
MSN,20100112,18.3023,18.3023,17.4209,17.4209,50580
MSN,20100113,17.2654,18.1468,17.2654,17.6283,77110
MSN,20100114,17.6283,18.4060,17.6283,18.0949,96900
MSN,20100115,18.3541,18.3541,18.0949,18.1468,70080
MSN,20100118,18.1468,18.1986,17.6283,18.0949,137520
MSN,20100119,18.0949,18.1468,18.0949,18.1468,44690
MSN,20100120,18.0950,18.3023,18.0431,18.1468,167340
MSN,20100121,18.0950,18.1986,18.0431,18.1468,180850
MSN,20100122,18.1468,18.1986,18.0950,18.1986,76030
MSN,20100125,18.1468,18.1986,18.0949,18.1468,33860
MSN,20100126,17.9913,18.4060,17.9913,18.1986,13200
MSN,20100127,18.1468,18.1986,18.0949,18.1468,37310
MSN,20100128,18.8727,19.0282,18.6134,19.0282,155980
MSN,20100129,19.6504,19.6504,18.6653,19.0800,48200
MSN,20100201,19.0800,19.1837,18.9245,19.1319,58010
MSN,20100202,18.4060,19.2356,18.4060,19.0800,11500
MSN,20100203,19.1837,19.1837,18.9245,19.1319,32010
MSN,20100204,18.6653,19.2874,18.6653,19.1319,33270
MSN,20100205,18.1986,19.1837,18.1986,19.0282,57580
MSN,20100208,19.0282,19.0800,18.4060,19.0282,49710
MSN,20100209,18.5616,19.0800,18.5616,19.0282,27680
MSN,20100210,18.5097,19.1837,18.5097,18.6134,61160
MSN,20100211,19.1319,19.1837,18.6652,18.6652,33250
MSN,20100212,19.3911,19.3911,19.2874,19.3393,10750
MSN,20100222,20.1689,20.1689,19.7022,19.8577,60330
MSN,20100223,20.0651,20.1170,19.4429,20.1170,142490
MSN,20100224,20.1170,20.1170,19.7022,20.1170,191360
MSN,20100225,19.7022,20.1170,19.7022,20.1170,188170
MSN,20100226,20.1170,21.1021,19.8059,21.1021,213710
MSN,20100301,21.9835,22.1391,21.1021,22.1390,346170
MSN,20100302,23.1760,23.1760,22.5538,22.9168,197760
MSN,20100303,22.9168,23.0205,22.3983,22.7094,21370
MSN,20100304,21.7761,22.7094,21.7761,22.2946,91150
MSN,20100305,22.2946,22.2946,21.3613,21.3613,64510
MSN,20100308,20.5836,21.5168,20.5836,21.2576,47160
MSN,20100309,20.6354,21.9316,20.6354,21.0502,21150
MSN,20100310,20.7391,21.2576,20.2725,20.9984,76300
MSN,20100311,21.6206,21.6724,20.9984,21.1539,35790
MSN,20100312,21.6205,21.6724,21.4650,21.5687,106040
MSN,20100315,21.7761,21.7761,21.3613,21.3613,8960
MSN,20100316,20.6873,21.5168,20.3243,20.3244,58660
MSN,20100317,20.7392,20.7392,19.7022,19.7022,14360
MSN,20100318,20.2207,20.5836,19.7022,20.5836,8590
MSN,20100319,20.2207,20.9984,20.2207,20.7392,7480
MSN,20100322,20.9466,20.9466,19.7022,19.7022,203640
MSN,20100323,20.2207,20.3244,19.7022,19.7540,43490
MSN,20100324,19.7540,20.4280,19.7540,20.1688,6980
MSN,20100325,19.4948,20.3243,19.4429,19.4430,19530
MSN,20100326,19.4430,19.4430,19.2875,19.3911,13020
MSN,20100329,18.5615,19.8577,18.5615,19.5985,25990
MSN,20100330,19.5985,19.9096,19.1837,19.2874,15870
MSN,20100331,19.0282,19.5985,19.0282,19.0282,15030
MSN,20100401,18.8727,19.4430,18.8727,19.1837,10760
MSN,20100402,19.1837,19.8577,19.1837,19.8577,31910
MSN,20100405,19.8577,20.2206,19.8059,19.8577,26930
MSN,20100406,19.6503,20.0651,19.6503,19.9096,8010
