<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SBT,20080225,7.0392,7.2738,7.0392,7.0392,392000
SBT,20080226,6.6872,6.6872,6.6872,6.6872,245000
SBT,20080227,6.3646,6.3646,6.3646,6.3646,104350
SBT,20080228,6.0713,6.4526,6.0713,6.1593,325810
SBT,20080229,6.3060,6.3060,6.0126,6.0713,101860
SBT,20080303,5.7780,5.8660,5.7780,5.7780,85780
SBT,20080304,5.5140,5.5140,5.5140,5.5140,13390
SBT,20080305,5.2500,5.2501,5.2500,5.2501,27480
SBT,20080306,5.4847,5.4847,5.4847,5.4847,62160
SBT,20080307,5.7487,5.7487,5.7193,5.7487,206280
SBT,20080310,6.0127,6.0127,5.5727,5.5727,395780
SBT,20080311,5.3087,5.4260,5.3087,5.3087,170610
SBT,20080312,5.1034,5.4260,5.1034,5.3380,91200
SBT,20080313,5.4260,5.4260,5.1620,5.2794,98900
SBT,20080314,5.1327,5.2207,5.1327,5.1621,47520
SBT,20080317,4.9861,4.9861,4.9274,4.9274,124610
SBT,20080318,4.6928,4.6928,4.6928,4.6928,24280
SBT,20080319,4.5461,4.8981,4.4581,4.4581,191760
SBT,20080320,4.3408,4.4288,4.2528,4.2528,181630
SBT,20080321,4.0475,4.0768,4.0475,4.0475,147620
SBT,20080324,3.8715,3.8716,3.8715,3.8716,26050
SBT,20080325,3.6956,3.6956,3.6956,3.6956,33900
SBT,20080326,3.5489,3.7836,3.5489,3.5783,327290
SBT,20080327,3.6076,3.6076,3.6076,3.6076,11600
SBT,20080328,3.6369,3.6369,3.6369,3.6369,38060
SBT,20080331,3.6662,3.6662,3.6662,3.6662,3200
SBT,20080401,3.6955,3.6956,3.6955,3.6956,1920
SBT,20080402,3.7249,3.7249,3.7249,3.7249,600
SBT,20080403,3.7542,3.7542,3.7542,3.7542,200
SBT,20080404,3.7835,3.7836,3.7835,3.7836,26370
SBT,20080407,3.8423,3.8423,3.8422,3.8422,11030
SBT,20080408,3.9009,3.9009,3.7835,3.9009,269240
SBT,20080409,3.9596,3.9596,3.9595,3.9595,67550
SBT,20080410,4.0182,4.0182,3.9008,3.9009,275490
SBT,20080411,3.8422,3.9009,3.8422,3.9009,130430
SBT,20080416,3.8716,3.8716,3.8422,3.8422,114650
SBT,20080417,3.7835,3.9009,3.7835,3.9009,63310
SBT,20080418,3.9596,3.9596,3.9009,3.9595,224600
SBT,20080421,4.0182,4.0182,4.0182,4.0182,39620
SBT,20080422,4.0769,4.0769,4.0769,4.0769,59950
SBT,20080423,4.1356,4.1356,4.0769,4.1355,626230
SBT,20080424,4.1062,4.1355,4.0768,4.0769,232310
SBT,20080425,4.0448,4.1411,4.0448,4.1411,97270
SBT,20080428,4.2053,4.2053,4.2053,4.2053,4410
SBT,20080429,4.2695,4.2695,4.2695,4.2695,19850
SBT,20080505,4.3337,4.3337,4.3337,4.3337,35720
SBT,20080506,4.3979,4.3979,4.3979,4.3979,31610
SBT,20080507,4.4621,4.4621,4.3337,4.3337,283530
SBT,20080508,4.2695,4.2695,4.2695,4.2695,35170
SBT,20080509,4.2053,4.2053,4.2053,4.2053,22790
SBT,20080512,4.1411,4.1411,4.1411,4.1411,30330
SBT,20080513,4.0769,4.0769,4.0769,4.0769,27820
SBT,20080514,4.0127,4.0127,4.0127,4.0127,26440
SBT,20080515,3.9485,3.9485,3.9485,3.9485,21010
SBT,20080516,3.9164,4.0127,3.8843,3.9164,416610
SBT,20080519,3.9164,3.9806,3.9164,3.9806,124660
SBT,20080520,4.0448,4.0448,3.9164,3.9164,109760
SBT,20080521,3.8522,3.8522,3.8522,3.8522,61910
SBT,20080522,3.7880,3.7880,3.7880,3.7880,152980
SBT,20080523,3.7238,3.7238,3.7238,3.7238,34350
SBT,20080526,3.6596,3.6596,3.6596,3.6596,13750
SBT,20080527,3.6596,3.6596,3.6596,3.6596,0
SBT,20080528,3.6596,3.6596,3.6596,3.6596,0
SBT,20080529,3.6596,3.6596,3.6596,3.6596,0
SBT,20080530,3.5954,3.5954,3.5954,3.5954,9050
SBT,20080602,3.5312,3.5312,3.5312,3.5312,1370
SBT,20080603,3.4670,3.4670,3.4670,3.4670,370
SBT,20080604,3.4028,3.4028,3.4028,3.4028,1990
SBT,20080605,3.3386,3.3386,3.3386,3.3386,4810
SBT,20080606,3.2744,3.2744,3.2744,3.2744,9860
SBT,20080609,3.2102,3.2102,3.2102,3.2102,1950
SBT,20080610,3.1460,3.1460,3.1460,3.1460,17520
SBT,20080611,3.1781,3.1781,3.1781,3.1781,96030
SBT,20080612,3.2102,3.2102,3.2102,3.2102,13430
SBT,20080613,3.2744,3.2744,3.2744,3.2744,71440
SBT,20080616,3.3386,3.3386,3.3386,3.3386,16210
SBT,20080617,3.4028,3.4028,3.4028,3.4028,2550
SBT,20080618,3.4670,3.4670,3.3386,3.3386,386460
SBT,20080619,3.2423,3.3065,3.2423,3.2423,96250
SBT,20080620,3.1460,3.1781,3.1460,3.1781,154880
SBT,20080623,3.2423,3.2423,3.2423,3.2423,88640
SBT,20080624,3.3386,3.3386,3.3065,3.3386,300040
SBT,20080625,3.4349,3.4349,3.4349,3.4349,89320
SBT,20080626,3.5312,3.5312,3.3386,3.4028,199730
SBT,20080627,3.4028,3.4991,3.3386,3.4991,171960
