<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SSI,20061215,10.4737,25.2530,0.0063,10.4737,293000
SSI,20061218,10.4737,11.5154,10.4737,11.3386,340200
SSI,20061219,11.3386,12.4687,11.3386,12.4687,326900
SSI,20061220,12.4687,13.6556,12.3740,12.3740,651600
SSI,20061221,12.3740,12.6265,11.8500,11.8500,200100
SSI,20061222,11.8500,11.8500,10.6694,10.6694,413000
SSI,20061225,10.6694,10.6694,9.6025,9.6025,289000
SSI,20061226,9.6025,10.2275,8.6492,9.7161,435500
SSI,20061227,9.7161,10.6820,9.7161,10.1012,423200
SSI,20061228,10.1012,10.5431,9.4699,10.0254,182400
SSI,20061229,10.0254,10.0254,9.0279,9.7855,290400
SSI,20070102,9.7855,10.1012,9.5961,9.6277,236800
SSI,20070103,9.6277,9.9876,9.6277,9.7224,301900
SSI,20070104,9.7224,10.6946,9.7224,10.6946,213900
SSI,20070105,10.6946,11.7111,10.6946,11.7111,357100
SSI,20070108,11.7111,12.8790,10.5431,11.3197,317300
SSI,20070109,11.3197,11.9952,10.1896,11.8058,535800
SSI,20070110,11.8058,12.8727,11.8058,12.4434,606000
SSI,20070111,12.4434,12.8159,11.6795,12.4371,520400
SSI,20070112,12.4371,13.7755,12.4371,13.4472,759000
SSI,20070115,13.4472,14.5205,13.4472,14.0785,492600
SSI,20070116,14.0785,14.8361,13.2578,13.7629,304400
SSI,20070117,13.7629,13.8260,12.7275,12.7275,212100
SSI,20070118,12.7275,13.5735,11.6290,13.3841,461700
SSI,20070119,13.3841,13.8892,13.2515,13.3210,482500
SSI,20070122,13.3210,13.3210,12.1214,12.5634,279700
SSI,20070123,12.5634,12.9422,12.3108,12.5634,272400
SSI,20070124,12.5634,12.9422,11.3323,12.6581,236700
SSI,20070125,12.6581,12.7528,11.8689,12.1972,189100
SSI,20070126,12.1972,12.6265,11.8689,12.6265,208500
SSI,20070129,12.6265,13.2578,12.6265,13.2578,257800
SSI,20070130,13.2578,14.4763,13.2578,13.8576,259000
SSI,20070131,13.8576,14.2679,13.4472,13.8260,215200
SSI,20070201,13.8260,14.2679,12.5634,13.3841,236400
SSI,20070202,13.3841,13.4472,12.6265,13.1947,273700
SSI,20070205,13.1947,13.8892,12.9737,13.1000,260800
SSI,20070206,13.1000,13.2578,12.9422,13.0684,202900
SSI,20070207,13.0684,13.1947,12.6265,12.8790,391400
SSI,20070208,12.8790,12.9422,11.9952,12.2793,432100
SSI,20070209,12.2793,12.3613,11.9952,12.3172,314700
SSI,20070212,12.3172,12.9422,12.3172,12.9422,173000
SSI,20070213,12.9422,13.1947,12.7212,13.0242,173600
SSI,20070214,13.0242,13.3210,13.0053,13.0684,221300
SSI,20070215,13.0684,13.2578,13.0684,13.2263,246500
SSI,20070226,13.2263,14.5331,13.2263,14.5331,379500
SSI,20070227,14.5331,15.7200,14.5205,14.7099,331600
SSI,20070228,14.7099,15.1518,13.7061,13.9523,381700
SSI,20070301,13.9523,14.2301,13.6366,14.0154,239600
SSI,20070302,14.0154,14.5205,13.7629,13.8892,271400
SSI,20070305,13.8892,14.2048,13.8260,14.0470,261600
SSI,20070306,14.0470,14.1417,13.7692,13.8260,302400
SSI,20070307,13.8260,14.0785,13.2578,13.3841,293000
SSI,20070308,13.3841,15.0824,13.3841,13.7629,234500
SSI,20070309,13.7629,14.1985,13.7629,13.7629,302400
SSI,20070312,13.7629,14.5457,13.7629,14.2679,412100
SSI,20070313,14.2679,15.1518,14.2679,14.5647,384900
SSI,20070314,14.5647,14.8361,13.5735,13.9839,371700
SSI,20070315,13.9839,14.2048,13.5167,13.6871,319700
SSI,20070316,13.6871,15.0382,13.6871,14.4573,423700
SSI,20070319,14.4573,15.8841,14.4573,15.8841,669700
SSI,20070320,15.8841,17.4688,15.8463,16.0988,702700
SSI,20070321,16.0988,16.9195,15.9725,16.0988,505300
SSI,20070322,16.0988,16.1430,15.7200,15.9094,498400
SSI,20070323,15.9094,16.0988,15.4990,15.6758,542900
SSI,20070326,15.6758,15.9094,14.5205,14.7730,420900
SSI,20070327,14.7730,14.7730,13.4788,13.5735,504300
SSI,20070328,13.5735,14.9750,13.2578,14.9624,450100
SSI,20070329,14.9624,15.4675,13.6303,14.9624,426700
SSI,20070330,14.9624,15.1518,14.2679,14.4447,345500
SSI,20070402,14.4447,14.8361,13.7313,14.2364,271400
SSI,20070403,14.2364,14.2679,13.7629,14.2364,200700
SSI,20070404,14.2364,14.8361,14.2364,14.5457,187800
SSI,20070405,14.5457,14.6467,14.2048,14.3185,159100
SSI,20070406,14.3185,14.4637,13.8955,14.4258,234300
SSI,20070409,14.4258,15.1518,14.4258,14.8298,354300
SSI,20070410,14.8298,15.0887,14.6467,14.7414,303800
SSI,20070411,14.7414,14.8361,14.5520,14.7414,228200
SSI,20070412,14.7414,14.7730,14.4573,14.4573,257600
SSI,20070413,14.4573,14.5205,14.2679,14.3563,233100
SSI,20070416,14.3563,14.3563,13.5735,13.6366,336200
SSI,20070417,13.6366,13.8892,13.2578,13.8892,319100
SSI,20070418,13.8892,14.5205,13.8892,14.4573,262100
SSI,20070419,14.4573,14.5205,13.8892,14.0659,199300
SSI,20070420,14.0659,14.1417,13.7629,14.0785,213300
SSI,20070423,14.0785,14.3322,13.5712,13.5712,392800
SSI,20070424,13.5712,13.6980,13.3175,13.5585,349700
SSI,20070425,13.5585,13.9517,13.3809,13.8185,387400
SSI,20070502,13.8185,14.0785,13.7614,13.8058,179700
SSI,20070503,13.8058,13.9517,13.6980,13.8249,99600
SSI,20070504,13.8249,13.8566,13.4444,13.7931,115000
SSI,20070507,13.7931,14.2688,13.7931,14.2624,281900
SSI,20070508,14.2624,14.5859,14.2624,14.3005,341300
SSI,20070509,14.3005,14.5859,14.0151,14.2054,284900
SSI,20070510,14.2054,14.3005,13.9580,14.1483,156900
SSI,20070511,14.1483,14.5541,14.1483,14.5541,387600
SSI,20070514,14.5541,15.8542,13.0321,15.4800,601800
SSI,20070515,15.4800,15.8542,14.9410,15.1883,462600
SSI,20070516,15.1883,15.2200,14.9854,15.0932,342500
SSI,20070517,15.0932,15.4737,14.9029,15.4737,484300
SSI,20070518,15.4737,15.7274,15.2834,15.4103,395600
SSI,20070521,15.4103,15.7591,15.3722,15.4293,341600
SSI,20070522,15.4293,15.5371,15.2644,15.3469,513400
SSI,20070523,15.3469,15.4420,14.9664,15.0932,619900
