<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TTF,20080218,22.0202,26.8371,22.0202,24.0846,170900
TTF,20080219,23.7405,23.7405,23.7405,23.7405,117180
TTF,20080220,23.7405,23.7405,22.7083,22.7084,189040
TTF,20080221,21.6762,21.6762,21.6762,21.6762,37790
TTF,20080222,20.6440,22.7084,20.6440,22.3643,72190
TTF,20080225,23.3965,23.3965,23.3965,23.3965,19870
TTF,20080226,23.3965,23.3965,22.3643,22.3643,36250
TTF,20080227,21.8482,22.8804,21.8482,22.0202,11290
TTF,20080228,22.1922,23.0524,21.6761,21.6762,22500
TTF,20080229,21.6762,22.0203,21.1601,21.1601,19150
TTF,20080303,20.2999,20.6440,20.1279,20.6440,36530
TTF,20080304,19.6118,19.9559,19.6118,19.6118,79970
TTF,20080305,18.7516,18.7516,18.7516,18.7516,9800
TTF,20080306,19.6118,19.6118,19.6118,19.6118,20690
TTF,20080307,19.6118,20.4720,19.6118,20.4719,34500
TTF,20080310,21.3321,21.3321,20.6439,20.6440,89250
TTF,20080311,19.7838,20.2999,19.7838,19.9558,68430
TTF,20080312,19.9558,20.6439,19.9558,20.2999,41870
TTF,20080313,20.6440,20.6440,19.9558,20.6440,21610
TTF,20080314,19.6118,20.2999,19.6118,19.9558,46660
TTF,20080317,19.6117,19.6117,19.0956,19.0957,27380
TTF,20080318,18.2355,19.0957,18.2355,18.2355,81530
TTF,20080319,17.8914,18.9236,17.3753,17.3753,75220
TTF,20080320,17.8914,17.8914,16.5839,16.6184,21090
TTF,20080321,15.8615,16.5152,15.7926,15.7926,20500
TTF,20080324,15.4829,15.4829,15.0357,15.0357,68170
TTF,20080325,14.3132,14.3820,14.3131,14.3131,128790
TTF,20080326,15.0012,15.0013,15.0012,15.0013,24950
TTF,20080327,15.1389,15.1389,15.1389,15.1389,10010
TTF,20080328,15.2765,15.2765,15.2765,15.2765,20
TTF,20080331,15.4141,15.4142,15.4141,15.4142,30
TTF,20080401,15.5518,15.5518,15.5518,15.5518,21000
TTF,20080402,15.6894,15.6894,15.6894,15.6894,10020
TTF,20080403,15.8270,15.8270,15.8270,15.8270,11920
TTF,20080404,15.9646,15.9647,15.9646,15.9647,10000
TTF,20080407,16.2744,16.2744,16.2743,16.2743,224470
TTF,20080408,16.5840,16.5840,16.5496,16.5840,421720
TTF,20080409,16.8937,16.8937,16.2743,16.2743,112250
TTF,20080410,15.9646,16.1367,15.9646,15.9647,29990
TTF,20080411,15.6550,15.6550,15.6550,15.6550,61560
TTF,20080416,15.3453,15.3453,15.3453,15.3453,6660
TTF,20080417,15.0700,15.6206,15.0700,15.6206,56010
TTF,20080418,15.9303,15.9303,15.4830,15.8270,77990
TTF,20080421,16.1367,16.1367,16.1367,16.1367,55320
TTF,20080422,15.8270,15.8270,15.8270,15.8270,15230
TTF,20080423,15.5173,15.5174,15.5173,15.5174,420
TTF,20080424,15.2077,15.8271,15.2077,15.2077,34850
TTF,20080425,15.4830,15.4830,14.9324,15.4830,6220
TTF,20080428,15.7927,15.7927,15.6550,15.7926,16620
TTF,20080429,15.4829,15.4830,15.4829,15.4830,24670
TTF,20080505,15.1733,15.1733,15.1733,15.1733,7080
TTF,20080506,14.8980,14.8981,14.8980,14.8981,3330
TTF,20080507,14.6228,14.6228,14.6228,14.6228,150
TTF,20080508,14.3475,14.3475,14.3475,14.3475,10
TTF,20080509,14.0722,14.0723,14.0722,14.0723,300
TTF,20080512,13.7970,13.7970,13.7970,13.7970,20
TTF,20080513,13.5217,13.5218,13.5217,13.5218,10
TTF,20080514,13.2810,13.2810,13.2809,13.2809,310
TTF,20080515,13.0401,13.0401,13.0401,13.0401,200
TTF,20080516,12.7993,12.7993,12.7993,12.7993,6210
TTF,20080519,12.5585,12.5585,12.5584,12.5584,1050
TTF,20080520,12.3176,12.3176,12.3176,12.3176,210
TTF,20080521,12.0768,12.0768,12.0767,12.0767,10
TTF,20080522,11.8359,11.8359,11.8359,11.8359,810
TTF,20080523,11.6295,11.6295,11.6294,11.6294,310
TTF,20080526,11.4230,11.4230,11.4230,11.4230,160
TTF,20080527,11.4230,11.4230,11.4230,11.4230,0
TTF,20080528,11.4230,11.4230,11.4230,11.4230,0
TTF,20080529,11.4230,11.4230,11.4230,11.4230,0
TTF,20080530,11.4230,11.4230,11.2165,11.2165,100
TTF,20080602,11.0101,11.0101,11.0101,11.0101,200
TTF,20080603,11.0101,11.0101,10.8037,10.8037,160
TTF,20080604,10.5973,10.5973,10.5972,10.5972,10
TTF,20080605,10.3908,10.3908,10.3908,10.3908,660
TTF,20080606,10.1844,10.1844,10.1844,10.1844,700
TTF,20080609,10.0124,10.0124,10.0123,10.0123,50
TTF,20080610,9.8403,9.8403,9.8403,9.8403,230
TTF,20080611,10.0186,10.0186,9.6617,9.6617,1100
TTF,20080612,9.4834,9.4835,9.4834,9.4835,1640
TTF,20080613,9.3052,9.3052,9.3052,9.3052,63170
TTF,20080616,9.1269,9.4835,9.1269,9.3409,186620
TTF,20080617,9.5192,9.5192,9.3409,9.5191,96670
TTF,20080618,9.5191,9.5191,9.3408,9.3409,20210
TTF,20080619,9.0913,9.0913,9.0913,9.0913,20
TTF,20080620,8.8417,8.8417,8.8417,8.8417,2800
TTF,20080623,8.5921,8.5922,8.5921,8.5922,7900
TTF,20080624,8.3426,8.3426,8.3426,8.3426,10420
TTF,20080625,8.0930,8.0930,8.0930,8.0930,2420
TTF,20080626,7.8791,7.8791,7.8791,7.8791,20520
TTF,20080627,7.6652,7.6652,7.6652,7.6652,36100
TTF,20080630,7.5226,7.8791,7.5226,7.8791,136720
TTF,20080701,8.0930,8.0930,8.0930,8.0930,7320
TTF,20080702,8.3069,8.3069,7.9504,8.3069,56620
TTF,20080703,8.5208,8.5209,8.5208,8.5209,9380
TTF,20080704,8.7705,8.7705,8.7704,8.7704,27180
TTF,20080707,9.0200,9.0200,8.5208,8.5209,83080
TTF,20080708,8.2713,8.7348,8.2713,8.7348,41660
TTF,20080709,8.8774,8.8774,8.5922,8.5922,61950
TTF,20080710,8.3426,8.5565,8.3426,8.3782,94420
TTF,20080711,8.5565,8.6278,8.5565,8.6278,80380
TTF,20080714,8.8774,8.8774,8.8774,8.8774,83170
TTF,20080715,9.1270,9.1270,9.1269,9.1269,93300
TTF,20080716,9.3765,9.3765,8.8773,9.3765,163150
TTF,20080717,9.6261,9.6261,9.6261,9.6261,234690
