<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCB,20090630,16.2391,16.2391,16.2391,16.2391,294070
VCB,20090701,17.0511,17.0511,16.1038,16.3744,6248390
VCB,20090702,16.1037,16.2391,15.5624,15.6978,1515670
VCB,20090703,15.2918,15.4271,15.1565,15.1565,899720
VCB,20090706,15.1565,15.8331,15.1565,15.8331,1571740
VCB,20090707,15.5624,15.6978,15.2918,15.2918,1115420
VCB,20090708,14.8858,15.1565,14.7505,15.0212,763030
VCB,20090709,14.7505,15.1565,14.4799,14.6152,982430
VCB,20090710,14.3445,14.4799,13.9386,13.9386,1973450
VCB,20090713,13.5326,13.9386,13.2619,13.2619,812260
VCB,20090714,13.3160,13.3160,12.8559,12.9372,847840
VCB,20090715,12.9913,13.4785,12.9913,13.2619,807250
VCB,20090716,13.5326,13.5326,13.3702,13.4785,638990
VCB,20090717,13.3973,13.4514,13.2078,13.2890,311000
VCB,20090720,12.7477,12.8018,12.6394,12.6665,869220
VCB,20090721,12.7748,12.9101,12.6665,12.6936,483900
VCB,20090722,12.8560,12.8831,12.7748,12.8560,411780
VCB,20090723,12.7207,13.4785,12.7207,13.4785,929090
VCB,20090724,14.0739,14.0739,14.0739,14.0739,624760
VCB,20090727,14.7505,14.7505,14.2092,14.7505,1535460
VCB,20090728,14.7505,15.1565,14.2092,14.3445,1192800
VCB,20090729,14.4798,14.6152,13.9385,14.2092,924570
VCB,20090730,14.0739,14.2092,13.6679,13.9386,606660
VCB,20090731,14.4799,14.6152,14.3446,14.6152,1125450
VCB,20090803,15.2918,15.2918,14.8859,15.2918,2707260
VCB,20090804,15.9684,15.9684,15.4271,15.8331,1869220
VCB,20090805,15.6978,15.9684,15.4271,15.6978,1654270
VCB,20090806,15.6978,15.9685,15.2918,15.4272,1656340
VCB,20090807,15.2919,15.5625,15.2918,15.2918,1017420
VCB,20090810,15.4271,15.6978,15.2918,15.5625,689300
VCB,20090811,15.4272,15.6978,15.2918,15.4272,1207840
VCB,20090812,15.5625,15.5625,15.2918,15.2918,996150
VCB,20090813,15.5625,15.5625,15.2918,15.4272,896790
VCB,20090814,15.2919,15.5625,15.2919,15.4272,709790
VCB,20090817,15.2919,15.4272,15.1565,15.1565,622790
VCB,20090818,14.8858,15.1565,14.8858,15.0212,927850
VCB,20090819,15.2919,15.2919,14.8859,15.0212,719390
VCB,20090820,15.1565,15.1565,14.8859,15.0212,578130
VCB,20090821,15.1565,15.6978,15.1565,15.1565,1444220
VCB,20090824,15.4272,15.4272,15.1565,15.2918,634370
VCB,20090825,15.2918,15.2918,15.0211,15.0212,577480
VCB,20090826,15.1565,15.2919,15.0212,15.1565,516120
VCB,20090827,15.1565,15.1565,15.0212,15.1565,538870
VCB,20090828,15.2918,15.2918,15.1565,15.2918,639140
VCB,20090831,15.5625,15.5625,15.2918,15.5625,874340
VCB,20090901,15.2918,15.5625,15.2918,15.4272,847070
VCB,20090902,15.4272,15.4272,15.4272,15.4272,0
VCB,20090903,15.1565,15.2919,14.7506,15.1565,1078760
VCB,20090904,15.1565,15.1565,14.7505,14.7505,1015060
VCB,20090907,14.3445,14.7505,14.0739,14.3445,954060
VCB,20090908,14.6152,14.6152,14.3445,14.4799,687300
VCB,20090909,14.4799,14.6152,14.3446,14.4799,682660
VCB,20090910,14.3446,14.4799,14.3445,14.3445,412250
VCB,20090911,14.3445,14.4798,14.2092,14.3445,416470
VCB,20090914,14.3445,14.4798,14.2092,14.3445,588470
VCB,20090915,14.4798,14.4798,14.2092,14.2092,727020
VCB,20090916,14.8858,14.8859,14.8858,14.8859,879780
VCB,20090917,15.5625,15.5625,14.6152,15.1565,2195540
VCB,20090918,14.8858,15.2918,14.6152,15.2918,850000
VCB,20090921,15.2918,15.2918,14.8858,14.8859,761980
VCB,20090922,14.6152,14.8859,14.6152,14.6152,658880
VCB,20090923,14.8859,15.1565,14.7505,14.7505,757950
VCB,20090924,14.6152,14.7505,14.4798,14.4799,541670
VCB,20090925,14.4799,15.1565,14.3446,15.0212,933140
VCB,20090928,15.1565,15.1565,14.7505,14.7505,561480
VCB,20090929,14.8858,14.8858,14.4798,14.6152,750310
VCB,20090930,14.6152,14.7505,14.3445,14.4799,712000
VCB,20091001,14.4799,14.4799,14.2092,14.2092,875180
VCB,20091002,13.9385,13.9385,13.5326,13.8032,1416100
VCB,20091005,13.9385,13.9385,13.5325,13.8032,606370
VCB,20091006,13.9385,13.9385,13.6679,13.6679,460990
VCB,20091007,13.8032,13.9386,13.6679,13.8032,596580
VCB,20091008,13.9385,13.9385,13.6679,13.8032,448600
VCB,20091009,13.9385,14.0739,13.8032,13.9386,794860
VCB,20091012,14.0739,14.3446,13.9386,14.3445,759120
VCB,20091013,14.3445,14.3445,13.8032,14.0739,513610
VCB,20091014,13.9386,14.7505,13.9386,14.7505,1359110
VCB,20091015,15.4271,15.4272,15.1565,15.4272,3378300
VCB,20091016,15.5625,15.9685,15.2918,15.2918,2239820
VCB,20091019,14.8858,15.2918,14.7505,14.8859,1015080
VCB,20091020,15.0212,15.1566,14.7505,14.7505,909450
VCB,20091021,14.7505,14.7505,14.6152,14.6152,1038410
