<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VIC,20070919,5.5937,5.5937,5.5937,5.5937,307840
VIC,20070920,5.8622,5.8622,5.8174,5.8622,794790
VIC,20070921,6.1307,6.1307,6.0412,6.1307,1224660
VIC,20070924,6.3992,6.3992,6.3992,6.3992,551130
VIC,20070925,6.7124,6.7125,6.6229,6.7125,962110
VIC,20070926,7.0258,7.0258,6.8915,7.0257,781900
VIC,20070927,6.9362,7.0257,6.7125,6.7125,562590
VIC,20070928,6.8915,7.0258,6.8468,7.0257,833570
VIC,20071001,7.3389,7.3390,7.2942,7.3390,781020
VIC,20071002,7.6970,7.6970,7.5180,7.6970,887990
VIC,20071003,8.0550,8.0550,8.0102,8.0550,1027610
VIC,20071004,8.4578,8.4578,8.4577,8.4577,1206640
VIC,20071005,8.8604,8.8604,8.4577,8.6367,1116040
VIC,20071008,8.5920,8.8157,8.4577,8.6367,949940
VIC,20071009,8.4577,8.5025,8.2340,8.2340,527100
VIC,20071010,8.3682,8.4130,8.1892,8.2340,599460
VIC,20071011,8.1892,8.1892,8.0102,8.0102,362850
VIC,20071012,7.9655,8.0550,7.9207,8.0550,527800
VIC,20071015,8.0550,8.2788,8.0550,8.2787,326950
VIC,20071016,8.2787,8.2787,8.0997,8.0997,236970
VIC,20071017,8.0102,8.0550,7.9655,7.9655,272570
VIC,20071018,7.8760,8.1445,7.8312,7.8312,398500
VIC,20071019,8.0102,8.1892,7.9654,8.1892,525830
VIC,20071022,8.0550,8.0550,7.9655,8.0550,280000
VIC,20071023,7.8760,7.9655,7.8312,7.8312,192730
VIC,20071024,7.8312,8.0549,7.8312,7.9207,182750
VIC,20071025,7.9207,7.9654,7.7865,7.7865,163650
VIC,20071026,7.7417,7.7417,7.6522,7.6522,212630
VIC,20071029,7.2942,7.4732,7.2942,7.2942,457260
VIC,20071030,7.2942,7.4284,7.2942,7.3390,146250
VIC,20071031,7.3390,7.3838,7.2495,7.2495,140770
VIC,20071101,7.2942,7.3390,7.0705,7.2047,195380
VIC,20071102,7.1600,7.1600,7.0257,7.0257,197100
VIC,20071105,7.3389,7.3390,7.3389,7.3390,66650
VIC,20071106,7.6970,7.6970,7.6970,7.6970,70540
VIC,20071107,7.4285,7.6075,7.4285,7.4285,444180
VIC,20071108,7.3838,7.3838,7.2495,7.2495,170020
VIC,20071109,7.2495,7.5180,7.2495,7.5180,316190
VIC,20071112,7.3838,7.4285,7.2942,7.2942,96340
VIC,20071113,7.2047,7.2047,6.9362,6.9362,167790
VIC,20071114,7.1599,7.2494,7.1152,7.1152,296610
VIC,20071115,7.1152,7.1600,7.0705,7.1600,138080
VIC,20071116,7.1600,7.1600,7.0705,7.1152,93360
VIC,20071119,7.1599,7.1599,7.1152,7.1152,103860
VIC,20071120,7.0257,7.0705,6.9810,7.0257,73830
VIC,20071121,6.8467,6.9362,6.8020,6.9362,193670
VIC,20071122,7.0257,7.0704,6.9362,6.9362,60070
VIC,20071123,7.2494,7.2495,7.2494,7.2495,122430
VIC,20071126,7.6075,7.6075,7.3838,7.6075,594620
VIC,20071127,7.6075,7.6075,7.4285,7.5627,359580
VIC,20071128,7.4732,7.5180,7.3837,7.3837,237300
VIC,20071129,7.4284,7.4732,7.1600,7.1600,319240
VIC,20071130,7.1600,7.2047,7.1152,7.1600,485160
VIC,20071203,7.0258,7.2495,7.0258,7.1600,181120
VIC,20071204,7.2047,7.2047,7.1600,7.1600,241890
VIC,20071205,7.1152,7.1600,7.0257,7.0257,263870
VIC,20071206,7.0257,7.0704,6.9810,7.0257,164670
VIC,20071207,7.0257,7.1152,6.9810,7.0257,402370
VIC,20071210,7.0257,7.0704,6.9362,6.9362,182810
VIC,20071211,6.8467,6.8915,6.7572,6.8467,297280
VIC,20071212,6.8914,7.0704,6.8914,6.9810,127990
VIC,20071213,7.0258,7.0258,6.9362,6.9362,303550
VIC,20071214,6.9362,6.9810,6.8915,6.9810,185510
VIC,20071217,6.9363,6.9363,6.8915,6.9362,157580
VIC,20071218,6.8915,6.9810,6.8915,6.9810,154370
VIC,20071219,7.0705,7.1152,7.0258,7.1152,167140
VIC,20071220,7.1599,7.1599,6.9810,7.0257,191390
VIC,20071221,6.9810,7.0257,6.9810,7.0257,220330
VIC,20071224,7.0257,7.0704,6.9810,7.0257,155160
VIC,20071225,6.9810,7.0257,6.9362,6.9362,166750
VIC,20071226,6.9362,6.9810,6.8915,6.9810,141200
VIC,20071227,6.9810,6.9810,6.9362,6.9362,146490
VIC,20071228,6.8915,6.9362,6.8915,6.9362,220180
VIC,20080102,6.9362,7.0257,6.9362,7.0257,156160
VIC,20080103,6.9810,6.9810,6.8915,6.8915,111990
VIC,20080104,6.8468,6.8468,6.8020,6.8020,66670
VIC,20080107,6.7572,6.8020,6.6230,6.7125,117490
VIC,20080108,6.7125,6.8915,6.7125,6.7572,109010
VIC,20080109,6.7572,6.8019,6.6677,6.6677,56360
VIC,20080110,6.3992,6.5335,6.3992,6.3992,291740
VIC,20080111,6.4439,6.5334,6.4439,6.4887,78900
VIC,20080114,6.7124,6.7124,6.4887,6.4887,215790
VIC,20080115,6.2650,6.3097,6.1755,6.2202,199290
VIC,20080116,6.3992,6.4887,6.3992,6.4887,171870
VIC,20080117,6.8019,6.8019,6.3097,6.4887,248700
VIC,20080118,6.4887,6.6229,6.3992,6.5782,187430
VIC,20080121,6.4887,6.4887,6.3992,6.3992,189070
VIC,20080122,6.2241,6.3538,6.2241,6.2577,165780
VIC,20080123,6.1929,6.1929,5.9983,5.9983,227280
VIC,20080124,5.9983,6.1604,5.9983,5.9983,125020
VIC,20080125,5.9983,6.0956,5.9983,6.0956,84860
VIC,20080128,6.0956,6.0956,6.0308,6.0956,106560
VIC,20080129,6.0308,6.1929,6.0308,6.1929,188520
VIC,20080130,6.4847,6.4847,6.4847,6.4847,67320
VIC,20080131,6.2902,6.6792,6.2902,6.6792,181330
VIC,20080201,6.7440,7.0035,6.6792,7.0035,158800
VIC,20080212,6.8738,6.8738,6.7441,6.8089,109200
VIC,20080213,6.6792,6.8089,6.6144,6.7441,133470
VIC,20080214,6.7441,6.9386,6.7441,6.8089,64140
VIC,20080215,6.7441,6.8089,6.7441,6.7441,98660
VIC,20080218,6.4523,6.5496,6.4523,6.5495,106770
VIC,20080219,6.3550,6.6143,6.3550,6.5495,84920
VIC,20080220,6.5495,6.6143,6.4522,6.4847,186550
VIC,20080221,6.1605,6.1605,6.1605,6.1605,307420
VIC,20080222,5.9335,5.9660,5.8687,5.9659,90510
VIC,20080225,6.2577,6.2577,6.2577,6.2577,55810
VIC,20080226,6.2901,6.3550,6.1280,6.2253,144900
VIC,20080227,6.1280,6.4198,6.0956,6.2253,63040
VIC,20080228,6.2901,6.3226,6.2253,6.3226,68010
VIC,20080229,6.2253,6.2902,6.2253,6.2253,137890
VIC,20080303,6.1605,6.1605,5.9335,5.9335,120440
VIC,20080304,5.6417,5.9335,5.6417,5.6417,208800
VIC,20080305,5.3823,5.6417,5.3823,5.5120,270640
VIC,20080306,5.7714,5.7714,5.7714,5.7714,11150
VIC,20080307,6.0308,6.0308,6.0308,6.0308,113590
VIC,20080310,6.3226,6.3226,6.0956,6.2253,326010
VIC,20080311,6.0308,6.0956,5.9983,6.0632,100450
VIC,20080312,5.9659,6.2902,5.9659,6.0632,39920
