<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VNE,20070809,19.8940,19.8940,19.8940,19.8940,32950
VNE,20070810,18.8993,18.8993,18.8993,18.8993,45700
VNE,20070813,17.9811,17.9811,17.9811,17.9811,30320
VNE,20070814,17.1012,18.8610,17.1012,17.9811,397140
VNE,20070815,18.3637,18.5550,18.3254,18.5167,150660
VNE,20070816,18.3637,18.3637,17.5985,17.5986,137400
VNE,20070817,17.5986,17.5986,17.2160,17.2160,51160
VNE,20070820,16.5656,16.8334,16.3743,16.3743,104090
VNE,20070821,15.8769,16.2595,15.6857,15.6857,162060
VNE,20070822,15.5327,15.6857,15.3414,15.4944,149240
VNE,20070823,16.0683,16.2596,15.9152,16.2595,236020
VNE,20070824,17.0629,17.0630,17.0629,17.0630,180220
VNE,20070827,17.7516,17.9047,17.0247,17.8281,332810
VNE,20070828,17.5986,17.6751,17.2160,17.5986,160890
VNE,20070829,16.9100,17.0247,16.8334,16.9482,133570
VNE,20070830,17.7516,17.7516,17.2160,17.5986,112040
VNE,20070831,17.2160,17.5986,17.2160,17.5986,116530
VNE,20070904,17.5986,17.7516,17.5986,17.6751,100050
VNE,20070905,17.4073,17.6751,17.4073,17.4073,93160
VNE,20070906,17.2543,17.5221,17.2543,17.4073,165180
VNE,20070907,17.5986,17.5986,17.4073,17.4455,132400
VNE,20070910,17.5603,17.5603,17.2542,17.2542,93150
VNE,20070911,17.2925,17.2925,17.0247,17.0247,83420
VNE,20070912,17.0247,17.1395,16.8717,16.9099,73840
VNE,20070913,16.8334,16.8334,16.7569,16.8334,79700
VNE,20070914,16.8334,17.2160,16.7569,17.2160,111230
VNE,20070917,16.6421,17.2160,16.6421,17.2160,119240
VNE,20070918,16.9482,17.0247,16.8334,17.0247,94610
VNE,20070919,16.8334,16.8334,16.6421,16.8334,121660
VNE,20070920,17.2160,17.2542,17.0629,17.2160,266800
VNE,20070921,17.2160,17.2160,17.1012,17.1777,105920
VNE,20070924,17.2160,17.5220,17.1777,17.5220,179630
VNE,20070925,18.3637,18.3637,17.9811,18.3637,572780
VNE,20070926,19.1289,19.1289,18.7463,19.1289,622840
VNE,20070927,20.0853,20.0853,20.0853,20.0853,415080
VNE,20070928,21.0417,21.0418,20.8505,21.0418,831810
VNE,20071001,21.9982,21.9982,21.9982,21.9982,100920
VNE,20071002,22.9546,22.9546,22.9546,22.9546,316920
VNE,20071003,24.1023,24.1024,24.1023,24.1024,269430
VNE,20071004,25.2501,25.2501,25.2501,25.2501,126960
VNE,20071005,26.3978,26.3978,26.3978,26.3978,340090
VNE,20071008,27.5455,27.5455,25.2501,25.2501,1204640
VNE,20071009,26.3978,26.3978,26.0153,26.3978,1024090
VNE,20071010,26.3978,26.5891,25.6326,25.6327,361470
VNE,20071011,26.2066,26.2066,25.6327,26.2066,339710
VNE,20071012,25.4414,26.0153,25.4414,26.0153,325500
VNE,20071015,25.6327,25.8240,25.4414,25.6327,280990
VNE,20071016,25.6327,25.6327,25.2501,25.4414,247520
VNE,20071017,24.8675,24.8675,24.4850,24.4850,271520
VNE,20071018,24.8676,24.8676,24.4850,24.8675,316720
VNE,20071019,24.8675,24.8675,24.4849,24.8675,166580
VNE,20071022,24.1023,25.6327,24.1023,25.6327,307550
VNE,20071023,25.4414,25.6327,24.8675,25.6327,368710
VNE,20071024,25.2501,25.2501,24.8675,25.2501,308010
VNE,20071025,25.2501,25.2501,24.6762,24.6762,170430
VNE,20071026,24.2936,24.6762,24.2936,24.4850,105110
VNE,20071029,24.1024,24.2937,23.5285,23.5285,163010
VNE,20071030,24.1024,24.6762,23.7198,24.6762,220880
VNE,20071031,25.2501,25.2501,24.8675,24.8675,214410
VNE,20071101,24.8675,24.8675,24.1023,24.2937,73040
VNE,20071102,23.7198,24.1024,23.7198,23.9111,114640
VNE,20071105,23.7198,23.9111,23.5285,23.7198,107310
VNE,20071106,23.7198,24.1024,23.5285,24.1024,247880
VNE,20071107,24.2937,24.4850,24.1024,24.2937,111140
VNE,20071108,23.7198,23.9111,23.3372,23.3372,83550
VNE,20071109,23.1459,24.1024,22.9546,23.3372,170210
VNE,20071112,24.1024,24.1024,23.7198,23.9111,199830
VNE,20071113,23.9111,23.9111,23.1459,23.1459,78540
VNE,20071114,23.7198,23.9111,23.5285,23.5285,110730
VNE,20071115,22.9546,23.5285,22.9546,23.1459,87180
VNE,20071116,22.7633,23.7198,22.7633,23.5285,216480
VNE,20071119,23.7198,23.7198,23.3372,23.5285,98090
VNE,20071120,23.5285,23.5285,23.1459,23.3372,67400
VNE,20071121,22.9546,22.9546,22.5720,22.7634,54900
VNE,20071122,22.3808,22.9547,22.3808,22.7634,33090
VNE,20071123,22.5721,22.9547,22.5721,22.5721,85900
VNE,20071126,22.9547,23.3373,22.5721,23.3372,120320
VNE,20071127,23.1459,23.1459,22.9546,22.9546,31610
VNE,20071128,22.5720,22.9546,22.5720,22.5721,43200
VNE,20071129,22.7634,22.7634,22.3808,22.3808,18150
VNE,20071130,22.3808,22.5721,22.1895,22.3808,23140
VNE,20071203,22.7634,23.1460,22.7634,22.9546,119590
VNE,20071204,23.1459,23.1459,22.9546,23.1459,88960
VNE,20071205,23.1459,23.1459,22.7633,22.9546,38060
VNE,20071206,22.5720,22.9546,22.5720,22.7634,86970
VNE,20071207,22.7634,22.9547,22.5721,22.7634,56460
VNE,20071210,22.5721,22.7634,22.3808,22.3808,29740
VNE,20071211,22.1895,22.1895,21.8069,21.8069,46610
VNE,20071212,21.8069,22.1895,21.8069,21.9982,53930
VNE,20071213,22.1895,22.1895,21.8069,21.8069,40020
VNE,20071214,21.6156,21.6156,21.4243,21.4243,13820
VNE,20071217,21.4243,21.4243,21.2330,21.2330,13380
VNE,20071218,21.2330,21.2330,20.2766,20.4679,74150
VNE,20071219,21.0418,21.4243,21.0418,21.4243,70860
VNE,20071220,22.3807,22.3807,21.4243,21.8069,73600
VNE,20071221,21.8069,21.8069,21.6156,21.6156,42600
