<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VNM,20060119,2.6883,2.6883,2.6883,2.6883,109350
VNM,20060120,2.6883,2.7897,2.6883,2.7390,157840
VNM,20060123,2.7390,2.7390,2.6629,2.6629,81400
VNM,20060124,2.6629,2.6629,2.6376,2.6376,66000
VNM,20060125,2.6376,2.6883,2.6376,2.6883,57220
VNM,20060126,2.6883,2.7136,2.6883,2.7136,18750
VNM,20060127,2.7136,2.7136,2.6883,2.6883,25630
VNM,20060206,2.6883,2.6883,2.6883,2.6883,25190
VNM,20060207,2.6883,2.7390,2.6883,2.7390,138720
VNM,20060208,2.7390,2.7897,2.7390,2.7897,159300
VNM,20060209,2.7897,2.7897,2.7897,2.7897,153580
VNM,20060210,2.7897,2.7897,2.7390,2.7897,128650
VNM,20060213,2.7897,2.7897,2.7897,2.7897,153670
VNM,20060214,2.7897,2.7897,2.7897,2.7897,113260
VNM,20060215,2.7897,2.7897,2.7644,2.7644,132600
VNM,20060216,2.7644,2.7897,2.7644,2.7897,184290
VNM,20060217,2.7897,2.9165,2.7897,2.9165,128090
VNM,20060220,2.9165,3.0433,2.9165,3.0433,62050
VNM,20060221,3.0433,3.1955,3.0433,3.1955,101970
VNM,20060222,3.1955,3.2969,3.1955,3.1955,264890
VNM,20060223,3.1955,3.2462,3.1955,3.2462,130490
VNM,20060224,3.2462,3.2716,3.2462,3.2716,90480
VNM,20060227,3.2716,3.3223,3.2716,3.3223,162140
VNM,20060228,3.3223,3.4745,3.3223,3.4745,164820
VNM,20060301,3.4745,3.6266,3.4745,3.6013,164480
VNM,20060302,3.6013,3.6520,3.6013,3.6520,222520
VNM,20060303,3.6520,3.6520,3.4745,3.4745,227880
VNM,20060306,3.4745,3.5506,3.4491,3.5506,200050
VNM,20060307,3.5506,3.5506,3.5506,3.5506,129210
VNM,20060308,3.5506,3.5506,3.4491,3.4491,163660
VNM,20060309,3.4491,3.4998,3.4491,3.4745,206310
VNM,20060310,3.4745,3.4998,3.4745,3.4745,125760
VNM,20060313,3.4745,3.5506,3.4745,3.5506,257130
VNM,20060314,3.5506,3.6013,3.5506,3.6013,223540
VNM,20060315,3.6013,3.6013,3.4998,3.4998,201720
VNM,20060316,3.4998,3.6013,3.4998,3.5506,171110
VNM,20060317,3.5506,3.6013,3.5506,3.6013,189800
VNM,20060320,3.6013,3.6520,3.6013,3.6520,320020
VNM,20060321,3.6520,3.7281,3.6520,3.7281,266040
VNM,20060322,3.7281,3.8042,3.7281,3.7281,173010
VNM,20060323,3.7281,3.7788,3.7281,3.7788,181330
VNM,20060324,3.7788,3.7788,3.7534,3.7534,137520
VNM,20060327,3.7534,3.7788,3.7534,3.7788,167410
VNM,20060328,3.7788,3.7788,3.7788,3.7788,130790
VNM,20060329,3.7788,3.8803,3.7788,3.8803,284640
VNM,20060330,3.8803,4.0578,3.8803,4.0578,184200
VNM,20060331,4.0578,4.1592,4.0578,4.1085,171770
VNM,20060403,4.1085,4.3114,4.1085,4.3114,259620
VNM,20060404,4.3114,4.4636,4.1085,4.1085,242500
VNM,20060405,4.1085,4.3114,4.1085,4.3114,191790
VNM,20060406,4.3114,4.4128,4.3114,4.4128,234410
VNM,20060407,4.4128,4.5650,4.4128,4.5650,276750
VNM,20060410,4.5650,4.6411,4.5143,4.5143,190930
VNM,20060411,4.5143,4.5143,4.3875,4.3875,152780
VNM,20060412,4.3875,4.5143,4.3875,4.5143,134540
VNM,20060413,4.5143,4.6157,4.5143,4.6157,182010
VNM,20060414,4.6157,4.6157,4.5650,4.5650,135270
VNM,20060417,4.5650,4.5650,4.5650,4.5650,162080
VNM,20060418,4.5650,4.6157,4.5650,4.6157,183230
VNM,20060419,4.6157,4.6665,4.6157,4.6157,195960
VNM,20060420,4.6157,4.6157,4.6157,4.6157,130410
VNM,20060421,4.6157,4.8440,4.6157,4.8440,378460
VNM,20060424,4.8440,5.0722,4.8440,5.0722,202190
VNM,20060425,5.0722,5.2751,5.0722,5.1737,387490
VNM,20060426,5.1737,5.1737,4.9708,4.9708,282180
VNM,20060427,4.9708,4.9708,4.7425,4.7425,371490
VNM,20060428,4.7425,4.7425,4.7172,4.7425,420830
VNM,20060503,4.7425,4.9201,4.7425,4.9201,132570
VNM,20060504,4.9201,4.9201,4.8186,4.8186,217800
VNM,20060505,4.8186,4.8186,4.7172,4.7172,272950
VNM,20060508,4.7172,4.7172,4.5650,4.5650,217830
VNM,20060509,4.5650,4.5650,4.3368,4.3368,421900
VNM,20060510,4.3368,4.3368,4.1339,4.1339,360820
VNM,20060511,4.1339,4.3368,4.1339,4.3368,393040
VNM,20060512,4.3368,4.5396,4.3368,4.5396,60420
VNM,20060515,4.5396,4.7425,4.5396,4.7425,133080
VNM,20060516,4.7425,4.7425,4.5143,4.5143,340760
VNM,20060517,4.5143,4.6157,4.5143,4.5904,191180
VNM,20060518,4.5904,4.5904,4.5396,4.5396,112310
VNM,20060519,4.5396,4.5396,4.4636,4.5143,137010
VNM,20060522,4.5143,4.5143,4.4636,4.4636,122780
VNM,20060523,4.4636,4.4636,4.3621,4.3621,122020
VNM,20060524,4.3621,4.5650,4.3621,4.5650,122100
VNM,20060525,4.5650,4.5650,4.4128,4.4128,127620
VNM,20060526,4.4128,4.4636,4.4128,4.4636,105180
VNM,20060529,4.4636,4.4636,4.4128,4.4128,105830
VNM,20060530,4.4128,4.4128,4.3621,4.3621,227310
VNM,20060531,4.3621,4.5143,4.3621,4.5143,196540
VNM,20060601,4.5143,4.5143,4.4636,4.4636,61330
VNM,20060602,4.4636,4.4636,4.4636,4.4636,63670
VNM,20060605,4.4636,4.5143,4.4636,4.5143,90560
VNM,20060606,4.5143,4.5396,4.5143,4.5143,117690
VNM,20060607,4.5143,4.5143,4.4636,4.4636,67020
VNM,20060608,4.4636,4.4889,4.4636,4.4889,70020
VNM,20060609,4.4889,4.5396,4.4889,4.5143,140600
VNM,20060612,4.5143,4.5143,4.4636,4.4636,29670
VNM,20060613,4.4636,4.4636,4.4382,4.4382,85330
VNM,20060614,4.4382,4.4382,4.4128,4.4128,62490
VNM,20060615,4.4128,4.4128,4.3875,4.3875,54860
VNM,20060616,4.3875,4.3875,4.2607,4.2607,215160
VNM,20060619,4.2607,4.2607,4.2099,4.2099,107900
VNM,20060620,4.2099,4.2099,4.0578,4.0578,143160
VNM,20060621,4.0578,4.0578,3.9056,3.9056,590790
VNM,20060622,3.9056,4.0831,3.9056,4.0831,195510
VNM,20060623,4.0831,4.1339,4.0578,4.0831,168260
VNM,20060626,4.0831,4.0831,4.0324,4.0324,105820
VNM,20060627,4.0324,4.0324,3.9817,4.0071,134560
VNM,20060628,4.0071,4.1045,4.0071,4.1045,93070
VNM,20060629,4.1045,4.1558,4.1045,4.1558,178890
VNM,20060630,4.1558,4.1558,4.1302,4.1558,364050
VNM,20060703,4.1558,4.1558,4.1045,4.1045,53410
VNM,20060704,4.1045,4.1045,4.0532,4.0532,55320
VNM,20060705,4.0532,4.0532,4.0532,4.0532,38160
VNM,20060706,4.0532,4.1045,4.0276,4.1045,43990
VNM,20060707,4.1045,4.1045,4.1045,4.1045,61580
VNM,20060710,4.1045,4.1045,4.0532,4.0532,50220
VNM,20060711,4.0532,4.0789,4.0532,4.0532,74950
VNM,20060712,4.0532,4.0532,4.0276,4.0276,55640
VNM,20060713,4.0276,4.0276,4.0019,4.0276,68140
VNM,20060714,4.0276,4.0276,4.0276,4.0276,43290
VNM,20060717,4.0276,4.0276,3.8993,3.9506,49640
VNM,20060718,3.9506,3.9506,3.8737,3.8737,65390
VNM,20060719,3.8737,3.8737,3.7197,3.7197,170020
VNM,20060720,3.7197,3.8993,3.6941,3.8993,137880
VNM,20060721,3.8993,3.9250,3.7967,3.7967,109890
VNM,20060724,3.7967,3.7967,3.7197,3.7197,121480
VNM,20060725,3.7197,3.7197,3.5402,3.5402,224750
VNM,20060726,3.5402,3.5915,3.5145,3.5402,125710
VNM,20060727,3.5402,3.5915,3.5402,3.5915,123040
VNM,20060728,3.5915,3.5915,3.5915,3.5915,117800
VNM,20060731,3.5915,3.5915,3.4632,3.4632,92100
VNM,20060801,3.4632,3.4632,3.3349,3.3349,161900
VNM,20060802,3.3349,3.3862,3.2067,3.3862,135090
VNM,20060803,3.3862,3.5402,3.3862,3.5402,122010
VNM,20060804,3.5402,3.6941,3.5402,3.6941,231190
VNM,20060807,3.6941,3.6941,3.5658,3.5658,152230
VNM,20060808,3.5658,3.6941,3.5658,3.6941,136030
VNM,20060809,3.6941,3.7454,3.6941,3.7197,135820
VNM,20060810,3.7197,3.7197,3.6941,3.7197,69590
VNM,20060811,3.7197,3.7967,3.7197,3.7967,115900
VNM,20060814,3.7967,3.9763,3.7967,3.9763,178860
VNM,20060815,3.9763,4.0019,3.9763,3.9763,203640
VNM,20060816,3.9763,4.1558,3.9763,4.1558,316830
VNM,20060817,4.1558,4.2841,4.1558,4.2585,349110
VNM,20060818,4.2585,4.2585,4.2585,4.2585,414570
VNM,20060821,4.2585,4.2585,4.2328,4.2328,146890
VNM,20060822,4.2328,4.2328,4.1302,4.1302,326890
VNM,20060823,4.1302,4.1815,4.1045,4.1815,130680
VNM,20060824,4.1815,4.2328,4.1815,4.1815,90080
VNM,20060825,4.1815,4.1815,4.1558,4.1558,92150
VNM,20060828,4.1558,4.2072,4.1302,4.2072,70440
VNM,20060829,4.2072,4.2328,4.2072,4.2328,114240
VNM,20060830,4.2328,4.2585,4.2328,4.2585,147020
VNM,20060831,4.2585,4.2585,4.2328,4.2328,126760
VNM,20060901,4.2328,4.2328,4.2328,4.2328,112280
VNM,20060905,4.2328,4.3098,4.2328,4.3098,196580
VNM,20060906,4.3098,4.3611,4.2585,4.2585,140680
VNM,20060907,4.2585,4.2585,4.2072,4.2328,53540
VNM,20060908,4.2328,4.2328,4.2072,4.2328,108490
VNM,20060911,4.2328,4.2328,4.2072,4.2072,69280
VNM,20060912,4.2072,4.2072,4.1558,4.1558,90600
VNM,20060913,4.1558,4.1815,4.1045,4.1815,50360
VNM,20060914,4.1815,4.1815,4.1302,4.1302,86840
VNM,20060915,4.1302,4.1558,4.1302,4.1558,59480
VNM,20060918,4.1558,4.1815,4.1558,4.1815,55650
VNM,20060919,4.1815,4.2585,4.1815,4.2585,157050
VNM,20060920,4.2585,4.3098,4.2328,4.2328,129200
VNM,20060921,4.2328,4.2328,4.2072,4.2072,38600
VNM,20060922,4.2072,4.2072,4.2072,4.2072,59750
VNM,20060925,4.2072,4.2072,4.2072,4.2072,82260
VNM,20060926,4.2072,4.2328,4.2072,4.2328,123560
VNM,20060927,4.2328,4.2585,4.2328,4.2328,111160
VNM,20060928,4.2328,4.2585,4.2328,4.2585,86250
VNM,20060929,4.2585,4.3098,4.2585,4.2585,256120
VNM,20061002,4.2585,4.2585,4.2328,4.2328,136240
VNM,20061003,4.2328,4.2585,4.2328,4.2585,178730
VNM,20061004,4.2585,4.2585,4.2585,4.2585,191980
VNM,20061005,4.2585,4.2841,4.2585,4.2585,142790
VNM,20061006,4.2585,4.2585,4.2585,4.2585,49980
VNM,20061009,4.2585,4.2585,4.2072,4.2072,92120
VNM,20061010,4.2072,4.2072,4.1302,4.1558,130190
VNM,20061011,4.1558,4.1558,4.1045,4.1045,128580
VNM,20061012,4.1045,4.1045,4.1045,4.1045,118920
VNM,20061013,4.1045,4.1815,4.1045,4.1815,87800
VNM,20061016,4.1815,4.2072,4.1815,4.2072,186630
VNM,20061017,4.2072,4.2072,4.2072,4.2072,378360
VNM,20061018,4.2072,4.2585,4.2072,4.2328,165890
VNM,20061019,4.2328,4.2328,4.2072,4.2328,102510
VNM,20061020,4.2328,4.2585,4.2328,4.2585,178250
VNM,20061023,4.2585,4.2585,4.2328,4.2328,79210
VNM,20061024,4.2328,4.2328,4.2328,4.2328,108650
VNM,20061025,4.2328,4.2328,4.2328,4.2328,110820
VNM,20061026,4.2328,4.2328,4.2072,4.2072,74050
VNM,20061027,4.2072,4.2072,4.1815,4.1815,57150
VNM,20061030,4.1815,4.1815,4.1045,4.1302,106850
VNM,20061031,4.1302,4.1302,4.0532,4.1045,126780
VNM,20061101,4.1045,4.2072,4.1045,4.2072,88780
VNM,20061102,4.2072,4.2072,4.1558,4.1558,63110
VNM,20061103,4.1558,4.1558,4.1302,4.1302,17410
VNM,20061106,4.1302,4.1558,4.1302,4.1558,30020
VNM,20061107,4.1558,4.1558,4.1558,4.1558,41630
VNM,20061108,4.1558,4.2072,4.1558,4.2072,147980
VNM,20061109,4.2072,4.2072,4.2072,4.2072,135820
VNM,20061110,4.2072,4.2841,4.2072,4.2585,222840
VNM,20061113,4.2585,4.2585,4.2585,4.2585,187680
VNM,20061114,4.2585,4.4637,4.2585,4.4637,227990
VNM,20061115,4.4637,4.6689,4.4637,4.6689,322310
VNM,20061116,4.6689,4.6689,4.5920,4.6433,621760
VNM,20061117,4.6433,4.8228,4.6433,4.8228,459230
VNM,20061120,4.8228,5.0537,4.8228,4.9768,563440
VNM,20061121,4.9768,5.1820,4.9768,5.1820,485920
VNM,20061122,5.1820,5.2333,5.1820,5.2333,392360
VNM,20061123,5.2333,5.4898,5.2333,5.4898,441920
VNM,20061124,5.4898,5.7464,5.4898,5.7464,582230
VNM,20061127,5.7464,6.0029,5.4898,5.4898,227280
