,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,^VNINDEX,2000-07-28,100.0,100.0,100.0,100.0,4200,0.0,102.9670310216783,98.58296897832172,100.0,66.66666666666605,100.0,100.0,100.0,20.84000015258789,0.0
1,^VNINDEX,2000-07-31,101.55,101.55,101.55,101.55,10300,0.03477564102563235,102.9670310216783,98.58296897832172,100.0,66.66666666666605,100.0,100.775,100.775,20.739999771118164,0.0
2,^VNINDEX,2000-08-02,103.38,103.38,103.38,103.38,300,0.1010592596723825,105.02719700276998,98.25946966389668,100.0,100.0,100.0,101.64333333333333,101.64333333333333,20.0,0.0
3,^VNINDEX,2000-08-04,105.2,105.2,105.2,105.2,3800,0.1944400497526999,107.03622808533848,98.02877191466152,100.0,101.18539592223816,100.0,102.5325,102.5325,18.6200008392334,0.0
4,^VNINDEX,2000-08-07,106.92,106.92,106.92,106.92,13200,0.3095310802906681,108.9428835158532,97.8771164841468,100.0,110.3773584905661,100.0,103.41,103.41,19.030000686645508,0.0
5,^VNINDEX,2000-08-09,108.64,108.64,108.64,108.64,15930,0.4464464496589642,110.81814176159871,97.74519157173465,100.0,110.12844809433524,100.0,104.28166666666668,104.28166666666668,19.18000030517578,0.0
6,^VNINDEX,2000-08-11,110.36,110.36,110.36,110.36,13600,0.6044806235816793,112.68104685064876,97.61895314935123,100.0,115.55766793409386,100.0,105.14999999999999,105.14999999999999,18.549999237060547,0.0
7,^VNINDEX,2000-08-14,112.08,112.08,112.08,112.08,11700,0.7825310143134772,114.53838211082096,97.49411788917904,100.0,116.0387513455328,100.0,106.01625,106.01625,17.8799991607666,0.0
8,^VNINDEX,2000-08-16,113.8,113.8,113.8,113.8,23000,0.9792564795190799,116.39299023378948,97.36923198843274,100.0,119.32928776748638,100.0,106.88111111111111,106.88111111111111,18.020000457763672,0.0
9,^VNINDEX,2000-08-18,115.52,115.52,115.52,115.52,10400,1.1931572479289798,118.2461967571955,97.2438032428045,100.0,119.56939638600528,100.0,107.745,107.745,17.049999237060547,0.0
10,^VNINDEX,2000-08-21,117.24,117.24,117.24,117.24,35500,1.4226262701325822,120.09866768495635,97.11769595140728,100.0,121.7733473242392,100.0,108.60818181818182,108.60818181818182,17.350000381469727,0.0
11,^VNINDEX,2000-08-23,118.96,118.96,118.96,118.96,111400,1.6659881626496258,121.95075599723513,96.99091066943156,100.0,121.9099619934691,100.0,109.47083333333335,109.47083333333335,17.3799991607666,0.0
12,^VNINDEX,2000-08-25,118.84,118.84,118.84,118.84,95220,1.817593336713486,123.22146771730405,97.16160920577286,99.23476817083774,105.68945195276623,98.169914613776,110.19153846153846,110.19153846153846,16.530000686645508,0.0
13,^VNINDEX,2000-08-28,117.0,117.0,117.0,117.0,97920,1.8008257308927114,123.71486052334521,97.64085376236909,88.49330872529845,76.24585433087819,72.32423328979614,110.67785714285715,110.67785714285715,16.540000915527344,0.0
14,^VNINDEX,2000-08-30,115.15,115.15,115.15,115.15,126510,1.6554216157008455,123.74927522603343,98.20272477396654,79.53854302219627,51.1745377862787,51.13852261791953,110.97599999999998,110.97599999999998,17.690000534057617,0.0
15,^VNINDEX,2000-09-01,113.37,113.37,113.37,113.37,96600,1.4163266103997927,123.52370005220064,98.72754994779936,72.26047460009552,28.61625352996555,34.17277320384266,111.125625,111.125625,17.530000686645508,0.0
16,^VNINDEX,2000-09-06,112.51,112.51,112.51,112.51,60900,1.1631861263882115,123.23021099903205,99.18390664802676,69.10023693397994,17.413763601973873,26.820374470445778,111.20705882352941,111.20705882352941,20.790000915527344,0.0
