<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
^VNINDEX,20000728,100.0000,100.0000,100.0000,100.0000,4200
^VNINDEX,20000731,101.5500,101.5500,101.5500,101.5500,10300
^VNINDEX,20000802,103.3800,103.3800,103.3800,103.3800,300
^VNINDEX,20000804,105.2000,105.2000,105.2000,105.2000,3800
^VNINDEX,20000807,106.9200,106.9200,106.9200,106.9200,13200
^VNINDEX,20000809,108.6400,108.6400,108.6400,108.6400,15930
^VNINDEX,20000811,110.3600,110.3600,110.3600,110.3600,13600
^VNINDEX,20000814,112.0800,112.0800,112.0800,112.0800,11700
^VNINDEX,20000816,113.8000,113.8000,113.8000,113.8000,23000
^VNINDEX,20000818,115.5200,115.5200,115.5200,115.5200,10400
^VNINDEX,20000821,117.2400,117.2400,117.2400,117.2400,35500
^VNINDEX,20000823,118.9600,118.9600,118.9600,118.9600,111400
^VNINDEX,20000825,118.8400,118.8400,118.8400,118.8400,95220
^VNINDEX,20000828,117.0000,117.0000,117.0000,117.0000,97920
^VNINDEX,20000830,115.1500,115.1500,115.1500,115.1500,126510
^VNINDEX,20000901,113.3700,113.3700,113.3700,113.3700,96600
^VNINDEX,20000906,112.5100,112.5100,112.5100,112.5100,60900
^VNINDEX,20000908,112.3900,112.3900,112.3900,112.3900,49500
^VNINDEX,20000911,114.1100,114.1100,114.1100,114.1100,31300
^VNINDEX,20000913,116.0800,116.0800,116.0800,116.0800,18400
^VNINDEX,20000915,118.0400,118.0400,118.0400,118.0400,45900
^VNINDEX,20000918,118.1900,118.1900,118.1900,118.1900,64600
^VNINDEX,20000920,118.2100,118.2100,118.2100,118.2100,41600
^VNINDEX,20000922,118.7600,118.7600,118.7600,118.7600,66900
^VNINDEX,20000925,118.9800,118.9800,118.9800,118.9800,56600
^VNINDEX,20000927,119.6900,119.6900,119.6900,119.6900,56610
^VNINDEX,20000929,120.7100,120.7100,120.7100,120.7100,52800
^VNINDEX,20001002,120.9200,120.9200,120.9200,120.9200,48600
^VNINDEX,20001004,121.1400,121.1400,121.1400,121.1400,58400
^VNINDEX,20001006,122.2100,122.2100,122.2100,122.2100,39600
^VNINDEX,20001009,124.3300,124.3300,124.3300,124.3300,25900
^VNINDEX,20001011,126.4500,126.4500,126.4500,126.4500,53300
^VNINDEX,20001013,128.5700,128.5700,128.5700,128.5700,51900
^VNINDEX,20001016,130.7100,130.7100,130.7100,130.7100,26600
^VNINDEX,20001018,132.8500,132.8500,132.8500,132.8500,25700
^VNINDEX,20001020,135.0400,135.0400,135.0400,135.0400,65900
^VNINDEX,20001023,136.5500,136.5500,136.5500,136.5500,39100
^VNINDEX,20001025,137.0800,137.0800,137.0800,137.0800,45000
^VNINDEX,20001027,139.5700,139.5700,139.5700,139.5700,88200
^VNINDEX,20001030,140.8400,140.8400,140.8400,140.8400,101200
^VNINDEX,20001101,143.3300,143.3300,143.3300,143.3300,95900
^VNINDEX,20001103,145.8300,145.8300,145.8300,145.8300,78800
^VNINDEX,20001106,148.5700,148.5700,148.5700,148.5700,55300
^VNINDEX,20001108,151.3200,151.3200,151.3200,151.3200,29200
^VNINDEX,20001110,154.0800,154.0800,154.0800,154.0800,57300
^VNINDEX,20001113,156.8400,156.8400,156.8400,156.8400,21700
^VNINDEX,20001115,159.6000,159.6000,159.6000,159.6000,13400
^VNINDEX,20001117,162.3600,162.3600,162.3600,162.3600,35350
^VNINDEX,20001120,165.7000,165.7000,165.7000,165.7000,63910
^VNINDEX,20001122,165.5200,165.5200,165.5200,165.5200,136700
^VNINDEX,20001124,166.1700,166.1700,166.1700,166.1700,117420
^VNINDEX,20001127,165.6000,165.6000,165.6000,165.6000,90400
^VNINDEX,20001129,168.7300,168.7300,168.7300,168.7300,76800
^VNINDEX,20001201,171.8700,171.8700,171.8700,171.8700,43300
^VNINDEX,20001204,175.0000,175.0000,175.0000,175.0000,28500
^VNINDEX,20001206,178.1300,178.1300,178.1300,178.1300,60200
^VNINDEX,20001208,181.2600,181.2600,181.2600,181.2600,188420
^VNINDEX,20001211,189.9400,189.9400,189.9400,189.9400,125400
^VNINDEX,20001213,184.4800,184.4800,184.4800,184.4800,106000
^VNINDEX,20001215,187.6200,187.6200,187.6200,187.6200,49300
^VNINDEX,20001218,191.1100,191.1100,191.1100,191.1100,82200
