<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
CTG,20090716,11.6979,13.1601,11.6979,11.7271,2401900
CTG,20090717,11.2884,11.4054,11.1422,11.1422,1002480
CTG,20090720,10.5866,10.5866,10.5866,10.5866,156560
CTG,20090721,10.0602,10.3819,10.0602,10.2064,2133390
CTG,20090722,10.3819,10.4988,10.2356,10.3526,949090
CTG,20090723,10.2941,10.8498,10.2941,10.8498,758310
CTG,20090724,11.3762,11.3762,11.3762,11.3762,640060
CTG,20090727,11.9318,11.9318,11.5517,11.9318,3264870
CTG,20090728,11.9318,12.2242,11.6101,11.6394,2008120
CTG,20090729,11.6979,11.8441,11.2884,11.2884,1060730
CTG,20090730,11.0544,11.2592,10.8205,11.0837,830120
CTG,20090731,11.2592,11.6101,11.2299,11.6101,1807290
CTG,20090803,11.6978,11.9318,11.5516,11.6979,1203870
CTG,20090804,11.9903,11.9903,11.6979,11.7856,1428170
CTG,20090805,11.6686,11.7856,11.5809,11.6979,1130020
CTG,20090806,11.6979,11.7856,11.5516,11.5516,1483460
CTG,20090807,11.5516,11.6393,11.4639,11.5224,668260
CTG,20090810,11.6101,11.6979,11.5516,11.6686,730910
CTG,20090811,11.6101,11.6686,11.4931,11.5224,557710
CTG,20090812,11.6394,11.6686,11.4639,11.4639,1001200
CTG,20090813,11.6394,11.6394,11.4639,11.5224,1161040
CTG,20090814,11.5516,11.6686,11.5224,11.6101,878140
CTG,20090817,11.6978,11.7563,11.5516,11.5516,1534900
CTG,20090818,11.4054,11.5516,11.3761,11.4347,778860
CTG,20090819,11.4347,11.5224,11.4055,11.4347,713790
CTG,20090820,11.4055,11.4347,11.3469,11.3469,867530
CTG,20090821,11.5516,11.6978,11.4054,11.4347,1127700
CTG,20090824,11.4055,11.4932,11.4055,11.4347,684140
CTG,20090825,11.4055,11.4055,11.3177,11.3469,715430
CTG,20090826,11.2884,11.3469,11.2884,11.2884,635150
CTG,20090827,11.2592,11.2884,11.2007,11.2299,609730
CTG,20090828,11.2591,11.2884,11.2299,11.2884,928800
