<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DIG,20090819,11.9836,11.9836,11.9836,11.9836,2100
DIG,20090820,11.9836,12.5283,11.9836,12.5283,10
DIG,20090821,12.5283,13.0730,12.5283,13.0730,20
DIG,20090824,13.0730,13.7085,13.0730,13.7085,10
DIG,20090825,13.7085,14.3440,13.7085,14.3440,20
DIG,20090826,14.3440,14.9795,14.3440,14.9795,3310
DIG,20090827,14.9795,15.7058,14.9795,15.7058,381720
DIG,20090828,15.7058,16.4321,15.7058,16.4320,309600
DIG,20090831,16.4320,17.2491,16.4320,17.2491,112000
DIG,20090901,17.2491,18.0662,17.2491,18.0662,921830
DIG,20090902,18.0662,18.0662,18.0662,18.0662,0
DIG,20090903,18.0662,18.7017,17.2491,18.3385,331850
DIG,20090904,18.3385,18.3385,17.4307,17.4307,506740
DIG,20090907,17.4307,17.7938,17.1583,17.6122,405040
DIG,20090908,17.6122,18.1569,17.6122,17.7938,326720
DIG,20090909,17.7938,17.7938,17.2491,17.2491,513680
DIG,20090910,17.2491,17.6122,16.9767,17.5215,693920
DIG,20090911,17.5215,18.3857,17.5215,18.3857,422220
DIG,20090914,18.3857,19.3050,18.3857,19.3050,55900
DIG,20090915,19.3050,20.2243,19.3050,20.2243,271220
DIG,20090916,20.2243,21.1436,20.2243,21.1436,1262020
DIG,20090917,21.1436,21.6952,20.2243,21.3274,733950
DIG,20090918,21.3274,22.2467,21.3274,22.2467,618210
DIG,20090921,22.2467,23.3499,22.2467,23.3499,315910
DIG,20090922,23.3499,24.4530,23.3499,24.4530,72040
DIG,20090923,24.4530,25.5562,24.4530,25.5562,98680
DIG,20090924,25.5562,26.6593,25.5562,26.6593,1795070
DIG,20090925,26.6593,27.9463,26.6593,26.8432,651310
DIG,20090928,26.8432,26.8432,25.5562,25.7400,526570
DIG,20090929,25.7400,26.4754,24.8207,25.3723,633580
DIG,20090930,25.3723,25.3723,24.2692,24.2692,762150
DIG,20091001,24.2692,24.6369,23.1660,23.1660,932980
DIG,20091002,23.1660,23.1660,22.0629,22.0629,718960
DIG,20091005,22.0629,23.1660,21.8790,23.1660,1367350
DIG,20091006,23.1660,23.9014,23.1660,23.1660,720350
DIG,20091007,23.1660,23.9014,22.9821,22.9822,687880
DIG,20091008,22.9822,22.9822,22.4306,22.4306,835270
DIG,20091009,22.4306,23.5337,22.4306,23.5337,1874400
DIG,20091012,23.5337,24.6369,23.5337,24.6369,302880
DIG,20091013,24.6369,25.5562,24.0853,24.4530,914910
DIG,20091014,24.4530,24.4530,23.7176,24.4530,878260
DIG,20091015,24.4530,25.5562,24.4530,25.5562,1794380
DIG,20091016,25.5562,25.9239,24.6369,24.6369,888180
DIG,20091019,24.6369,24.8208,23.7176,24.0853,778790
DIG,20091020,24.0853,24.6369,24.0853,24.6369,843690
DIG,20091021,24.6369,24.6369,23.9015,24.0853,388920
DIG,20091022,24.0853,24.0853,23.5337,23.5337,531110
DIG,20091023,23.5337,24.0853,22.4306,22.4306,777980
DIG,20091026,22.4306,23.5337,22.0629,22.4306,814680
DIG,20091027,22.4306,23.3499,22.2467,23.3499,826690
DIG,20091028,23.3499,23.7176,22.9822,23.1660,303620
DIG,20091029,23.1660,23.1660,22.0629,22.2467,522450
DIG,20091030,22.2467,22.9821,22.2467,22.6145,346340
DIG,20091102,22.6145,22.6145,21.5113,21.5113,507990
DIG,20091103,21.5113,21.5113,20.5920,20.5920,842190
DIG,20091104,20.5920,21.3274,20.2243,20.2243,463830
DIG,20091105,20.2243,21.1436,20.2243,21.1436,351800
DIG,20091106,21.1436,22.0629,21.1436,21.6952,728260
DIG,20091109,21.6952,21.6952,20.7759,20.7759,426650
DIG,20091110,20.7759,20.9598,19.8566,19.8566,559920
DIG,20091111,19.8566,20.7759,19.8566,20.7759,284120
DIG,20091112,20.7759,21.6952,20.7759,21.1436,402890
DIG,20091113,21.1436,21.6952,20.9597,21.3274,367210
DIG,20091116,21.3274,21.5113,20.7758,20.7759,410310
DIG,20091117,20.7759,21.6952,20.0405,21.6952,1044500
