<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DPM,20071017,34.2201,34.2201,34.2201,34.2201,0
DPM,20071018,30.9469,30.9469,30.9469,30.9469,0
DPM,20071023,30.9469,30.9469,30.9469,30.9469,0
DPM,20071024,31.2445,31.2445,31.2445,31.2445,0
DPM,20071025,31.5420,31.5420,31.5420,31.5420,0
DPM,20071026,31.2445,31.2445,31.2445,31.2445,0
DPM,20071029,31.2445,31.2445,31.2445,31.2445,0
DPM,20071030,31.2445,31.2445,31.2445,31.2445,0
DPM,20071031,30.6493,30.6493,30.6493,30.6493,0
DPM,20071101,32.1372,32.1372,32.1372,32.1372,0
DPM,20071102,32.1372,32.1372,32.1372,32.1372,0
DPM,20071105,29.1615,29.1615,28.2688,28.2688,3379950
DPM,20071106,26.9298,26.9298,26.9297,26.9297,572750
DPM,20071107,25.5907,27.3760,25.5907,26.3346,2758160
DPM,20071108,26.1858,26.4834,25.5907,25.7395,1424890
DPM,20071109,24.6980,25.1444,24.6980,24.9956,2272600
DPM,20071112,24.9956,25.4419,24.6980,25.2931,1667190
DPM,20071113,25.2931,25.4419,24.6980,25.1443,2910860
DPM,20071114,25.2931,26.3346,25.1443,26.3346,2139660
DPM,20071115,25.8883,26.0370,25.2931,25.2931,1016050
DPM,20071116,24.8468,25.1443,24.6980,24.8468,855700
DPM,20071119,24.8468,24.9956,24.5492,24.5492,887740
DPM,20071120,24.1029,24.1029,23.9541,23.9541,1203340
DPM,20071121,23.5078,23.8053,23.5078,23.8053,1338580
DPM,20071122,23.9541,24.2516,23.8053,23.8053,900600
DPM,20071123,23.8053,23.9541,23.5077,23.5077,588830
DPM,20071126,23.5077,23.8053,23.5077,23.5077,528680
DPM,20071127,23.8053,23.8053,23.5077,23.5077,615750
DPM,20071128,23.5077,23.6565,23.2101,23.2102,667720
DPM,20071129,23.2102,23.2102,22.9126,22.9126,834760
DPM,20071130,22.6150,23.0614,22.6150,23.0614,848210
DPM,20071203,23.5077,23.5077,23.3590,23.5077,630220
DPM,20071204,23.6565,23.8053,23.5077,23.6565,796420
DPM,20071205,23.6565,23.6565,23.2102,23.3589,973250
DPM,20071206,23.2101,23.3589,23.2101,23.3589,456540
DPM,20071207,23.2101,23.3589,23.0613,23.2102,377460
DPM,20071210,22.6151,22.9126,22.3175,22.3175,852870
DPM,20071211,21.5736,22.3175,21.2760,21.7223,1485050
DPM,20071212,21.7223,22.4662,21.7223,22.1687,581180
DPM,20071213,22.1687,22.3175,21.8711,21.8711,427130
DPM,20071214,21.8711,21.8711,21.7223,21.7223,492400
DPM,20071217,21.5735,21.5735,20.9784,20.9784,384540
DPM,20071218,21.1272,21.7223,20.9784,21.7223,1043170
DPM,20071219,22.1686,22.7638,22.0199,22.6150,948480
DPM,20071220,22.6150,22.6150,21.8711,21.8711,524070
DPM,20071221,21.8711,22.0199,21.8711,22.0199,425260
DPM,20071224,21.7223,22.0199,21.5736,21.8711,532460
DPM,20071225,21.5735,21.7223,21.4248,21.5736,552150
DPM,20071226,21.5736,21.5736,21.4248,21.5736,537030
DPM,20071227,21.5736,21.7224,21.5736,21.5736,389360
DPM,20071228,21.5736,22.0200,21.4248,22.0199,539370
DPM,20080102,22.0199,22.0199,21.8711,22.0199,700320
DPM,20080103,21.7223,21.8711,21.5736,21.5736,336450
DPM,20080104,21.4248,21.7224,21.4248,21.4248,277810
DPM,20080107,21.4248,21.4248,20.8296,20.8296,650020
DPM,20080108,21.1272,21.4247,21.1272,21.1272,630360
DPM,20080109,20.9784,21.2760,20.8296,20.8296,678580
DPM,20080110,20.5320,20.6808,20.0857,20.2345,789140
DPM,20080111,20.5321,20.6808,20.3833,20.3833,706860
DPM,20080114,20.5321,20.5321,19.7882,19.7882,567450
DPM,20080115,19.1931,19.3418,18.8955,18.8955,1022110
DPM,20080116,19.7882,19.7882,19.4906,19.7882,1056830
DPM,20080117,19.7882,19.7882,19.0443,19.3418,830310
DPM,20080118,19.3418,19.7881,19.1930,19.6394,337570
DPM,20080121,19.3418,19.4906,19.1930,19.1930,248090
DPM,20080122,18.7467,18.8954,18.5979,18.7467,482620
DPM,20080123,18.4491,18.4491,17.8540,18.0028,911760
DPM,20080124,18.3004,18.4492,18.0028,18.0028,1071270
DPM,20080125,18.0028,18.4492,17.8540,18.1515,742600
DPM,20080128,18.0027,18.4491,18.0027,18.4491,678990
DPM,20080129,18.5979,19.3418,18.4491,19.3418,1132100
DPM,20080130,20.2345,20.2345,19.9369,20.2345,1473030
DPM,20080131,19.9369,20.0857,19.3418,20.0857,1554860
DPM,20080201,20.2345,20.3833,20.0857,20.3833,1169310
DPM,20080212,20.3833,20.3833,19.9369,19.9369,735250
DPM,20080213,19.9369,19.9369,19.3418,19.6394,676590
DPM,20080214,19.7882,20.0858,19.6394,19.6394,1001960
DPM,20080215,19.6394,19.6394,19.3418,19.3418,490090
DPM,20080218,18.5979,18.7467,18.4491,18.4491,1300970
DPM,20080219,18.1515,18.5979,18.1515,18.4491,1054750
DPM,20080220,18.4491,18.4491,17.5564,17.5564,1099330
DPM,20080221,16.8125,16.9613,16.8125,16.8125,1570450
DPM,20080222,16.0686,16.9613,16.0686,16.8125,1917560
DPM,20080225,17.2588,17.5564,17.1101,17.5564,986860
DPM,20080226,17.4076,17.4076,16.8125,16.8125,1462260
DPM,20080227,16.6637,17.2588,16.6637,16.9613,776840
DPM,20080228,17.1101,17.2589,16.8125,16.9613,966770
DPM,20080229,16.9613,17.1101,16.5149,16.6637,932430
DPM,20080303,16.3661,16.5149,15.9198,15.9198,1488990
DPM,20080304,15.1759,15.3247,15.1759,15.1759,1176050
DPM,20080305,14.4320,14.8783,14.4320,14.7295,1943170
DPM,20080306,15.3246,15.3247,15.3246,15.3247,310750
DPM,20080307,16.0686,16.0686,16.0686,16.0686,66930
DPM,20080310,16.8125,16.8125,16.5149,16.8125,2740580
DPM,20080311,16.3662,16.6637,16.2174,16.5149,2036820
DPM,20080312,16.6637,17.2588,16.6637,16.9613,1467140
DPM,20080313,17.2589,17.2589,16.8125,17.1101,1035140
DPM,20080314,16.9613,17.2589,16.8125,17.1101,957150
DPM,20080317,16.6637,16.8125,16.3661,16.3661,1642900
DPM,20080318,15.6222,15.6222,15.6222,15.6222,1194890
DPM,20080319,15.4734,15.9198,15.0271,15.1759,2308980
DPM,20080320,15.1759,15.6222,15.1759,15.1759,1277620
DPM,20080321,15.1759,15.3247,14.8783,14.8783,1526440
DPM,20080324,14.5807,14.7295,14.1344,14.1344,1436350
DPM,20080325,13.4500,13.5393,13.4500,13.4500,1325860
DPM,20080326,13.8963,14.1046,13.8368,14.1046,1483350
DPM,20080327,14.2236,14.2237,14.2236,14.2237,38890
DPM,20080328,14.3427,14.3427,14.3427,14.3427,26910
DPM,20080331,14.4617,14.4617,14.4617,14.4617,25470
DPM,20080401,14.5807,14.5807,14.5807,14.5807,26040
DPM,20080402,14.6997,14.6998,14.6997,14.6998,720
DPM,20080403,14.8188,14.8188,14.8188,14.8188,10830
DPM,20080404,14.8783,14.8783,14.8783,14.8783,18410
DPM,20080407,15.1759,15.1759,15.1759,15.1759,24750
DPM,20080408,15.4735,15.4735,15.0271,15.4734,2428410
DPM,20080409,15.7710,15.7710,15.6222,15.7710,911220
DPM,20080410,15.7710,15.7710,15.4734,15.4734,1612540
DPM,20080411,15.1758,15.3246,15.1758,15.1759,1438140
DPM,20080416,14.8783,15.1759,14.8783,15.1759,1166460
DPM,20080417,15.1759,15.4735,15.1759,15.4734,715050
DPM,20080418,15.7710,15.7710,15.4734,15.7710,1785770
DPM,20080421,15.9226,15.9226,15.6194,15.7705,789080
DPM,20080422,15.6189,15.7705,15.4672,15.6189,954070
DPM,20080423,15.3156,15.4673,15.3156,15.3156,1064470
DPM,20080424,15.4672,15.6189,15.3156,15.6189,765670
DPM,20080425,15.7705,15.7705,15.4673,15.6189,613620
DPM,20080428,15.7705,15.9222,15.6189,15.9222,1022100
DPM,20080429,16.2255,16.2255,15.9222,16.2255,1279060
DPM,20080505,16.0739,16.2255,15.9222,15.9222,536630
DPM,20080506,15.7706,15.9222,15.6189,15.7705,586880
DPM,20080507,15.6189,15.7705,15.6189,15.7705,887940
DPM,20080508,15.6189,15.7705,15.4672,15.6189,835170
DPM,20080509,15.3156,15.4673,15.3156,15.3156,1195210
DPM,20080512,15.0123,15.1336,15.0123,15.0123,1206960
DPM,20080513,14.7393,14.7394,14.7393,14.7394,230630
DPM,20080514,14.4664,14.4664,14.4664,14.4664,163910
