<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DRC,20061229,3.6223,3.6223,3.6223,3.6223,45520
DRC,20070102,3.4507,3.7367,3.4507,3.4508,76340
DRC,20070103,3.4317,3.4317,3.2792,3.4317,117380
DRC,20070104,3.6033,3.6033,3.6033,3.6033,46370
DRC,20070105,3.7749,3.7749,3.7749,3.7749,143090
DRC,20070108,3.7940,3.7940,3.7367,3.7367,96590
DRC,20070109,3.7367,3.7367,3.6986,3.6986,69130
DRC,20070110,3.6986,3.6986,3.6033,3.6033,57710
DRC,20070111,3.4317,3.4317,3.4317,3.4317,68260
DRC,20070112,3.4317,3.4317,3.4317,3.4317,118950
DRC,20070115,3.5842,3.6033,3.5842,3.6033,103090
DRC,20070116,3.7368,3.7368,3.6223,3.6223,118640
DRC,20070117,3.7939,3.7939,3.6986,3.7749,250760
DRC,20070118,3.9274,3.9274,3.9274,3.9274,128360
DRC,20070119,4.1181,4.1181,4.1180,4.1180,20170
DRC,20070122,4.3086,4.3086,4.1561,4.1562,210930
DRC,20070123,4.3469,4.3469,4.3468,4.3468,93310
DRC,20070124,4.5374,4.5375,4.5374,4.5375,69680
DRC,20070125,4.7282,4.7282,4.7281,4.7281,183980
DRC,20070126,4.9569,4.9569,4.7281,4.7281,223120
DRC,20070129,4.9569,4.9569,4.9569,4.9569,84300
DRC,20070130,5.1857,5.1857,5.1857,5.1857,29170
DRC,20070131,5.4145,5.4145,5.4145,5.4145,61340
DRC,20070201,5.6814,5.6814,5.6814,5.6814,224840
DRC,20070202,5.7195,5.7195,5.7195,5.7195,164240
DRC,20070205,5.9864,5.9864,5.9864,5.9864,119920
DRC,20070206,6.2533,6.2533,6.0627,6.2533,89790
DRC,20070207,6.5583,6.5584,6.5583,6.5584,69260
DRC,20070208,6.8634,6.8634,6.8634,6.8634,48440
DRC,20070209,6.5202,6.8634,6.5202,6.5202,87630
DRC,20070212,6.8252,6.8253,6.8252,6.8253,40530
DRC,20070213,7.0541,7.1303,7.0540,7.0540,72030
DRC,20070214,7.3972,7.3972,7.3209,7.3972,63570
DRC,20070215,7.7404,7.7404,7.7404,7.7404,23280
DRC,20070226,8.1217,8.1217,8.0073,8.1217,5720
DRC,20070227,8.5030,8.5030,8.5030,8.5030,2480
DRC,20070228,8.8080,8.9224,8.1980,8.8080,121260
DRC,20070301,8.9605,9.2274,8.8080,8.9605,86930
DRC,20070302,8.9605,8.9605,8.7699,8.7699,88360
DRC,20070305,8.7699,9.1893,8.7699,8.7699,145320
DRC,20070306,8.3886,8.7699,8.3886,8.3886,82880
DRC,20070307,8.0073,8.0073,8.0073,8.0073,107770
DRC,20070308,8.3886,8.3886,8.3886,8.3886,38360
DRC,20070309,8.8080,8.8080,8.6555,8.6555,108760
DRC,20070312,9.0749,9.0749,8.6555,8.6555,119500
DRC,20070313,8.7699,8.7699,8.2361,8.7699,96390
DRC,20070314,8.3505,8.6936,8.3505,8.3505,24450
DRC,20070315,8.0073,8.0073,8.0073,8.0073,98750
DRC,20070316,8.3886,8.3886,8.3886,8.3886,55160
DRC,20070319,8.7699,8.7699,8.3886,8.3886,73930
DRC,20070320,8.3505,8.3886,8.0073,8.3886,80300
DRC,20070321,8.1980,8.3886,8.1980,8.3123,35330
DRC,20070322,7.9310,7.9310,7.9310,7.9310,34610
DRC,20070323,7.6260,7.6260,7.6260,7.6260,86420
DRC,20070326,7.6260,7.6260,7.6260,7.6260,89630
DRC,20070327,7.6260,7.6260,7.4353,7.4353,102060
DRC,20070328,7.0921,7.2447,7.0921,7.2447,51140
DRC,20070329,7.5497,7.5879,7.5497,7.5879,23920
DRC,20070330,7.9311,7.9311,7.9310,7.9310,88620
DRC,20070402,7.9310,7.9310,7.5878,7.8548,52120
DRC,20070403,7.5879,7.5879,7.4735,7.5879,36100
DRC,20070404,7.5879,7.6260,7.5879,7.6260,26200
DRC,20070405,7.4353,7.6260,7.4353,7.6260,49130
DRC,20070406,7.3972,7.3972,7.3209,7.3209,28130
DRC,20070409,7.3972,7.6641,7.3972,7.6641,45140
DRC,20070410,7.6260,7.6260,7.5878,7.5879,23050
DRC,20070411,7.4735,7.4735,7.4353,7.4353,23740
DRC,20070412,7.3972,7.3972,7.2447,7.2447,32530
DRC,20070413,7.2447,7.2447,7.1684,7.1684,26670
DRC,20070416,7.2447,7.2447,7.0540,7.0540,67460
DRC,20070417,6.9015,6.9778,6.9015,6.9778,31710
DRC,20070418,7.0922,7.3210,7.0922,7.3209,58150
DRC,20070419,7.6641,7.6641,7.4353,7.4353,164580
DRC,20070420,7.4353,7.4353,7.4353,7.4353,65720
DRC,20070423,7.4353,7.4353,7.2447,7.2447,53720
