<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DXG,20091222,4.8446,4.8446,4.8446,4.8446,10110
DXG,20091223,5.0465,5.0465,5.0464,5.0464,2610
DXG,20091224,5.2987,5.2988,5.2987,5.2988,3600
DXG,20091225,5.5511,5.5511,5.5511,5.5511,15520
DXG,20091228,5.8034,5.8034,5.8034,5.8034,22110
DXG,20091229,6.0557,6.0557,6.0557,6.0557,38610
DXG,20091230,6.3585,6.3585,6.3585,6.3585,6900
DXG,20091231,6.6613,6.6613,6.6613,6.6613,16600
DXG,20100104,6.9641,6.9641,6.9641,6.9641,9500
DXG,20100105,7.2669,7.2669,7.2669,7.2669,20500
DXG,20100106,7.6202,7.6202,7.3173,7.3173,94440
DXG,20100107,7.0650,7.5696,7.0650,7.4687,45500
DXG,20100108,7.7715,7.8219,7.5192,7.5192,23530
DXG,20100111,7.8220,7.8725,7.6201,7.7715,14590
DXG,20100112,8.0743,8.0743,7.4182,7.4183,31540
DXG,20100113,7.0650,7.0650,7.0650,7.0650,9910
DXG,20100114,7.0145,7.2669,6.9136,7.1155,53980
DXG,20100115,6.8127,7.1660,6.7622,7.1659,15060
DXG,20100118,7.2668,7.3678,6.8127,6.8127,43440
DXG,20100119,6.8632,6.8632,6.8632,6.8632,1430
DXG,20100120,6.8632,6.9641,6.6613,6.6613,1260
DXG,20100121,6.4594,6.4594,6.3585,6.3585,23690
DXG,20100122,6.4594,6.5099,6.0557,6.0557,25790
DXG,20100125,5.8034,6.1566,5.7529,6.1062,39940
DXG,20100126,6.3081,6.4090,6.3081,6.4090,27290
DXG,20100127,6.5604,6.5604,6.1567,6.3585,10730
DXG,20100128,6.1566,6.3585,6.1062,6.1567,5940
DXG,20100129,6.2576,6.3081,6.1567,6.2576,12380
DXG,20100201,6.3585,6.4090,6.2071,6.3585,3930
DXG,20100202,6.2576,6.5099,6.2576,6.4090,12750
DXG,20100203,6.4090,6.4090,6.3585,6.4090,1010
DXG,20100204,6.2071,6.4595,6.2071,6.4594,6600
DXG,20100205,6.1566,6.4089,6.1566,6.1567,26670
DXG,20100208,6.2576,6.2576,5.8539,5.9548,18040
DXG,20100209,5.9548,5.9548,5.7025,5.9548,12680
DXG,20100210,5.9548,6.0557,5.7025,5.9548,6400
DXG,20100211,6.0557,6.0557,5.9548,6.0557,4530
DXG,20100212,6.2576,6.3585,5.8538,6.2576,12020
DXG,20100222,6.2576,6.3081,5.9548,6.3081,8050
DXG,20100223,6.0053,6.2576,6.0053,6.2576,4960
DXG,20100224,6.0053,6.0557,6.0053,6.0557,3510
DXG,20100225,5.9548,6.1062,5.8538,5.8539,6930
DXG,20100226,6.0053,6.0558,5.8539,5.8539,2800
DXG,20100301,5.8539,6.0558,5.8539,6.0053,8210
DXG,20100302,6.0053,6.0558,6.0053,6.0557,12780
DXG,20100303,6.2071,6.2071,6.1566,6.1567,8110
DXG,20100304,6.2576,6.2576,6.0558,6.1567,12170
DXG,20100305,6.1567,6.1567,5.8539,6.1567,21810
DXG,20100308,6.2576,6.2576,6.1567,6.2576,23050
DXG,20100309,6.3585,6.3585,6.1567,6.1567,3580
DXG,20100310,6.2576,6.4595,6.2072,6.4594,288980
DXG,20100311,6.7622,6.7622,6.7622,6.7622,221670
DXG,20100312,7.0650,7.0650,7.0650,7.0650,100110
DXG,20100315,7.4182,7.4183,7.3678,7.4183,86950
DXG,20100316,7.1155,7.6202,7.0650,7.0650,115140
DXG,20100317,7.2164,7.2164,6.9136,6.9136,74320
DXG,20100318,7.0650,7.0650,6.6613,6.9641,57130
DXG,20100319,7.0650,7.0650,6.9641,7.0146,100290
DXG,20100322,6.9137,6.9641,6.9137,6.9641,12480
DXG,20100323,6.8632,6.9641,6.8127,6.8127,17420
DXG,20100324,6.9136,6.9136,6.8632,6.8632,4450
DXG,20100325,6.8632,6.8632,6.7118,6.8127,33050
DXG,20100326,6.9136,6.9641,6.8127,6.8632,69020
DXG,20100329,6.9137,6.9137,6.8632,6.9136,19060
DXG,20100330,6.8631,6.9136,6.7622,6.7622,34860
DXG,20100331,6.7117,6.7622,6.6613,6.6613,23400
DXG,20100401,6.5604,6.8127,6.4594,6.8127,43260
DXG,20100402,6.6613,6.8632,6.6108,6.7118,23680
DXG,20100405,6.9641,7.0146,6.8632,7.0146,54510
DXG,20100406,7.1660,7.1660,6.9641,7.0146,20710
DXG,20100407,7.0651,7.1155,7.0146,7.0146,13810
DXG,20100408,7.0651,7.0651,6.9641,7.0146,24450
DXG,20100409,7.1660,7.3174,7.1155,7.3173,64150
DXG,20100412,7.6705,7.6706,7.6705,7.6706,12590
DXG,20100413,8.0239,8.0239,7.7715,8.0238,115230
DXG,20100414,8.3266,8.3771,7.8219,8.3771,129540
DXG,20100415,8.6294,8.6799,8.1248,8.2762,31180
DXG,20100416,8.6799,8.6799,8.4276,8.6799,52620
DXG,20100419,9.0836,9.0836,8.5790,8.9827,55680
DXG,20100420,8.9322,9.1341,8.7304,8.9827,73120
DXG,20100421,9.0332,9.0836,8.6799,8.8817,122180
DXG,20100422,8.7303,9.0836,8.7303,8.8817,52260
DXG,20100426,8.8312,8.8817,8.4780,8.4780,125360
