<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
EIB,20091027,14.0505,15.0039,14.0505,14.5523,14130980
EIB,20091028,14.9036,14.9537,14.5523,14.7029,6561020
EIB,20091029,14.3015,14.5524,14.0004,14.1509,3970860
EIB,20091030,14.3014,14.3516,14.0505,14.1509,3723990
EIB,20091102,13.7996,13.9000,13.4484,13.7494,5989710
EIB,20091103,13.5989,13.7996,13.2476,13.2978,3297810
EIB,20091104,13.5487,13.5989,13.1974,13.2978,2791880
EIB,20091105,13.5487,13.7996,13.3480,13.6993,2980370
EIB,20091106,14.0004,14.0004,13.5487,13.5487,3057730
EIB,20091109,13.2978,13.4985,13.1473,13.2476,3593740
EIB,20091110,13.2978,13.3981,12.9465,12.9967,2749910
EIB,20091111,13.0469,13.2978,12.9465,13.2978,2148090
EIB,20091112,13.2978,13.4483,13.2476,13.2978,1890050
EIB,20091113,13.1974,13.2978,13.1473,13.2978,1842920
EIB,20091116,13.1473,13.2978,12.9967,12.9967,1965290
EIB,20091117,12.9967,12.9967,12.6956,12.6956,2059480
EIB,20091118,12.5451,12.5952,12.4447,12.5451,2541330
EIB,20091119,12.5451,12.8462,12.5451,12.7458,1896910
EIB,20091120,12.6956,12.7458,12.5451,12.5451,1462170
EIB,20091123,12.4447,12.4949,12.1938,12.1938,1601490
EIB,20091124,12.0433,12.1938,11.7422,11.7422,2915180
EIB,20091125,11.5415,11.5415,11.1902,11.1902,4320240
EIB,20091126,10.7888,10.9895,10.6382,10.6382,4072270
EIB,20091127,10.1364,11.1401,10.1364,11.1401,2414700
EIB,20091130,11.6921,11.6921,11.6920,11.6920,960250
EIB,20091201,12.2440,12.2440,12.2440,12.2440,509260
EIB,20091202,11.7924,12.7960,11.7924,12.1938,9790490
EIB,20091203,12.2942,12.5451,12.0433,12.4949,4989260
EIB,20091204,12.6454,12.6454,12.3945,12.4949,1836220
EIB,20091207,12.4949,12.4949,12.2942,12.3444,1524840
EIB,20091208,12.1437,12.2440,11.8928,11.9429,2401440
EIB,20091209,11.5415,11.6418,11.3909,11.4913,3143570
EIB,20091210,11.6920,11.6920,11.3408,11.4411,2183660
EIB,20091211,11.4411,11.4913,11.0898,11.0899,2898380
EIB,20091214,11.6419,11.6419,11.4412,11.6419,4458950
EIB,20091215,11.9430,12.0935,11.6921,11.9429,2988620
EIB,20091216,11.9429,11.9429,11.4411,11.4913,2577780
EIB,20091217,11.4411,11.8426,11.2404,11.7924,2894350
EIB,20091218,11.8426,12.1938,11.8426,11.9429,3820150
EIB,20091221,12.0934,12.2440,11.9429,12.2440,3973490
EIB,20091222,12.1938,12.2440,11.9429,12.0433,3874370
EIB,20091223,12.0433,12.1437,11.8928,11.9931,3508950
EIB,20091224,11.9429,12.1436,11.8927,12.0935,4181060
EIB,20091225,12.3444,12.4448,12.1437,12.3946,3364470
EIB,20091228,12.0935,12.3444,12.0935,12.1938,2973170
EIB,20091229,12.0433,12.1938,11.9931,11.9931,2220070
EIB,20091230,12.0433,12.1938,11.9429,11.9931,1656460
EIB,20091231,12.1436,12.1938,11.9931,12.0433,6441730
EIB,20100104,12.0433,12.6455,12.0433,12.6455,3521350
EIB,20100105,13.1975,13.2477,12.9968,13.0971,4561690
EIB,20100106,13.0469,13.0469,12.7458,12.7960,2756100
EIB,20100107,12.7960,12.8462,12.5451,12.5451,2586670
EIB,20100108,12.8964,12.9967,12.4447,12.4447,3831940
EIB,20100111,12.4447,12.5451,12.2942,12.3946,1292100
EIB,20100112,12.2942,12.4448,11.8426,11.8426,1951010
EIB,20100113,11.8426,12.0935,11.7422,11.9931,2102770
EIB,20100114,12.0433,12.0935,11.8927,11.9429,1124370
EIB,20100115,11.9429,12.0433,11.8425,11.9429,1396510
EIB,20100118,11.9429,11.9429,11.6920,11.6920,1991690
EIB,20100119,11.8425,11.9931,11.6920,11.8426,1376290
EIB,20100120,11.9931,11.9931,11.7422,11.7924,1566410
EIB,20100121,11.6419,11.8426,11.6419,11.6419,1350830
EIB,20100122,11.4412,11.6921,11.4412,11.5415,1177140
EIB,20100125,11.5415,11.5917,11.4913,11.5415,1593240
EIB,20100126,11.6920,12.0433,11.6920,12.0433,1772240
EIB,20100127,11.6920,11.9429,11.6419,11.8928,1513870
EIB,20100128,11.8928,11.8928,11.4914,11.5917,1362970
EIB,20100129,11.5415,11.6419,11.4913,11.5415,1339920
EIB,20100201,11.5415,11.6419,11.5415,11.5415,1085620
EIB,20100202,11.5917,11.6419,11.5415,11.5917,1423240
EIB,20100203,11.5415,11.6921,11.5415,11.5917,851530
EIB,20100204,11.5917,11.7422,11.5917,11.6419,614680
EIB,20100205,11.5415,11.6419,11.5415,11.5415,649670
EIB,20100208,11.4913,11.7924,11.4913,11.7422,992150
EIB,20100209,11.6418,11.7422,11.5917,11.5917,490930
EIB,20100210,11.5415,11.7422,11.5415,11.5917,380180
EIB,20100211,11.5415,11.7924,11.5415,11.7924,345620
EIB,20100212,11.9429,11.9429,11.7924,11.8928,481470
EIB,20100222,11.9430,11.9932,11.7924,11.8928,479220
EIB,20100223,11.7423,11.7924,11.6419,11.6920,353620
EIB,20100224,11.6418,11.6419,11.5415,11.6419,557970
EIB,20100225,11.6419,11.7924,11.5415,11.5917,414870
EIB,20100226,11.5917,11.6419,11.5415,11.5917,518750
EIB,20100301,11.7924,11.8928,11.7422,11.7422,1007300
EIB,20100302,11.7924,11.7924,11.5917,11.6419,455230
EIB,20100303,11.6419,11.7423,11.6419,11.7422,721890
EIB,20100304,11.7924,11.7924,11.6418,11.6920,990740
EIB,20100305,11.6418,11.6920,11.5916,11.5917,1202700
EIB,20100308,11.6419,11.6921,11.5917,11.5917,1633040
EIB,20100309,11.5917,11.6419,11.5415,11.5917,1539830
EIB,20100310,11.6419,11.6419,11.5415,11.5415,1149220
EIB,20100311,11.5415,11.6419,11.4913,11.4913,1318860
EIB,20100312,11.5415,11.5917,11.4913,11.5415,1235280
EIB,20100315,11.6419,11.6920,11.5917,11.6419,1646830
EIB,20100316,11.5917,11.6921,11.5415,11.6419,2133840
EIB,20100317,11.5917,11.6921,11.5917,11.6419,1758360
EIB,20100318,11.5917,11.6419,11.5415,11.5415,702920
EIB,20100319,11.5415,11.5917,11.4913,11.5415,2203370
EIB,20100322,11.5415,11.5917,11.4411,11.4913,1425770
EIB,20100323,11.5415,11.5917,11.4913,11.5415,1723230
EIB,20100324,11.5415,11.5415,11.4913,11.4913,1207450
EIB,20100325,11.4913,11.5415,11.4411,11.4411,2133360
EIB,20100326,11.3909,11.4913,11.3909,11.4411,1859080
EIB,20100329,11.2906,11.3909,11.1902,11.2906,734320
EIB,20100330,11.1902,11.6920,11.1401,11.6920,1106600
EIB,20100331,11.6920,11.7422,11.3407,11.7422,3879910
EIB,20100401,11.4411,11.6920,11.3408,11.5917,764630
EIB,20100402,11.5415,11.5415,11.3408,11.3408,319790
EIB,20100405,11.3408,11.4412,11.2906,11.3408,797780
EIB,20100406,11.3408,11.4412,11.2906,11.2906,407860
EIB,20100407,11.2906,11.3408,11.1902,11.2404,962450
EIB,20100408,11.1902,11.2404,11.1902,11.1902,424420
EIB,20100409,11.1902,11.2404,11.1400,11.1902,538600
EIB,20100412,11.1902,11.2404,11.1400,11.1902,678990
EIB,20100413,11.1902,11.1902,11.0898,11.0899,527060
EIB,20100414,11.0899,11.1401,11.0397,11.0899,558060
EIB,20100415,11.0899,11.1401,11.0397,11.0397,634680
EIB,20100416,11.1401,11.1401,11.0397,11.1401,458970
EIB,20100419,11.1401,11.1401,10.9393,10.9393,570220
EIB,20100420,11.0397,11.0397,10.8389,10.8390,600870
EIB,20100421,10.8390,10.9394,10.7888,10.7888,573820
EIB,20100422,10.8892,11.2906,10.8390,11.0397,609800
EIB,20100426,11.0397,11.1401,10.9393,10.9393,509140
EIB,20100427,10.8891,10.9393,10.8389,10.8390,447830
EIB,20100428,10.8390,10.8892,10.7386,10.7888,552180
EIB,20100429,10.8892,10.9393,10.8390,10.8390,614080
EIB,20100504,11.0397,11.3408,10.9895,11.3408,2874870
EIB,20100505,11.3408,11.4412,11.1903,11.2404,939860
EIB,20100506,11.2404,11.3408,11.0899,11.1401,505550
EIB,20100507,10.9896,11.0899,10.8390,10.9393,776310
EIB,20100510,10.7386,10.8389,10.5880,10.7888,1686460
EIB,20100511,10.7888,10.8892,10.7386,10.7888,918870
EIB,20100512,10.6383,10.7386,10.5881,10.6884,1213710
EIB,20100513,10.6884,10.7386,10.5880,10.5881,537010
EIB,20100514,10.5379,10.6383,10.5379,10.5379,605900
EIB,20100517,10.4877,10.5379,10.3372,10.4375,1129200
EIB,20100518,10.4877,10.4877,10.3371,10.4375,881440
EIB,20100519,10.3873,10.4375,10.1866,10.1866,918500
EIB,20100520,9.9357,10.2870,9.9357,10.2870,1216340
EIB,20100521,9.9859,10.1365,9.9859,9.9859,1070850
EIB,20100524,10.0361,10.0361,9.8855,9.9859,1236260
EIB,20100525,9.9357,10.0361,9.9357,9.9357,795490
EIB,20100526,9.8855,9.9357,9.8353,9.8855,793920
EIB,20100527,9.8353,9.8855,9.7851,9.8354,551410
EIB,20100528,10.0361,10.0863,9.8856,10.0361,972850
EIB,20100531,9.9859,10.0361,9.8856,9.9357,549910
EIB,20100601,9.8855,10.0361,9.8855,9.8855,444750
EIB,20100602,9.8855,9.8855,9.7851,9.8855,593200
EIB,20100603,9.8855,9.9357,9.8353,9.8855,655650
EIB,20100604,9.8855,9.9357,9.8353,9.8855,480900
EIB,20100607,9.7350,9.8353,9.6848,9.6848,802880
EIB,20100608,9.6848,9.7852,9.6346,9.6848,645660
EIB,20100609,9.7350,9.7350,9.5844,9.6346,787190
EIB,20100610,9.5844,9.6848,9.5844,9.6848,412880
EIB,20100611,9.7350,9.7852,9.7350,9.7852,562760
EIB,20100614,9.7852,9.8856,9.7852,9.7852,306620
EIB,20100615,9.7852,9.8354,9.7350,9.7350,487010
EIB,20100616,9.7852,9.8354,9.7852,9.8354,409350
EIB,20100617,9.7852,9.8856,9.7852,9.8354,531990
EIB,20100618,9.8866,10.0403,9.8866,9.9375,789500
EIB,20100621,9.9375,10.0399,9.9375,9.9375,344500
EIB,20100622,9.9375,9.9887,9.8863,9.8863,504190
EIB,20100623,9.8863,9.9375,9.8351,9.8863,421570
EIB,20100624,9.9375,9.9375,9.8351,9.9375,645970
EIB,20100625,9.8863,9.9375,9.8350,9.8350,525340
EIB,20100628,9.7838,9.9887,9.7838,9.8863,723110
EIB,20100629,9.8863,9.9887,9.8863,9.9375,525040
EIB,20100630,9.7838,9.8863,9.6814,9.6814,796480
EIB,20100701,9.7326,9.7838,9.6814,9.7838,663650
EIB,20100702,9.8350,9.8350,9.7326,9.7326,1082230
EIB,20100705,9.6814,10.1424,9.6814,9.9887,759160
EIB,20100706,9.7838,10.1424,9.7838,9.8863,949270
EIB,20100707,9.8863,9.8863,9.7838,9.7838,252330
EIB,20100708,9.8862,9.9375,9.7838,9.7838,557680
EIB,20100709,9.8350,9.8350,9.7326,9.7326,271760
EIB,20100712,9.7326,9.8350,9.7326,9.7838,469790
EIB,20100713,9.8350,9.8350,9.7838,9.8350,206790
EIB,20100714,9.8862,9.9887,9.8862,9.8863,559600
EIB,20100715,9.8351,9.9375,9.8350,9.8350,555370
EIB,20100716,9.8350,9.8350,9.7326,9.8350,639740
EIB,20100719,9.7838,9.8350,9.7838,9.8350,477840
EIB,20100720,9.7838,9.8350,9.6813,9.7326,440630
EIB,20100721,9.7326,9.8863,9.7326,9.7838,988180
EIB,20100722,9.7838,9.7838,9.7326,9.7838,492120
EIB,20100723,9.7838,9.8350,9.7326,9.7838,791370
EIB,20100726,9.7838,9.7838,9.6814,9.7326,1098370
EIB,20100727,9.7326,9.7838,9.6814,9.6814,416880
EIB,20100728,9.7326,9.7326,9.6814,9.6814,509520
EIB,20100729,9.6814,9.6814,9.6302,9.6814,316490
EIB,20100730,9.6814,9.7326,9.6814,9.6814,328560
EIB,20100802,9.6814,9.7326,9.5789,9.5789,298230
EIB,20100803,9.5789,9.6301,9.5277,9.5277,226070
EIB,20100804,9.5277,9.5277,9.4252,9.4252,285440
EIB,20100805,9.4764,9.4764,9.3740,9.4252,329780
EIB,20100806,9.3740,9.4252,9.2715,9.2716,293440
EIB,20100809,9.2204,9.2716,9.1692,9.2203,984780
EIB,20100810,9.2203,9.2203,8.9130,8.9642,506980
EIB,20100811,8.8105,8.9130,8.7081,8.8106,299410
EIB,20100812,8.6569,8.7082,8.4520,8.4520,618920
