<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAG,20081222,13.2433,14.1262,13.2433,14.1262,2830
HAG,20081223,14.7148,14.7148,14.7147,14.7147,3010
HAG,20081224,15.4504,15.4505,15.4504,15.4505,1000
HAG,20081225,16.1862,16.1862,16.1862,16.1862,156010
HAG,20081226,16.9219,16.9220,16.4805,16.9220,304910
HAG,20081229,17.6577,17.6577,17.6577,17.6577,84900
HAG,20081230,18.5406,18.5406,18.3934,18.5406,214180
HAG,20081231,19.2763,19.2763,18.5406,18.5406,90760
HAG,20090102,17.8049,17.8049,17.6577,17.6577,56640
HAG,20090105,16.7748,17.9520,16.7748,17.9520,126260
HAG,20090106,17.9520,18.0991,17.5106,17.9520,71980
HAG,20090107,17.9520,18.5406,17.8049,17.9520,130500
HAG,20090108,17.6577,17.9520,17.5106,17.6577,122040
HAG,20090109,17.5106,17.9520,17.5106,17.9520,67890
HAG,20090112,17.6577,17.8049,17.6577,17.8048,29120
HAG,20090113,17.3634,17.6577,17.3634,17.5106,24510
HAG,20090114,17.3635,17.6577,17.3635,17.6577,59340
HAG,20090115,17.3634,17.6577,17.3634,17.3634,19640
HAG,20090116,17.3634,17.6577,17.2163,17.6577,48230
HAG,20090119,17.6577,17.6577,17.5106,17.6577,41160
HAG,20090120,17.3634,17.6577,17.3634,17.6577,29590
HAG,20090121,17.5106,17.6577,17.5106,17.6577,40490
HAG,20090122,17.8048,17.8048,17.6577,17.8048,28710
HAG,20090123,17.6577,17.8048,17.6577,17.8048,13740
HAG,20090202,17.8048,17.8048,17.6577,17.6577,43260
HAG,20090203,17.6577,17.6577,17.3634,17.3634,53540
HAG,20090204,17.2163,17.5105,17.0691,17.0691,14340
HAG,20090205,16.9220,17.0691,16.3334,16.3334,49100
HAG,20090206,16.3334,16.4805,16.1863,16.4805,19160
HAG,20090209,16.9219,17.2163,16.7748,17.2163,18660
HAG,20090210,17.2163,17.2163,16.7749,17.0691,17980
HAG,20090211,16.6277,17.0691,16.6277,17.0691,28390
HAG,20090212,17.0691,17.8048,17.0691,17.8048,154380
HAG,20090213,17.6577,17.6577,17.2162,17.2163,22450
