<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HAI,20061227,9.6268,9.6268,9.6268,9.6268,9000
HAI,20061228,10.5020,10.5895,9.6268,10.1169,37000
HAI,20061229,10.7645,11.1146,10.7645,11.1145,34300
HAI,20070102,11.3770,12.0772,11.3770,11.5521,16200
HAI,20070103,11.7271,11.7271,11.5521,11.5696,12900
HAI,20070104,10.5019,10.9395,10.5019,10.8520,16700
HAI,20070105,10.8520,11.2021,10.5019,10.8695,18900
HAI,20070108,10.8520,11.2896,10.8520,10.9395,1700
HAI,20070109,10.9395,10.9399,10.8506,10.9399,1700
HAI,20070110,10.8510,11.3846,10.8510,11.3846,25100
HAI,20070111,10.6731,10.6731,10.6731,10.6731,1500
HAI,20070112,10.6731,10.6731,10.6731,10.6731,1000
HAI,20070115,10.6731,10.6731,10.4952,10.4952,3900
HAI,20070116,10.2995,10.4952,10.2995,10.4952,15100
HAI,20070117,9.4279,10.4952,9.4279,10.3173,9500
HAI,20070118,10.1394,10.1395,10.1394,10.1395,3700
HAI,20070119,10.1573,10.1573,9.9972,10.0505,7000
HAI,20070122,9.0543,9.0544,9.0543,9.0544,19000
HAI,20070123,9.0722,9.0722,8.8943,8.8943,4000
HAI,20070124,9.8371,9.8371,9.0722,9.7837,27600
HAI,20070125,10.6731,10.6731,10.4063,10.4952,15000
HAI,20070126,10.6731,10.6731,9.9615,10.3173,3300
HAI,20070129,10.3173,10.3173,10.3173,10.3173,0
HAI,20070130,10.6375,10.6731,10.1394,10.3173,4600
HAI,20070131,10.5841,10.5842,9.7836,10.5842,12200
HAI,20070201,10.4063,10.6554,10.1395,10.6553,15500
HAI,20070202,10.3173,10.3173,10.1394,10.3173,4300
HAI,20070205,9.2856,10.3173,9.2856,10.3173,1400
HAI,20070206,10.3173,10.3173,9.6058,9.6058,8100
HAI,20070207,9.6947,9.7837,9.6947,9.7837,1600
HAI,20070208,10.7265,10.7265,9.6948,9.7837,8300
HAI,20070209,10.3174,10.3174,9.7837,9.7837,6000
HAI,20070212,9.2145,10.3529,9.2145,10.3173,2100
HAI,20070213,10.2284,10.2461,9.9615,9.9616,3000
HAI,20070214,10.3352,10.5842,10.3173,10.3173,8600
HAI,20070215,10.3173,11.0289,10.3173,11.0289,19600
HAI,20070226,11.1178,11.7938,11.1178,11.7404,48100
HAI,20070227,12.6298,12.9500,12.6298,12.9500,100400
HAI,20070228,14.2130,14.2130,12.0962,12.9322,32400
HAI,20070301,12.4519,12.8077,12.4519,12.6298,31200
HAI,20070302,12.8077,12.9856,12.4519,12.5943,15100
HAI,20070305,12.7188,12.7188,12.2741,12.2919,14600
HAI,20070306,12.6299,13.5193,12.0962,12.6298,63100
HAI,20070307,12.8077,13.3414,12.4519,13.3414,30900
HAI,20070308,13.8751,14.4265,13.5193,14.4265,87100
HAI,20070309,15.7073,15.7073,15.7073,15.7073,97600
HAI,20070312,17.2727,17.2727,14.1419,14.5866,109600
HAI,20070313,14.7645,15.8852,14.5866,15.2981,46200
HAI,20070314,15.6539,16.3654,14.2308,14.4087,25000
HAI,20070315,13.2880,14.7645,13.2880,13.7861,17900
HAI,20070316,14.5866,15.0669,13.6972,14.7645,39600
HAI,20070319,14.6756,15.2270,14.4087,14.9246,46900
HAI,20070320,14.6756,15.0847,14.2308,14.6044,24300
HAI,20070321,14.8712,14.8712,13.5193,13.5193,13000
HAI,20070322,13.0746,14.0530,13.0746,13.3414,9300
HAI,20070323,13.6082,13.6082,13.4303,13.4303,16200
HAI,20070326,13.1635,13.1635,12.1673,12.9856,3900
HAI,20070327,11.6515,12.9856,11.2957,11.2957,22800
HAI,20070328,11.2957,13.3414,11.0822,13.3414,15800
HAI,20070329,13.0568,13.0568,12.4520,13.0568,15200
HAI,20070330,13.8751,14.2308,12.9856,12.9856,40600
HAI,20070402,13.8750,13.8750,11.9183,11.9183,5800
HAI,20070403,12.1851,12.4520,11.7404,12.3630,15800
HAI,20070404,12.1851,12.3630,12.0962,12.2741,10500
HAI,20070405,12.4520,12.4520,11.7404,12.2741,9100
HAI,20070406,12.1318,12.1318,11.8294,12.1318,16600
HAI,20070409,12.0962,12.4520,11.7405,11.8649,15700
HAI,20070410,11.8827,11.8827,11.7582,11.8294,4900
HAI,20070411,11.7405,11.7582,11.5626,11.6515,18000
HAI,20070412,11.6515,11.7404,11.6515,11.6515,13400
HAI,20070413,11.7404,11.7404,11.4736,11.6159,14400
HAI,20070416,11.3846,11.5625,11.2068,11.2957,9800
HAI,20070417,11.0289,11.3846,10.9399,11.2068,11400
HAI,20070418,11.2068,12.1852,11.2068,11.9361,6600
HAI,20070419,11.8294,11.9183,11.7404,11.8294,14600
HAI,20070420,11.8294,11.8294,11.3847,11.5625,8400
HAI,20070423,11.4736,11.4736,11.2067,11.2068,4600
HAI,20070424,11.0289,11.0289,10.8510,11.0289,4700
HAI,20070425,10.8510,11.2068,10.8510,11.2068,700
HAI,20070502,11.2068,11.3847,11.2068,11.2957,2700
HAI,20070503,11.2068,11.3135,11.2068,11.2957,5100
