<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HBC,20061227,3.7272,3.7272,3.7272,3.7272,23900
HBC,20061228,3.7272,3.7272,3.7272,3.7272,21220
HBC,20061229,3.7272,3.7272,3.5463,3.5463,7480
HBC,20070102,3.3835,3.5463,3.3835,3.3835,2950
HBC,20070103,3.2207,3.2207,3.2206,3.2206,6050
HBC,20070104,3.0759,3.0759,3.0759,3.0759,28060
HBC,20070105,3.2206,3.2206,2.9312,3.2206,36670
HBC,20070108,3.3653,3.3654,3.3653,3.3654,11090
HBC,20070109,3.5282,3.5282,3.5101,3.5282,41230
HBC,20070110,3.4015,3.4015,3.3654,3.3654,29380
HBC,20070111,3.2207,3.2207,3.2025,3.2025,15180
HBC,20070112,3.2568,3.3473,3.0578,3.3473,14590
HBC,20070115,3.3473,3.3654,3.3473,3.3654,18840
HBC,20070116,3.3654,3.3654,3.2568,3.2568,14870
HBC,20070117,3.2568,3.2568,3.1121,3.1844,8490
HBC,20070118,3.0397,3.2568,3.0397,3.2568,9350
HBC,20070119,3.2206,3.2568,3.2206,3.2568,18140
HBC,20070122,3.1121,3.1121,3.0940,3.1121,10800
HBC,20070123,3.2568,3.2568,3.2206,3.2206,4070
HBC,20070124,3.2206,3.2206,3.2206,3.2206,8980
HBC,20070125,3.0939,3.1482,3.0939,3.1482,8740
HBC,20070126,3.0035,3.0035,3.0035,3.0035,4050
HBC,20070129,3.0759,3.0759,3.0035,3.0759,10200
HBC,20070130,3.1121,3.2206,3.1121,3.2206,7730
HBC,20070131,3.2206,3.2206,3.2206,3.2206,15180
HBC,20070201,3.2568,3.2568,3.2206,3.2568,24460
HBC,20070202,3.4196,3.4196,3.4196,3.4196,20400
HBC,20070205,3.5824,3.5825,3.5824,3.5825,60780
HBC,20070206,3.7272,3.7272,3.7272,3.7272,54760
HBC,20070207,3.6186,3.6187,3.5463,3.6187,25090
HBC,20070208,3.4378,3.4378,3.4377,3.4377,3230
