<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HSG,20081205,2.9224,2.9224,2.9224,2.9224,10110
HSG,20081208,2.9224,2.9224,2.7763,2.7763,6570
HSG,20081209,2.6393,2.6393,2.6393,2.6393,10
HSG,20081210,2.5114,2.5114,2.5114,2.5114,10
HSG,20081211,2.3927,2.3927,2.3927,2.3927,460
HSG,20081212,2.2740,2.2740,2.2740,2.2740,510
HSG,20081215,2.1644,2.1644,2.1644,2.1644,10620
HSG,20081216,2.0639,2.0639,2.0639,2.0639,610
HSG,20081217,1.9634,1.9635,1.9634,1.9635,500
HSG,20081218,1.8722,2.0548,1.8722,1.9909,923090
HSG,20081219,1.9270,1.9818,1.8996,1.9178,554220
HSG,20081222,1.8813,1.9635,1.8813,1.9178,331800
HSG,20081223,1.8813,1.9087,1.8813,1.9087,147970
HSG,20081224,1.8265,1.8722,1.8265,1.8448,150910
HSG,20081225,1.8448,1.8539,1.7717,1.7717,209190
HSG,20081226,1.7078,1.7991,1.6986,1.7991,294520
HSG,20081229,1.7534,1.7808,1.7260,1.7352,153170
HSG,20081230,1.7169,1.7626,1.7078,1.7534,228490
HSG,20081231,1.7260,1.7351,1.7077,1.7260,239090
HSG,20090102,1.6712,1.7077,1.6712,1.6986,278840
HSG,20090105,1.7077,1.7808,1.6895,1.7808,479070
HSG,20090106,1.8265,1.8630,1.8265,1.8630,631790
HSG,20090107,1.9361,1.9361,1.8630,1.8722,539930
HSG,20090108,1.8265,1.8357,1.7808,1.7808,303820
HSG,20090109,1.7534,1.7717,1.7077,1.7352,264690
HSG,20090112,1.7169,1.7352,1.6987,1.7169,148180
HSG,20090113,1.6986,1.7352,1.6895,1.6986,154020
HSG,20090114,1.6986,1.7260,1.6803,1.6986,197160
HSG,20090115,1.6803,1.7077,1.6712,1.6986,185720
HSG,20090116,1.6986,1.7808,1.6986,1.7808,518980
HSG,20090119,1.7625,1.7808,1.6986,1.7352,183510
HSG,20090120,1.7078,1.7169,1.6987,1.7078,112140
HSG,20090121,1.7261,1.7261,1.6987,1.7078,45210
HSG,20090122,1.7078,1.7352,1.7078,1.7352,74840
HSG,20090123,1.7078,1.7352,1.7078,1.7169,81790
HSG,20090202,1.6347,1.6347,1.6347,1.6347,19560
HSG,20090203,1.5616,1.5616,1.5616,1.5616,19220
HSG,20090204,1.4885,1.4886,1.4885,1.4886,5080
HSG,20090205,1.4155,1.4155,1.4155,1.4155,25240
HSG,20090206,1.3516,1.4155,1.3516,1.3516,263530
HSG,20090209,1.3699,1.3699,1.3151,1.3516,193850
HSG,20090210,1.2968,1.2968,1.2877,1.2877,202910
HSG,20090211,1.2238,1.2238,1.2237,1.2237,46500
HSG,20090212,1.1689,1.2237,1.1689,1.1690,249790
HSG,20090213,1.1507,1.1507,1.1233,1.1324,179730
HSG,20090216,1.1507,1.1872,1.1324,1.1598,294460
HSG,20090217,1.1781,1.1781,1.1233,1.1233,235630
HSG,20090218,1.0776,1.0959,1.0685,1.0685,200790
HSG,20090219,1.0776,1.0868,1.0228,1.0228,158880
HSG,20090220,0.9771,0.9954,0.9771,0.9772,184230
HSG,20090223,0.9315,0.9315,0.9315,0.9315,76490
HSG,20090224,0.8858,0.8858,0.8858,0.8858,65430
HSG,20090225,0.8858,0.9132,0.8767,0.9132,429010
HSG,20090226,0.8675,0.8858,0.8675,0.8676,308440
HSG,20090227,0.8585,0.8676,0.8493,0.8493,107210
HSG,20090302,0.8402,0.8585,0.8310,0.8585,204840
HSG,20090303,0.8402,0.8494,0.8219,0.8219,345960
HSG,20090304,0.8219,0.8402,0.8128,0.8128,148080
HSG,20090305,0.8311,0.8402,0.8037,0.8219,152500
HSG,20090306,0.8219,0.8402,0.8128,0.8402,216970
HSG,20090309,0.8585,0.8767,0.8493,0.8767,386620
HSG,20090310,0.9132,0.9132,0.9132,0.9132,219280
HSG,20090311,0.9589,0.9589,0.9589,0.9589,196870
HSG,20090312,1.0046,1.0046,0.9315,1.0046,1510930
HSG,20090313,1.0046,1.0320,0.9955,1.0137,574330
HSG,20090316,1.0137,1.0228,0.9954,0.9954,256150
HSG,20090317,1.0045,1.0411,1.0045,1.0228,344540
HSG,20090318,1.0502,1.0685,1.0319,1.0685,789550
HSG,20090319,1.1050,1.1142,1.0685,1.0685,606190
HSG,20090320,1.0320,1.0959,1.0320,1.0594,228300
HSG,20090323,1.0503,1.0503,1.0137,1.0137,310460
HSG,20090324,1.0594,1.0594,1.0502,1.0594,519180
HSG,20090325,1.0411,1.1051,1.0411,1.1050,782650
HSG,20090326,1.1415,1.1507,1.1141,1.1507,494470
HSG,20090327,1.1598,1.1690,1.0959,1.0959,620330
HSG,20090330,1.0411,1.0959,1.0411,1.0411,462480
HSG,20090331,1.0137,1.0411,1.0046,1.0137,538010
HSG,20090401,1.0411,1.0594,1.0228,1.0594,267730
HSG,20090402,1.1051,1.1051,1.1050,1.1050,99310
HSG,20090403,1.1598,1.1598,1.1598,1.1598,227530
HSG,20090407,1.1781,1.2146,1.1415,1.2146,611150
HSG,20090408,1.2055,1.2694,1.1781,1.2055,1007870
HSG,20090409,1.2238,1.2329,1.1964,1.2055,372090
HSG,20090410,1.2603,1.2603,1.2603,1.2603,232470
HSG,20090413,1.3151,1.3151,1.3151,1.3151,72870
HSG,20090414,1.3516,1.3790,1.3151,1.3790,740220
HSG,20090415,1.4155,1.4429,1.3425,1.4429,973730
HSG,20090416,1.5068,1.5069,1.5068,1.5069,209010
HSG,20090417,1.5800,1.5800,1.4886,1.5799,982770
HSG,20090420,1.5068,1.5982,1.5068,1.5069,683010
HSG,20090421,1.4338,1.5069,1.4338,1.5069,714390
HSG,20090422,1.5800,1.5800,1.4612,1.5708,542890
HSG,20090423,1.5708,1.5891,1.5069,1.5069,329880
HSG,20090424,1.4338,1.4612,1.4338,1.4338,327510
HSG,20090427,1.4338,1.4521,1.3699,1.3699,397300
HSG,20090428,1.3334,1.4064,1.3334,1.4064,273070
HSG,20090429,1.3699,1.4703,1.3699,1.4703,415860
HSG,20090504,1.5434,1.5434,1.5434,1.5434,36070
HSG,20090505,1.6165,1.6165,1.6164,1.6164,169340
HSG,20090506,1.6438,1.6803,1.5799,1.5890,963240
HSG,20090507,1.6621,1.6621,1.6438,1.6621,518600
HSG,20090508,1.6895,1.7443,1.6895,1.7443,778780
HSG,20090511,1.8265,1.8265,1.7991,1.8265,659200
HSG,20090512,1.9087,1.9178,1.8722,1.9178,462560
HSG,20090513,2.0091,2.0091,1.9635,2.0091,1096570
HSG,20090514,1.9634,2.0182,1.9086,1.9543,692510
HSG,20090515,2.0456,2.0457,2.0456,2.0457,245830
HSG,20090518,2.1462,2.1462,2.0548,2.1461,488190
HSG,20090519,2.2466,2.2466,2.2466,2.2466,262070
HSG,20090520,2.3562,2.3562,2.3562,2.3562,165550
HSG,20090521,2.4658,2.4658,2.4658,2.4658,98460
HSG,20090522,2.5845,2.5845,2.4201,2.5754,1343760
HSG,20090525,2.6759,2.6759,2.5754,2.6667,766490
HSG,20090526,2.6484,2.6484,2.5388,2.5754,684060
HSG,20090527,2.5845,2.5845,2.4475,2.4475,824300
HSG,20090528,2.3288,2.3562,2.3288,2.3288,726180
HSG,20090529,2.3745,2.4384,2.3288,2.4384,487950
HSG,20090601,2.5571,2.5571,2.5571,2.5571,321330
HSG,20090602,2.6850,2.6850,2.6484,2.6849,643870
HSG,20090603,2.6484,2.7397,2.6118,2.6301,563550
HSG,20090604,2.7580,2.7580,2.7580,2.7580,529250
HSG,20090605,2.8950,2.8950,2.8950,2.8950,142150
HSG,20090608,3.0320,3.0320,3.0320,3.0320,114370
HSG,20090609,3.1781,3.1781,3.0320,3.1781,988180
HSG,20090610,3.0502,3.0594,3.0228,3.0228,615650
HSG,20090611,3.1415,3.1690,3.0867,3.1690,579410
HSG,20090612,3.3243,3.3243,3.1964,3.3151,1006710
HSG,20090615,3.1507,3.3790,3.1507,3.1507,1101230
HSG,20090616,2.9954,3.0320,2.9954,2.9954,423740
HSG,20090617,2.8493,3.1416,2.8493,3.1416,665710
HSG,20090618,3.2421,3.2421,2.9863,3.1050,480140
HSG,20090619,3.2603,3.2603,2.9771,3.1507,621960
HSG,20090622,3.0046,3.1507,2.9954,3.0320,665820
HSG,20090623,2.8859,2.8859,2.8859,2.8859,142560
HSG,20090624,2.9681,3.0229,2.9681,3.0228,1095930
HSG,20090625,3.1050,3.1050,2.8767,2.8767,359780
HSG,20090626,2.7397,2.8219,2.7397,2.7489,387500
HSG,20090629,2.7489,2.8585,2.7489,2.8311,163220
HSG,20090630,2.8311,2.8676,2.6941,2.6941,276360
HSG,20090701,2.5662,2.5845,2.5662,2.5662,273280
HSG,20090702,2.4657,2.6484,2.4657,2.6484,324490
HSG,20090703,2.5753,2.6667,2.5753,2.6667,181420
HSG,20090706,2.7489,2.7946,2.7032,2.7945,199730
