<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HT1,20071113,24.4579,27.9519,24.4579,26.4233,989350
HT1,20071114,26.6417,27.0784,26.2049,26.6417,323550
HT1,20071115,26.8601,26.8601,26.2050,26.4233,110380
HT1,20071116,25.3314,26.2049,25.1131,25.3315,69590
HT1,20071119,24.8947,24.8947,24.2396,24.2396,128600
HT1,20071120,23.1477,23.1477,23.1477,23.1477,124510
HT1,20071121,22.0558,22.0559,22.0558,22.0559,66220
HT1,20071122,21.8375,22.9294,21.6191,22.0559,307810
HT1,20071123,22.0559,22.2743,21.8375,22.0559,117930
HT1,20071126,22.2743,22.4927,22.0559,22.0559,131840
HT1,20071127,22.9294,23.1478,22.7110,23.1477,173630
HT1,20071128,23.1477,23.1477,22.2742,22.7110,129050
HT1,20071129,22.9294,22.9294,22.7110,22.7110,32300
HT1,20071130,22.7110,22.9294,22.4926,22.7110,146220
HT1,20071203,22.7110,22.7110,22.4926,22.4926,115750
HT1,20071204,22.7110,22.7110,22.2742,22.4926,101940
HT1,20071205,22.2742,22.4926,22.2742,22.4926,80410
HT1,20071206,22.2742,22.2742,21.8375,22.0559,86110
HT1,20071207,21.4008,22.0559,21.4008,21.6191,102640
HT1,20071210,21.6191,21.6191,20.9640,20.9640,81510
HT1,20071211,20.9640,20.9640,19.9158,19.9158,111790
HT1,20071212,20.0905,20.5272,20.0905,20.3089,94610
HT1,20071213,20.5273,20.5273,20.0905,20.1342,31540
HT1,20071214,19.6538,20.1342,19.6537,19.6537,59950
HT1,20071217,19.8721,19.9594,19.6537,19.6537,102050
HT1,20071218,19.6537,19.7410,18.9986,19.2170,156700
HT1,20071219,19.6537,20.1778,19.6537,20.1778,35100
HT1,20071220,20.7892,20.7892,20.0905,20.0905,100600
HT1,20071221,20.4399,20.4399,20.0905,20.4399,24860
HT1,20071224,20.4399,20.6146,20.3089,20.5272,45410
HT1,20071225,20.0905,20.6145,20.0905,20.3089,56300
HT1,20071226,20.3089,20.5273,20.3089,20.3089,19470
HT1,20071227,20.5273,20.5273,20.2215,20.2215,35080
HT1,20071228,20.3088,20.4835,20.0905,20.2215,34050
HT1,20080102,20.2652,20.2652,20.0905,20.0905,20130
HT1,20080103,19.3043,19.6537,19.3043,19.3480,38080
HT1,20080104,19.2170,19.3480,19.2170,19.2170,29970
HT1,20080107,18.6492,18.6492,18.3435,18.3435,38220
HT1,20080108,18.3435,18.5619,18.0814,18.0814,41160
HT1,20080109,17.6883,17.6883,17.4700,17.4700,45410
HT1,20080110,16.5965,16.6838,16.5965,16.5965,58250
HT1,20080111,16.1597,17.3390,16.1597,17.2516,36600
HT1,20080114,17.0332,17.0332,16.4218,16.4218,30090
HT1,20080115,15.6793,15.7230,15.6356,15.6356,58230
HT1,20080116,16.2034,16.3781,15.7229,16.3781,86890
HT1,20080117,17.1642,17.1642,15.7230,15.7230,85970
HT1,20080118,15.7230,16.2908,15.2863,16.2908,46130
HT1,20080121,16.2908,16.2908,16.1597,16.1597,40150
HT1,20080122,15.7230,15.9413,15.7230,15.7230,24800
HT1,20080123,15.2863,15.2863,14.9368,14.9368,55740
HT1,20080124,14.9368,15.2862,14.8495,14.9368,44020
HT1,20080125,14.4564,15.2862,14.4564,15.0679,30340
HT1,20080128,15.0679,15.2863,14.8932,15.0679,23400
HT1,20080129,15.1553,15.8104,15.0679,15.8103,54340
HT1,20080130,16.5964,16.5965,16.5964,16.5965,9600
HT1,20080131,17.2516,17.2516,16.3781,16.9022,119560
HT1,20080201,17.6883,17.7320,17.4700,17.7320,55840
HT1,20080212,18.4745,18.4745,17.6883,17.6884,67780
HT1,20080213,17.2516,17.2516,16.8585,16.8585,25510
