<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KBC,20071218,44.6527,44.9300,44.6527,44.9300,20000
KBC,20071219,49.2011,49.2011,49.2011,49.2011,22000
KBC,20071220,54.1101,54.1101,54.1101,54.1101,37800
KBC,20071221,59.5183,59.5184,58.2425,59.5184,14400
KBC,20071224,64.4829,64.4829,58.6309,58.6309,2800
KBC,20071225,55.9684,55.9684,55.9683,55.9683,6000
KBC,20071226,50.3937,51.1980,50.3937,51.1980,7800
KBC,20071227,50.1996,55.4414,47.1487,47.1487,3500
KBC,20071228,47.1487,54.0547,47.1487,54.0547,4600
KBC,20080102,58.7696,58.7696,55.4691,55.4691,7400
KBC,20080103,52.4183,54.3597,52.4183,54.3597,6800
KBC,20080104,54.3597,54.3597,54.3597,54.3597,5100
KBC,20080107,54.6370,54.6370,52.6956,52.6957,7400
KBC,20080108,54.3598,54.6371,49.9222,52.4183,8900
KBC,20080109,52.6956,52.6957,52.6956,52.6957,300
KBC,20080110,51.8637,53.2227,51.8637,52.6957,7100
KBC,20080111,52.6957,53.2504,52.6957,53.2504,1100
KBC,20080114,53.2504,53.2504,50.0609,50.0609,5300
KBC,20080115,52.6679,52.6679,52.6679,52.6679,7000
KBC,20080116,51.0316,52.9452,51.0316,52.6957,19900
KBC,20080117,53.5277,53.5277,51.5863,52.6957,32500
KBC,20080118,52.1410,53.2504,52.1410,52.9730,37900
KBC,20080121,53.5277,53.5277,52.6957,53.2504,30300
KBC,20080122,53.2504,53.2504,53.2504,53.2504,30000
KBC,20080123,52.9731,52.9731,51.3089,51.3089,32900
KBC,20080124,53.1116,53.1117,53.1116,53.1117,33000
KBC,20080125,52.9730,52.9730,52.9730,52.9730,30500
KBC,20080128,52.6125,52.6125,51.3089,52.6125,31400
KBC,20080129,53.5277,53.5277,52.6957,52.6957,33200
KBC,20080130,54.3598,54.3598,53.1117,53.1117,38200
KBC,20080131,54.0824,54.2211,54.0824,54.2211,36000
KBC,20080201,53.2504,54.3598,51.3090,53.3890,36400
KBC,20080212,55.4691,55.4691,51.3089,51.3089,38700
KBC,20080213,51.8636,52.1409,50.4769,50.4769,36500
KBC,20080214,51.0316,51.3089,49.9222,49.9222,35700
KBC,20080215,51.2535,51.2535,50.7542,50.7542,41400
KBC,20080218,50.8097,51.3089,50.1995,50.1996,27100
KBC,20080219,50.8930,51.0316,50.8929,50.8929,25100
KBC,20080220,50.9484,51.0039,50.9484,51.0039,27000
KBC,20080221,49.8390,54.8590,49.6449,49.6449,30000
KBC,20080222,50.1996,50.3383,50.1996,50.3382,32000
KBC,20080225,51.5863,51.5863,50.5601,50.5601,40400
KBC,20080226,49.8390,49.8667,46.0394,46.0394,31200
KBC,20080227,49.8390,49.8668,44.9300,49.8113,30500
KBC,20080228,50.7543,50.7543,49.3675,49.7558,45600
KBC,20080229,45.0687,48.2304,44.9577,48.2304,20800
KBC,20080303,47.3984,47.3984,43.5433,47.3984,21700
KBC,20080304,45.7621,47.4261,45.7620,45.7620,21800
KBC,20080305,47.1487,47.2042,47.1487,47.2042,30200
KBC,20080306,46.8714,51.3089,46.8714,49.9222,51800
KBC,20080307,53.8050,53.8050,53.2226,53.3890,36200
KBC,20080310,50.4769,53.4167,50.4769,51.3089,18700
KBC,20080311,51.3089,51.5862,50.4491,51.4476,63100
KBC,20080312,49.9222,49.9222,49.2566,49.5062,32000
KBC,20080313,49.3675,49.9222,49.3675,49.7835,31200
KBC,20080314,44.9022,49.6448,44.9022,48.8128,44000
KBC,20080317,49.3398,49.3675,48.4523,48.6187,24200
KBC,20080318,48.5355,48.8128,48.4523,48.4523,22100
KBC,20080319,48.6187,48.6464,48.2304,48.2304,16700
KBC,20080320,44.3753,48.6187,44.3753,48.1195,12400
KBC,20080321,48.5355,48.6465,48.3968,48.3968,20900
KBC,20080324,48.5355,48.5909,48.0085,48.0085,24200
KBC,20080325,48.3136,48.4523,48.3136,48.3968,12100
KBC,20080326,48.3968,48.5355,48.1749,48.1749,13600
KBC,20080327,48.2581,48.5354,48.2026,48.4800,17200
KBC,20080328,48.4245,48.6742,48.4245,48.6742,14200
KBC,20080331,48.4801,49.3676,48.4801,48.8128,11700
KBC,20080401,49.3675,49.5062,48.5355,49.0902,15600
KBC,20080402,48.7851,49.7558,48.7851,49.7558,24500
KBC,20080403,49.3675,50.2273,49.2566,49.3675,33300
KBC,20080404,49.4507,50.4214,49.4507,49.5062,30300
KBC,20080407,49.6171,50.1996,49.6171,50.1996,20800
KBC,20080408,49.7836,49.7836,48.3136,48.6742,6800
KBC,20080409,47.9808,48.6742,47.6480,48.3968,18000
KBC,20080410,46.8714,47.6202,46.8714,47.6202,41100
KBC,20080411,45.7897,47.7034,45.7897,47.7034,14100
KBC,20080416,45.9284,47.3429,45.9284,47.3429,22200
KBC,20080417,47.3429,48.5355,47.3429,47.9808,31600
KBC,20080418,47.8421,47.9808,47.8421,47.9808,12600
KBC,20080421,47.9253,47.9808,47.8421,47.9808,17800
KBC,20080422,47.9253,47.9808,47.9253,47.9531,22500
KBC,20080423,47.9254,47.9531,47.8422,47.9531,22400
KBC,20080424,47.9254,47.9808,47.9254,47.9808,19700
KBC,20080425,47.9531,47.9808,47.9531,47.9808,16000
KBC,20080428,49.3675,49.3675,48.1195,48.5355,17300
KBC,20080429,48.2582,48.5355,48.2304,48.2304,17500
