<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
RIC,20070731,91.3678,91.3678,91.3678,91.3678,29170
RIC,20070801,87.1670,91.8929,87.1670,89.2673,45140
RIC,20070802,89.2673,89.2673,87.1669,87.1669,4420
RIC,20070803,82.9661,82.9661,82.9661,82.9661,12670
RIC,20070806,79.2904,79.2904,79.2904,79.2904,6460
RIC,20070807,75.6147,75.6147,75.6147,75.6147,850
RIC,20070808,71.9390,71.9390,71.9390,71.9390,12870
RIC,20070809,68.7884,68.7884,68.7884,68.7884,44980
RIC,20070810,71.9390,71.9390,71.9390,71.9390,132870
RIC,20070813,70.8888,74.5645,69.8386,72.9892,147830
RIC,20070814,73.5143,74.5645,73.5143,74.0394,164610
RIC,20070815,74.0394,74.5645,74.0394,74.0394,95960
RIC,20070816,72.4641,73.5143,71.4139,71.4139,112970
RIC,20070817,70.8888,71.4139,69.8386,69.8386,90630
RIC,20070820,68.1946,69.4124,68.1946,68.2213,59450
RIC,20070821,67.6122,68.2213,67.0031,68.2213,47220
RIC,20070822,68.8304,70.0487,68.8304,69.4395,45140
RIC,20070823,68.8304,69.4395,68.8304,68.8304,14830
RIC,20070824,68.2213,68.8304,68.2213,68.8304,28320
RIC,20070827,68.8304,69.4395,68.2213,68.2213,33780
RIC,20070828,67.6122,68.2213,67.0030,67.0030,29160
RIC,20070829,67.6121,67.6121,65.7848,66.3939,64040
RIC,20070830,66.3939,67.0030,66.3939,66.3939,27600
RIC,20070831,65.1757,66.3939,65.1757,66.3939,36850
RIC,20070904,63.9574,66.3939,63.9574,65.7848,51880
RIC,20070905,65.1757,65.1757,64.5665,64.5665,75950
RIC,20070906,63.9574,67.6121,63.9574,67.6121,86650
RIC,20070907,70.6577,70.6577,68.8303,70.6577,154420
RIC,20070910,73.7033,73.7033,70.6577,73.0942,162560
RIC,20070911,70.6577,71.8760,70.0486,70.0486,101710
RIC,20070912,67.0030,69.4395,67.0030,68.2213,34700
RIC,20070913,68.2213,69.4395,68.2213,68.8304,29010
RIC,20070914,70.0486,70.0486,69.4395,69.4395,33910
RIC,20070917,70.0486,70.0486,68.8304,68.8304,22140
RIC,20070918,68.2213,68.8304,68.2213,68.2213,34120
RIC,20070919,66.3939,68.2213,66.3939,68.2213,73340
RIC,20070920,70.0487,70.0487,68.8304,70.0486,72700
RIC,20070921,70.0486,70.6577,68.8304,68.8304,110070
RIC,20070924,67.6122,69.4395,67.6122,69.4395,49690
RIC,20070925,69.4395,70.0486,68.8304,69.4395,118430
RIC,20070926,72.4851,72.4851,70.6577,70.6577,96060
RIC,20070927,70.6577,70.6577,69.4395,69.4395,83800
RIC,20070928,69.4395,71.8760,69.4395,71.8760,192590
RIC,20071001,74.3125,74.9216,73.0942,74.9216,265680
RIC,20071002,78.5763,78.5763,76.1398,77.3580,205140
RIC,20071003,77.9671,77.9671,76.1398,76.7489,136380
RIC,20071004,75.5307,76.1398,74.3124,74.3124,143360
RIC,20071005,75.5306,76.1398,74.9215,76.1398,128960
RIC,20071008,76.1398,76.7489,74.3124,74.9216,111460
RIC,20071009,72.4851,74.9216,72.4851,73.7033,105510
RIC,20071010,74.3124,74.9215,73.7033,74.3124,77640
RIC,20071011,74.3124,74.3124,73.0942,73.7033,73380
RIC,20071012,73.7033,74.3124,73.0942,73.7033,67750
RIC,20071015,73.7033,75.5307,73.7033,74.3124,95550
RIC,20071016,75.5306,75.5306,73.7033,73.7033,73660
RIC,20071017,73.0942,73.7033,73.0942,73.0942,83200
RIC,20071018,72.4851,72.4851,71.8760,71.8760,63490
RIC,20071019,70.6578,71.8760,70.6578,71.2669,52050
RIC,20071022,71.2669,71.2669,70.0487,70.6577,56080
RIC,20071023,68.8303,70.0486,68.8303,69.4395,84880
RIC,20071024,70.0486,70.6577,70.0486,70.0486,88830
RIC,20071025,70.6577,70.6577,70.0486,70.0486,56380
RIC,20071026,69.4395,70.0486,68.8304,70.0486,91740
RIC,20071029,68.2212,70.0486,68.2212,68.2213,42800
RIC,20071030,68.2213,68.2213,67.0030,67.0030,50510
RIC,20071031,66.3939,67.0030,66.3939,66.3939,43810
RIC,20071101,63.3483,64.5665,63.3483,63.9574,246480
RIC,20071102,60.9118,62.1300,60.9118,60.9118,149720
RIC,20071105,57.8662,57.8662,57.8662,57.8662,52500
RIC,20071106,55.1252,60.6073,55.1252,60.6073,131620
RIC,20071107,59.6936,59.6936,57.8662,57.8662,52700
RIC,20071108,57.8662,57.8662,56.6480,56.6480,26380
RIC,20071109,54.8206,55.7343,54.8206,54.8207,44050
RIC,20071112,56.6481,56.6481,54.8207,54.8207,71510
RIC,20071113,54.8207,54.8207,52.9933,52.9933,54160
RIC,20071114,51.7751,55.4298,51.7751,55.4298,48990
RIC,20071115,55.1252,55.1252,53.6024,53.6024,39970
RIC,20071116,53.9070,54.8207,53.6024,54.8207,35380
RIC,20071119,53.6025,54.8207,53.6025,54.5161,15440
RIC,20071120,53.2979,53.6024,52.9933,52.9933,17620
RIC,20071121,51.1659,51.7751,50.8614,51.1659,41060
RIC,20071122,51.1659,51.7750,50.8613,51.1659,28480
RIC,20071123,51.1659,51.1659,50.8613,51.1659,15180
RIC,20071126,51.4705,51.4705,50.5568,51.1659,31250
RIC,20071127,52.0796,52.3841,51.4705,51.7751,25300
RIC,20071128,51.7751,52.3842,51.4705,51.7751,31810
RIC,20071129,51.7751,51.7751,51.4705,51.4705,22630
RIC,20071130,51.4705,51.4705,51.1659,51.1659,27410
RIC,20071203,51.1659,51.7751,51.1659,51.7751,11220
RIC,20071204,53.2979,53.2979,52.3842,52.9933,41190
RIC,20071205,52.3842,52.9933,52.0796,52.3842,20770
RIC,20071206,52.3842,52.3842,51.7751,51.7751,5360
RIC,20071207,51.7751,51.7751,51.4705,51.7751,10890
RIC,20071210,51.1660,51.7751,50.5568,50.5568,25590
RIC,20071211,49.6431,50.5568,49.3386,49.6431,18010
RIC,20071212,48.1203,49.9477,48.1203,49.3386,25730
RIC,20071213,48.1204,48.4249,47.2067,47.2067,38370
RIC,20071214,46.2930,46.5976,46.2930,46.2930,35550
RIC,20071217,45.9884,47.8158,45.6839,45.6839,19240
RIC,20071218,46.2930,46.2930,44.4657,45.6839,18320
RIC,20071219,46.9021,47.5113,46.9021,47.5112,11380
RIC,20071220,48.7294,48.7294,46.9021,46.9021,12440
RIC,20071221,46.2930,47.5112,46.2930,46.2930,12730
RIC,20071224,46.2930,46.5976,46.2930,46.5976,10640
RIC,20071225,46.5976,46.5976,46.2930,46.2930,7470
