<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAM,20000728,17.0000,17.0000,1.3408,1.3408,3200
SAM,20000731,17.2000,17.2000,1.3566,1.3566,10000
SAM,20000802,17.5000,17.5000,1.3803,1.3803,200
SAM,20000804,17.8000,17.8000,1.4039,1.4039,1900
SAM,20000807,18.1000,18.1000,1.4276,1.4276,7300
SAM,20000809,18.4000,18.4000,1.4513,1.4513,13300
SAM,20000811,18.7000,18.7000,1.4749,1.4749,300
SAM,20000814,19.0000,19.0000,1.4986,1.4986,2400
SAM,20000816,19.3000,19.3000,1.5222,1.5222,8300
SAM,20000818,19.6000,19.6000,1.5459,1.5459,5800
SAM,20000821,19.9000,19.9000,1.5696,1.5696,24400
SAM,20000823,20.2000,20.2000,1.5932,1.5932,67200
SAM,20000825,20.5000,20.5000,1.6169,1.6169,74200
SAM,20000828,1.5847,1.5853,1.5847,1.5853,59900
SAM,20000830,1.5538,1.5538,1.5538,1.5538,115200
SAM,20000901,1.5301,1.5301,1.5301,1.5301,70100
SAM,20000906,1.5301,1.5301,1.5301,1.5301,56600
SAM,20000908,1.5538,1.5538,1.5538,1.5538,12100
SAM,20000911,1.5775,1.5775,1.5775,1.5775,600
SAM,20000913,1.6091,1.6091,1.6090,1.6090,11000
SAM,20000915,1.6405,1.6406,1.6405,1.6406,5400
SAM,20000918,1.6722,1.6722,1.6721,1.6721,49000
SAM,20000920,1.6406,1.6406,1.6406,1.6406,26800
SAM,20000922,1.6406,1.6406,1.6406,1.6406,49900
SAM,20000925,1.6406,1.6406,1.6406,1.6406,41200
SAM,20000927,1.6564,1.6564,1.6563,1.6563,32800
SAM,20000929,1.6721,1.6721,1.6721,1.6721,26100
SAM,20001002,1.6721,1.6721,1.6721,1.6721,24100
SAM,20001004,1.6721,1.6721,1.6721,1.6721,36200
SAM,20001006,1.7036,1.7036,1.7036,1.7036,17400
SAM,20001009,1.7351,1.7352,1.7351,1.7352,13400
SAM,20001011,1.7667,1.7667,1.7667,1.7667,34600
SAM,20001013,1.7982,1.7983,1.7982,1.7983,13400
SAM,20001016,1.8298,1.8298,1.8298,1.8298,16100
SAM,20001018,1.8613,1.8614,1.8613,1.8614,10500
SAM,20001020,1.8929,1.8929,1.8929,1.8929,43900
SAM,20001023,1.8929,1.8929,1.8929,1.8929,18300
SAM,20001025,1.8614,1.8614,1.8614,1.8614,27100
SAM,20001027,1.8929,1.8929,1.8929,1.8929,42500
SAM,20001030,1.9244,1.9245,1.9244,1.9245,54000
SAM,20001101,1.9560,1.9560,1.9560,1.9560,33300
SAM,20001103,1.9875,1.9876,1.9875,1.9876,62300
SAM,20001106,2.0270,2.0270,2.0270,2.0270,49300
SAM,20001108,2.0664,2.0665,2.0664,2.0665,11000
SAM,20001110,2.1059,2.1059,2.1059,2.1059,49700
SAM,20001113,2.1453,2.1453,2.1453,2.1453,18800
SAM,20001115,2.1847,2.1848,2.1847,2.1848,10000
SAM,20001117,2.2242,2.2242,2.2242,2.2242,25800
SAM,20001120,2.2636,2.2636,2.2636,2.2636,52200
SAM,20001122,2.2242,2.2242,2.2242,2.2242,68600
SAM,20001124,2.1848,2.1848,2.1848,2.1848,45500
SAM,20001127,2.1059,2.1059,2.1059,2.1059,21600
SAM,20001129,2.1453,2.1453,2.1453,2.1453,43300
SAM,20001201,2.1847,2.1848,2.1847,2.1848,20700
SAM,20001204,2.2242,2.2242,2.2242,2.2242,10600
SAM,20001206,2.2636,2.2636,2.2636,2.2636,36100
SAM,20001208,2.3030,2.3031,2.3030,2.3031,162900
SAM,20001211,2.2637,2.2637,2.2636,2.2636,82400
SAM,20001213,2.3030,2.3031,2.3030,2.3031,71600
SAM,20001215,2.3425,2.3425,2.3425,2.3425,13200
SAM,20001218,2.3819,2.3820,2.3819,2.3820,41900
SAM,20001220,2.4293,2.4293,2.4293,2.4293,28200
SAM,20001222,2.4766,2.4766,2.4766,2.4766,48200
SAM,20001225,2.5239,2.5239,2.5239,2.5239,17500
SAM,20001227,2.5712,2.5712,2.5712,2.5712,27600
SAM,20001229,2.6185,2.6186,2.6185,2.6186,46600
SAM,20010103,2.6659,2.6659,2.6659,2.6659,24700
SAM,20010105,2.7132,2.7132,2.7132,2.7132,40300
SAM,20010108,2.7605,2.7605,2.7605,2.7605,39500
SAM,20010110,2.8157,2.8158,2.8157,2.8158,146200
SAM,20010112,2.8710,2.8710,2.8710,2.8710,180600
SAM,20010115,2.8710,2.8710,2.8710,2.8710,73600
SAM,20010117,2.9262,2.9262,2.9262,2.9262,64300
SAM,20010119,2.9814,2.9814,2.9814,2.9814,13400
SAM,20010129,3.0366,3.0366,3.0366,3.0366,5800
SAM,20010131,3.0918,3.0918,3.0918,3.0918,300
SAM,20010202,3.1470,3.1470,3.1470,3.1470,15300
SAM,20010205,3.2022,3.2022,3.2022,3.2022,300
SAM,20010207,3.2653,3.2653,3.2653,3.2653,5900
SAM,20010209,3.3284,3.3284,3.3284,3.3284,165100
SAM,20010212,3.2653,3.2653,3.2653,3.2653,44900
SAM,20010214,3.2022,3.2022,3.2022,3.2022,1500
SAM,20010216,3.1391,3.1391,3.1391,3.1391,300
SAM,20010219,3.0839,3.0839,3.0839,3.0839,500
SAM,20010221,3.0287,3.0287,3.0287,3.0287,91700
SAM,20010223,3.0839,3.0839,3.0839,3.0839,91400
SAM,20010226,3.1391,3.1391,3.1391,3.1391,38800
