<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
STB,20060712,12.4204,12.4204,12.4204,12.4204,763190
STB,20060713,12.7389,12.9777,12.7389,12.9777,1694670
STB,20060714,13.2166,13.2166,12.8185,12.8185,935410
STB,20060717,12.5796,12.5796,12.3408,12.3408,1320510
STB,20060718,12.0223,12.0223,12.0223,12.0223,721380
STB,20060719,11.9427,11.9427,11.6242,11.6242,747410
STB,20060720,11.4650,12.1815,11.4650,12.1815,988420
STB,20060721,12.0223,12.0223,11.9426,11.9427,603240
STB,20060724,11.9427,11.9427,11.7038,11.7038,311780
STB,20060725,11.5446,11.5446,11.1465,11.1465,342530
STB,20060726,10.7484,10.9873,10.7484,10.9076,311540
STB,20060727,10.9076,10.9076,10.8280,10.9076,400570
STB,20060728,10.9872,10.9872,10.7484,10.7484,289270
STB,20060731,10.3503,10.3503,10.2707,10.2707,200780
STB,20060801,9.7930,9.7930,9.7930,9.7930,167240
STB,20060802,9.3153,9.3153,9.3153,9.3153,476710
STB,20060803,9.7134,9.7134,9.7134,9.7134,542710
STB,20060804,10.1911,10.1911,10.1911,10.1911,117920
STB,20060807,10.3503,10.3503,9.7930,9.7930,538860
STB,20060808,9.7930,10.1115,9.7930,9.9522,246690
STB,20060809,9.6337,9.7133,9.5541,9.5541,1078960
STB,20060810,9.5541,9.7134,9.5541,9.7134,293470
STB,20060811,9.7134,9.8726,9.7134,9.8726,395920
STB,20060814,10.1911,10.3503,10.1911,10.3503,487760
STB,20060815,10.3503,10.3503,10.1114,10.1115,534520
STB,20060816,10.2707,10.3504,10.2707,10.3503,286200
STB,20060817,10.6688,10.6688,10.4299,10.4299,563530
STB,20060818,10.5891,10.5891,10.3503,10.3503,370910
STB,20060821,10.3503,10.3503,10.2707,10.2707,191270
STB,20060822,10.1115,10.1115,10.0318,10.0318,268930
STB,20060823,9.9522,10.1911,9.9522,10.1911,164010
STB,20060824,10.1911,10.1911,10.1911,10.1911,154360
STB,20060825,10.1911,10.1911,10.1115,10.1115,87030
STB,20060828,10.1115,10.2707,10.1115,10.2707,185880
STB,20060829,10.3503,10.3503,10.3503,10.3503,340960
STB,20060830,10.3503,10.3503,10.3503,10.3503,373920
STB,20060831,10.4299,10.4299,10.4299,10.4299,432700
STB,20060901,10.5891,10.7484,10.5891,10.7484,599270
STB,20060905,11.2261,11.2261,11.2261,11.2261,358380
STB,20060906,11.6242,11.6242,11.3057,11.3057,442200
STB,20060907,11.1465,11.1465,11.0668,11.0669,290910
STB,20060908,11.1465,11.1465,11.1465,11.1465,280320
STB,20060911,11.2261,11.2261,11.1465,11.1465,235040
STB,20060912,11.0669,11.0669,10.8280,10.8280,276340
STB,20060913,10.9076,11.1465,10.9076,11.1465,173700
STB,20060914,11.0669,11.0669,10.9872,10.9872,153820
STB,20060915,11.0668,11.1465,11.0668,11.1465,276270
STB,20060918,11.1465,11.1465,11.0669,11.0669,160300
STB,20060919,11.0669,11.0669,11.0669,11.0669,176660
STB,20060920,11.1465,11.1465,11.0669,11.0669,312200
STB,20060921,11.1465,11.1465,11.0669,11.0669,247000
STB,20060922,10.9873,11.0669,10.9873,11.0669,154130
STB,20060925,10.9873,11.0669,10.9873,11.0669,188410
STB,20060926,11.0669,11.0669,10.9873,11.0669,174710
STB,20060927,11.0669,11.0669,10.9872,10.9872,265890
STB,20060928,11.1464,11.4650,11.1464,11.4650,729790
STB,20060929,11.4650,11.4650,11.2261,11.2261,320830
STB,20061002,11.2261,11.3057,11.2261,11.3057,266150
STB,20061003,11.4649,11.4650,11.3853,11.4650,421820
STB,20061004,11.9427,11.9427,11.6242,11.6242,647480
STB,20061005,11.6242,11.6242,11.5446,11.5446,368720
STB,20061006,11.4650,11.6242,11.4650,11.6242,317810
STB,20061009,11.6242,11.6242,11.5446,11.5446,456440
STB,20061010,11.5446,11.5446,11.3853,11.3853,287780
STB,20061011,11.3057,11.3853,11.3057,11.3057,444880
STB,20061012,11.3853,11.3853,11.3057,11.3057,504170
STB,20061013,11.3057,11.3057,11.2978,11.2978,262250
STB,20061016,11.2978,11.2978,11.2102,11.2102,196690
STB,20061017,11.0350,11.0350,10.8599,10.8599,279980
STB,20061018,10.8599,10.8599,10.7723,10.7723,249990
STB,20061019,10.8599,10.9475,10.8599,10.9474,404320
STB,20061020,11.0350,11.0350,11.0350,11.0350,250130
STB,20061023,10.9474,10.9474,10.9474,10.9474,131650
STB,20061024,10.9474,10.9474,10.9474,10.9474,128990
STB,20061025,10.8598,10.9474,10.8598,10.8599,143870
STB,20061026,10.8599,10.8599,10.8599,10.8599,130360
STB,20061027,10.6847,10.6847,10.6847,10.6847,191620
STB,20061030,10.5971,10.5971,10.5095,10.5095,182090
STB,20061031,10.3343,10.4220,10.3343,10.4220,323500
STB,20061101,10.5972,10.7723,10.5972,10.7723,210180
STB,20061102,10.8599,10.8599,10.6847,10.6847,280390
STB,20061103,10.5971,10.5971,10.5971,10.5971,145590
STB,20061106,10.5971,10.6847,10.5971,10.6847,178510
STB,20061107,10.7723,10.7723,10.6847,10.6847,197790
STB,20061108,10.6847,10.6847,10.6847,10.6847,150920
STB,20061109,10.6847,10.6847,10.6847,10.6847,157120
STB,20061110,10.6847,10.6847,10.5971,10.5971,187530
STB,20061113,10.5971,10.6847,10.5971,10.6847,128790
STB,20061114,10.6847,10.9474,10.6847,10.9474,275600
STB,20061115,11.2101,11.2101,10.9474,10.9474,404230
STB,20061116,10.7722,10.7723,10.7722,10.7723,102170
STB,20061117,10.8599,10.9475,10.7723,10.9474,225060
STB,20061120,10.9474,10.9474,10.7722,10.7723,288090
STB,20061121,10.7723,10.7723,10.7723,10.7723,252180
STB,20061122,10.8599,10.8599,10.8599,10.8599,522740
STB,20061123,11.1226,11.3854,11.1226,11.3853,932860
STB,20061124,11.9108,11.9108,11.9108,11.9108,1422510
STB,20061127,12.4363,12.4363,11.3853,11.3853,1155520
STB,20061128,11.5605,11.7356,11.5605,11.5605,769620
STB,20061129,11.3853,11.3853,11.1226,11.1226,683560
STB,20061130,11.2102,11.2978,11.2102,11.2102,452420
STB,20061201,11.2102,11.2102,11.2102,11.2102,549720
STB,20061204,11.3854,11.3854,11.2102,11.2102,251050
STB,20061205,11.2102,11.2102,11.1226,11.1226,328060
STB,20061206,11.2102,11.2102,11.1226,11.1226,391760
STB,20061207,11.2102,11.6481,11.2102,11.6481,724950
STB,20061208,11.6481,11.6481,11.6481,11.6481,159600
