<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TCR,20061229,15.3276,15.3276,15.3276,15.3276,7000
TCR,20070102,16.0721,16.0721,16.0720,16.0720,26870
TCR,20070103,16.0720,16.0720,15.7654,15.7655,38730
TCR,20070104,15.7655,15.7655,15.7655,15.7655,9350
TCR,20070105,15.3276,15.3276,14.9772,14.9772,7050
TCR,20070108,14.2327,14.2327,14.2327,14.2327,9350
TCR,20070109,13.7948,13.7948,13.5320,13.5320,6950
TCR,20070110,12.8751,12.8751,12.8751,12.8751,6740
TCR,20070111,12.6999,12.8751,12.6999,12.8751,31930
TCR,20070112,12.8751,13.1379,12.8751,13.0941,31650
TCR,20070115,12.7000,12.7000,12.4810,12.4810,20780
TCR,20070116,13.0941,13.0941,12.0431,13.0941,31430
TCR,20070117,13.3569,13.3569,12.4810,12.4810,36920
TCR,20070118,12.4810,12.4810,11.8679,11.8679,42420
TCR,20070119,12.2620,12.4372,12.0431,12.4372,42310
TCR,20070122,12.4810,13.0503,12.4810,13.0503,56030
TCR,20070123,13.6634,13.6634,13.6634,13.6634,30770
TCR,20070124,14.3203,14.3203,14.3203,14.3203,119680
TCR,20070125,14.3203,14.8896,14.3203,14.8896,79670
TCR,20070126,26.2758,26.2758,14.4517,14.4517,52630
TCR,20070129,14.6269,14.6269,14.0138,14.6269,67150
TCR,20070130,15.3276,15.3276,15.3276,15.3276,53660
TCR,20070131,16.0721,16.0721,14.8896,14.8896,26580
TCR,20070201,15.6341,15.6341,15.5465,15.5465,45710
TCR,20070202,14.8896,14.8896,14.8896,14.8896,8470
TCR,20070205,14.8896,14.8896,14.8896,14.8896,18790
TCR,20070206,15.2399,15.2400,14.8896,15.2400,53830
TCR,20070207,15.1524,15.1524,14.8897,15.1524,54220
TCR,20070208,14.8896,15.0210,14.6707,14.8896,36280
TCR,20070209,14.8896,14.8896,14.8896,14.8896,22500
TCR,20070212,14.8896,14.8896,14.8896,14.8896,19780
TCR,20070213,15.1086,15.1086,14.1451,15.1086,25640
TCR,20070214,14.8896,15.1086,14.8896,14.8896,16360
TCR,20070215,15.1086,15.3275,14.8896,15.1086,42660
TCR,20070226,15.7655,15.7655,15.7655,15.7655,82490
TCR,20070227,15.9407,16.0721,15.9407,15.9407,135900
TCR,20070228,15.7655,15.9845,15.7655,15.7655,80920
TCR,20070301,14.9772,15.3276,14.9772,14.9772,54300
TCR,20070302,14.9772,15.7217,14.9772,15.3276,95440
TCR,20070305,16.0721,16.0721,16.0720,16.0720,268420
TCR,20070306,16.8603,16.8603,16.4223,16.8603,284570
TCR,20070307,17.6924,17.6924,17.6924,17.6924,319930
TCR,20070308,18.5683,18.5683,18.5682,18.5682,304910
