<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
TSC,20071004,10.1054,10.1054,10.1054,10.1054,9890
TSC,20071005,10.5265,10.5265,10.5264,10.5264,3210
TSC,20071008,11.0527,11.0528,11.0527,11.0528,1000
TSC,20071009,11.5791,11.5791,11.5791,11.5791,410
TSC,20071010,12.1054,12.1054,12.1054,12.1054,1010
TSC,20071011,12.6317,12.6317,12.6317,12.6317,2810
TSC,20071012,13.2633,13.2633,13.2633,13.2633,810
TSC,20071015,13.8949,13.8949,13.8949,13.8949,1000
TSC,20071016,14.5265,14.5265,14.5265,14.5265,4000
TSC,20071017,15.1581,15.1581,15.1581,15.1581,21490
TSC,20071018,15.8950,15.8950,15.8949,15.8949,7250
TSC,20071019,16.6317,16.6318,16.6317,16.6318,28360
TSC,20071022,17.3687,17.3687,17.3686,17.3686,11630
TSC,20071023,18.2107,18.2107,18.2107,18.2107,25070
TSC,20071024,19.0528,19.0528,19.0528,19.0528,32860
TSC,20071025,20.0002,20.0002,20.0002,20.0002,120870
TSC,20071026,20.9476,20.9476,20.9476,20.9476,50850
TSC,20071029,21.8950,21.8950,21.4739,21.4739,268850
TSC,20071030,20.4213,20.4213,20.4213,20.4213,65300
TSC,20071031,19.4739,21.2634,19.4739,21.2634,242410
TSC,20071101,22.3160,22.3160,22.3160,22.3160,38320
TSC,20071102,23.3686,23.3687,22.9476,23.3687,136630
TSC,20071105,22.3161,24.4213,22.3161,24.4213,88160
TSC,20071106,23.7897,24.2108,23.5792,23.7897,87950
TSC,20071107,23.3686,23.7897,23.3686,23.5792,111740
TSC,20071108,23.5792,23.5792,22.5266,22.5266,38600
TSC,20071109,21.4740,22.5266,21.4740,22.5266,127040
TSC,20071112,23.1582,23.1582,22.7371,22.7371,44370
TSC,20071113,21.6845,22.7371,21.6844,21.6844,144560
TSC,20071114,21.0528,21.8949,21.0528,21.6844,224330
